"Source(x,y)","Target(x,y)"
"(-9492.41177, 148989.25343)","(-9655.49558, 148893.24831)"
"(-9465.16664, 148761.07614)","(-9655.49558, 148893.24831)"
"(-8876.46568, 150032.73221)","(-8870.39095, 150026.99275)"
"(-8630.82078, 149817.67201)","(-8870.39095, 150026.99275)"
"(-8660.09166, 150546.68364)","(-8870.39095, 150026.99275)"
"(-9195.31222, 149600.1961)","(-8870.39095, 150026.99275)"
"(-8715.35286, 150252.92494)","(-8870.39095, 150026.99275)"
"(-8238.53978, 152081.52451)","(-8232.98348, 151801.17151)"
"(-8256.85768, 151748.90831)","(-8232.98348, 151801.17151)"
"(-8322.38385, 151946.31322)","(-8232.98348, 151801.17151)"
"(-8245.87627, 151692.79859)","(-8232.98348, 151801.17151)"
"(-8214.04646, 151962.82384)","(-8232.98348, 151801.17151)"
"(-9938.65227, 149154.81321)","(-9956.90198, 149155.55691)"
"(-10067.64118, 148962.60741)","(-9956.90198, 149155.55691)"
"(-9799.49707, 149327.06965)","(-9956.90198, 149155.55691)"
"(-9055.75438, 148780.37381)","(-9267.94948, 148614.27461)"
"(-9624.70188, 148688.48941)","(-9267.94948, 148614.27461)"
"(-9028.69179, 148622.97994)","(-9267.94948, 148614.27461)"
"(-9465.16664, 148761.07614)","(-9267.94948, 148614.27461)"
"(-9424.02391, 148616.83292)","(-9267.94948, 148614.27461)"
"(-9850.83509, 149543.57647)","(-9840.89568, 149535.23461)"
"(-9616.60468, 149684.09891)","(-9840.89568, 149535.23461)"
"(-8642.06068, 151484.51241)","(-8603.45698, 151442.41251)"
"(-8541.53788, 151163.40521)","(-8603.45698, 151442.41251)"
"(-8482.80244, 151586.28098)","(-8603.45698, 151442.41251)"
"(-8616.08548, 151635.50621)","(-8642.06068, 151484.51241)"
"(-8953.48438, 148779.78151)","(-9055.75438, 148780.37381)"
"(-9355.83098, 148869.48711)","(-9055.75438, 148780.37381)"
"(-9028.69179, 148622.97994)","(-9055.75438, 148780.37381)"
"(-9465.16664, 148761.07614)","(-9055.75438, 148780.37381)"
"(-9056.37368, 148999.23316)","(-9055.75438, 148780.37381)"
"(-9616.84428, 150346.57021)","(-9783.36978, 150083.96631)"
"(-9659.64489, 149999.23651)","(-9783.36978, 150083.96631)"
"(-8562.05388, 152884.52621)","(-8519.65118, 152562.65291)"
"(-8483.41108, 152191.69191)","(-8519.65118, 152562.65291)"
"(-8273.27881, 152718.32373)","(-8519.65118, 152562.65291)"
"(-8368.12405, 152387.73976)","(-8519.65118, 152562.65291)"
"(-10614.80738, 147658.01291)","(-10703.25028, 147363.33281)"
"(-10593.26231, 147235.79528)","(-10703.25028, 147363.33281)"
"(-8527.00488, 148818.23501)","(-8829.41218, 148652.51591)"
"(-8953.48438, 148779.78151)","(-8829.41218, 148652.51591)"
