variable,value,node_type_info,action,road_type,edge,period
flow_timber_node27node15_t4,1.9999999999999925,node27transit_node15transit,flow,timber,node27node15,4.0
flow_timber_node27node15_t5,2.0,node27transit_node15transit,flow,timber,node27node15,5.0
flow_timber_node74node60_t1,1.0,node74source_node60exit,flow,timber,node74node60,1.0
flow_timber_node74node60_t2,1.0,node74source_node60exit,flow,timber,node74node60,2.0
flow_timber_node74node60_t4,1.0,node74source_node60exit,flow,timber,node74node60,4.0
flow_timber_node74node63_t3,1.0,node74source_node63exit,flow,timber,node74node63,3.0
flow_timber_node74node63_t5,1.0,node74source_node63exit,flow,timber,node74node63,5.0
flow_timber_node68node27_t1,1.0,node68source_node27transit,flow,timber,node68node27,1.0
flow_timber_node68node27_t4,1.0,node68source_node27transit,flow,timber,node68node27,4.0
flow_timber_node68node27_t5,1.0,node68source_node27transit,flow,timber,node68node27,5.0
