ID_UG;nodes
1038;(-11022.28918, 148344.65331),(-10979.90808, 148514.67611),(-10394.26358, 148043.47361),(-10502.55748, 148422.87531),(-11026.54518, 148347.23531)
976;(-10831.58248, 149530.59371),(-10757.88838, 149685.10541),(-10319.05108, 149890.84211),(-10308.00978, 150027.72871),(-10793.02358, 149833.15541),(-10788.47436, 149851.70648)
1378;(-10831.58248, 149530.59371),(-10658.01548, 149547.52701),(-10757.88838, 149685.10541),(-10757.8104, 149589.30114)
1032;(-10479.26608, 148736.35071),(-10285.51438, 149182.43681),(-10549.45308, 149195.18991),(-10067.64118, 148962.60741),(-10550.31738, 149192.29331),(-10408.74968, 149060.67031),(-10012.02228, 149237.86841),(-9956.90198, 149155.55691),(-10554.96288, 148809.15251),(-10785.33388, 149058.03671),(-10343.70484, 148954.31333)
1033;(-10479.26608, 148736.35071),(-10927.57758, 148891.05861),(-10539.29848, 148693.46491),(-10810.04518, 148739.02791),(-10554.96288, 148809.15251),(-10787.56976, 148770.65187)
1210;(-10479.26608, 148736.35071),(-9851.55108, 148828.14211),(-10067.64118, 148962.60741),(-10539.29848, 148693.46491),(-10052.42778, 148364.57841),(-9837.32306, 148579.28166),(-9824.62006, 148522.68223)
1377;(-10285.51438, 149182.43681),(-10012.02228, 149237.86841),(-10037.13358, 149254.05121),(-10133.71549, 149147.44965)
1262;(-10285.51438, 149182.43681),(-9696.70618, 149333.69741),(-10549.45308, 149195.18991),(-9916.47948, 149638.33261),(-10484.22468, 149388.86291),(-10037.13358, 149254.05121),(-9799.49707, 149327.06965),(-9850.83509, 149543.57647)
1036;(-10979.90808, 148514.67611),(-10539.29848, 148693.46491),(-10810.04518, 148739.02791),(-10502.55748, 148422.87531),(-10715.51166, 148570.73658)
1037;(-10979.90808, 148514.67611),(-10927.57758, 148891.05861),(-10810.04518, 148739.02791),(-11026.54518, 148347.23531),(-11055.12094, 148349.77048),(-11146.12689, 148608.94205)
1295;(-9696.70618, 149333.69741),(-10012.02228, 149237.86841),(-9956.90198, 149155.55691),(-10037.13358, 149254.05121),(-9768.74118, 149033.78711)
1208;(-9976.24618, 149694.22161),(-10319.05108, 149890.84211),(-10221.08298, 149763.32911),(-10308.00978, 150027.72871),(-10000.61717, 149694.17443),(-10269.17415, 149957.4208)
1272;(-9976.24618, 149694.22161),(-9916.47948, 149638.33261),(-10484.22468, 149388.86291),(-10647.58738, 149585.06161),(-10221.08298, 149763.32911),(-9929.14039, 149632.91781)
1211;(-9851.55108, 148828.14211),(-10067.64118, 148962.60741),(-9956.90198, 149155.55691),(-9768.74118, 149033.78711),(-9834.20877, 148845.28085),(-9938.65227, 149154.81321)
1031;(-10550.31738, 149192.29331),(-10408.74968, 149060.67031),(-10785.33388, 149058.03671)
865;(-10539.29848, 148693.46491),(-10052.42778, 148364.57841),(-10394.26358, 148043.47361),(-10502.55748, 148422.87531),(-10057.25076, 148338.88572),(-10224.00658, 148124.76855)
975;(-10658.01548, 149547.52701),(-10757.88838, 149685.10541),(-10319.05108, 149890.84211),(-10647.58738, 149585.06161),(-10221.08298, 149763.32911),(-10465.0175, 149748.70067)
