variable,lb,ub,type,edge,period,road_type
flow_timber_node99node152_t4,0.0,9.0,I,node99node152,4,timber
flow_timber_node99node152_t5,0.0,9.0,I,node99node152,5,timber
flow_wide_node99node152_t1,0.0,9.0,I,node99node152,1,wide
flow_wide_node99node152_t2,0.0,9.0,I,node99node152,2,wide
flow_wide_node99node152_t3,0.0,9.0,I,node99node152,3,wide
flow_wide_node99node152_t4,0.0,9.0,I,node99node152,4,wide
flow_wide_node99node152_t5,0.0,9.0,I,node99node152,5,wide
flow_timber_node99node163_t1,0.0,9.0,I,node99node163,1,timber
flow_timber_node99node163_t2,0.0,9.0,I,node99node163,2,timber
flow_timber_node99node163_t3,0.0,9.0,I,node99node163,3,timber
flow_timber_node99node163_t4,0.0,9.0,I,node99node163,4,timber
flow_timber_node99node163_t5,0.0,9.0,I,node99node163,5,timber
flow_wide_node99node163_t1,0.0,9.0,I,node99node163,1,wide
flow_wide_node99node163_t2,0.0,9.0,I,node99node163,2,wide
flow_wide_node99node163_t3,0.0,9.0,I,node99node163,3,wide
flow_wide_node99node163_t4,0.0,9.0,I,node99node163,4,wide
flow_wide_node99node163_t5,0.0,9.0,I,node99node163,5,wide
flow_timber_node152node1_t1,0.0,9.0,I,node152node1,1,timber
flow_timber_node152node1_t2,0.0,9.0,I,node152node1,2,timber
flow_timber_node152node1_t3,0.0,9.0,I,node152node1,3,timber
flow_timber_node152node1_t4,0.0,9.0,I,node152node1,4,timber
flow_timber_node152node1_t5,0.0,9.0,I,node152node1,5,timber
flow_wide_node152node1_t1,0.0,9.0,I,node152node1,1,wide
flow_wide_node152node1_t2,0.0,9.0,I,node152node1,2,wide
flow_wide_node152node1_t3,0.0,9.0,I,node152node1,3,wide
flow_wide_node152node1_t4,0.0,9.0,I,node152node1,4,wide
flow_wide_node152node1_t5,0.0,9.0,I,node152node1,5,wide
flow_timber_node152node8_t1,0.0,9.0,I,node152node8,1,timber
flow_timber_node152node8_t2,0.0,9.0,I,node152node8,2,timber
flow_timber_node152node8_t3,0.0,9.0,I,node152node8,3,timber
flow_timber_node152node8_t4,0.0,9.0,I,node152node8,4,timber
flow_timber_node152node8_t5,0.0,9.0,I,node152node8,5,timber
flow_wide_node152node8_t1,0.0,9.0,I,node152node8,1,wide
flow_wide_node152node8_t2,0.0,9.0,I,node152node8,2,wide
flow_wide_node152node8_t3,0.0,9.0,I,node152node8,3,wide
flow_wide_node152node8_t4,0.0,9.0,I,node152node8,4,wide
