Node,Stand
"(-22280.66908, 152338.23401)",[839]
"(-22188.78878, 152287.43571)",[839]
"(-22158.16438, 152270.21571)",[839]
"(-22103.28968, 152221.07471)",[839]
"(-22028.60838, 152180.01791)",[839]
"(-21900.12438, 152148.49871)",[839]
"(-21836.14178, 152122.67691)",[839]
"(-21862.10518, 152070.10531)",[839]
"(-21917.37898, 152072.26401)",[839]
"(-21987.81028, 152066.79221)",[839]
"(-22066.96268, 152059.26121)",[839]
"(-22095.67248, 152026.04321)",[839]
"(-22131.19338, 151998.07341)","[1215, 839]"
"(-22178.57798, 151978.28921)","[1215, 839]"
"(-22167.32808, 152030.79911)","[1215, 1530, 839]"
"(-22164.62588, 152043.41201)","[1530, 839]"
"(-22156.70788, 152054.47681)","[1530, 839]"
"(-22179.26418, 152063.78501)","[1530, 839]"
"(-22199.10798, 152082.30581)","[1530, 839]"
"(-22245.37828, 152119.67791)","[1530, 839]"
"(-22267.89988, 152137.86851)","[1530, 839]"
"(-22339.33738, 152194.75401)","[1530, 839]"
"(-22359.46108, 152204.81581)","[1215, 1530, 839]"
"(-22412.89178, 152231.53121)","[1215, 839]"
"(-22449.13978, 152241.05621)","[1215, 839]"
"(-22434.58758, 152278.09791)",[839]
"(-22404.16048, 152320.43141)",[839]
"(-22385.20578, 152340.08801)",[839]
"(-22368.44168, 152357.47301)",[839]
"(-22336.51518, 152358.61961)",[839]
"(-21993.65608, 152171.44355)",[839]
"(-22164.18023, 151984.30062)",[839]
"(-22401.46398, 152150.44331)","[1530, 1215]"
"(-22412.04738, 152135.62661)","[1530, 1215]"
"(-22359.13058, 152121.86821)","[1530, 1215]"
"(-22251.18028, 152058.36811)","[1530, 1215]"
"(-22203.55528, 152035.08471)","[1530, 1215]"
"(-22199.32188, 152003.33461)","[1530, 1215]"
"(-22130.07948, 151950.06901)",[1215]
"(-22117.27818, 151871.15441)",[1215]
"(-22156.98848, 151859.53331)",[1215]
"(-22156.98848, 151784.12701)",[1215]
"(-22115.97798, 151760.31441)",[1215]
"(-22106.71758, 151728.56441)",[1215]
"(-22130.25188, 151703.33831)",[1215]
"(-22152.46188, 151695.24861)",[1215]
"(-22208.98648, 151695.82121)",[1215]
"(-22256.41748, 151721.54391)",[1215]
"(-22301.94488, 151753.16691)",[1215]
"(-22355.23598, 151814.07081)",[1215]
"(-22420.11178, 151812.62061)",[1215]
"(-22450.46268, 151826.10051)",[1215]
"(-22532.48368, 151799.64211)",[1215]
"(-22487.50438, 151876.90061)",[1215]
"(-22463.69188, 152011.83831)",[1215]
"(-22470.25578, 152084.29741)",[1215]
"(-22479.78078, 152149.38501)",[1215]
"(-22457.55578, 152203.36011)",[1215]
"(-22156.98848, 151787.68268)",[1215]
