ID_UG;nodes
1267;(-16320.80838, 151919.77041),(-16348.11208, 151872.35941),(-16053.63158, 151800.99241),(-16177.78868, 152360.28931),(-16196.63518, 152389.50511),(-16193.87978, 152273.95141),(-16032.69918, 152047.32941),(-16129.48928, 151638.06691)
861;(-16569.32618, 150979.28741),(-16808.55408, 151009.05311),(-16575.43868, 151156.44821),(-16852.21858, 151033.36171),(-16841.99248, 151027.66871)
1173;(-16569.32618, 150979.28741),(-16575.43868, 151156.44821),(-16237.45418, 150924.96511),(-16273.14248, 151243.12321),(-16339.84618, 151083.84339)
1234;(-15761.71028, 151228.89011),(-16348.11208, 151872.35941),(-16596.47518, 151702.05511),(-16171.16938, 151270.27541),(-15911.35608, 151149.26531),(-16583.99398, 151715.89081),(-16129.48928, 151638.06691)
1232;(-16053.63158, 151800.99241),(-15418.47388, 152048.63201),(-16032.69918, 152047.32941),(-15644.72008, 152119.21781),(-15697.22236, 151795.71972)
857;(-16177.78868, 152360.28931),(-15756.03528, 152567.21331),(-16193.87978, 152273.95141),(-15657.68558, 152496.07061),(-15902.13488, 152289.47771),(-15889.01691, 152400.40816)
1306;(-16177.78868, 152360.28931),(-16196.63518, 152389.50511),(-15756.03528, 152567.21331)
817;(-17121.48414, 151579.06896),(-17072.64448, 151323.34751),(-16986.48678, 151310.01251),(-16772.01658, 151520.23581),(-17052.54658, 151306.84981),(-16737.56238, 151361.11481),(-17091.20236, 151369.30018)
1268;(-17121.48414, 151579.06896),(-16596.47518, 151702.05511),(-16583.99398, 151715.89081),(-16772.01658, 151520.23581)
1303;(-16596.47518, 151702.05511),(-16171.16938, 151270.27541),(-16575.43868, 151156.44821),(-16273.14248, 151243.12321),(-16772.01658, 151520.23581),(-16737.56238, 151361.11481),(-16545.99384, 151404.14121)
943;(-16171.16938, 151270.27541),(-16237.45418, 150924.96511),(-15911.35608, 151149.26531),(-16273.14248, 151243.12321),(-15842.48604, 151170.45481),(-16203.4408, 150878.98087)
882;(-15418.47388, 152048.63201),(-15644.72008, 152119.21781),(-15657.68558, 152496.07061),(-15902.13488, 152289.47771),(-15631.13294, 152270.4154)
881;(-16193.87978, 152273.95141),(-16032.69918, 152047.32941),(-15644.72008, 152119.21781),(-15902.13488, 152289.47771),(-15892.13231, 152158.89453)
860;(-17072.64448, 151323.34751),(-16575.43868, 151156.44821),(-16986.48678, 151310.01251),(-16852.21858, 151033.36171),(-16737.56238, 151361.11481),(-16979.12465, 151230.46695)
