Node1,Node2,edgelength,slope,Build5m,Maintain5m,Build10m,Maintain10m,Upgrade
"(-11981.3929, 146557.6991)","(-11980.1533, 146497.6713)",74.234,10.5,358604.92,139440.59,537907.39,268953.69,139440.59
"(-11981.3929, 146557.6991)","(-11922.9712, 146587.7001)",32.427,10.5,156648.87,60911.63,234973.3,117486.65,60911.63
"(-11906.9218, 146360.9655)","(-11884.0514, 146336.7197)",46.841,30.5,351988.82,125710.29,527983.23,263991.61,125710.29
"(-11906.9218, 146360.9655)","(-11885.2779, 146373.2467)",40.966,30.5,307839.31,109942.61,461758.96,230879.48,109942.61
"(-11535.1215, 146609.7358)","(-11577.2633, 146583.6915)",59.567,23.6,287754.48,111890.98,431631.71,215815.86,111890.98
"(-11535.1215, 146609.7358)","(-11484.5784, 146670.5617)",49.753,23.6,240342.43,93455.19,360513.64,180256.82,93455.19
"(-11361.9378, 146455.9971)","(-11415.4928, 146471.3953)",67.546,23.6,326296.85,126877.87,489445.28,244722.64,126877.87
"(-11361.9378, 146455.9971)","(-11323.3171, 146409.8271)",50.555,23.6,244218.67,94962.43,366328.01,183164.0,94962.43
"(-10960.5979, 146487.3601)","(-10995.021, 146536.3247)",50.977,21.6,246255.44,95754.42,369383.16,184691.58,95754.42
"(-10960.5979, 146487.3601)","(-10911.4313, 146442.7267)",58.676,21.6,283449.98,110217.21,425174.97,212587.49,110217.21
"(-11878.4104, 146629.318)","(-11922.9712, 146587.7001)",36.924,10.5,178372.53,69358.7,267558.8,133779.4,69358.7
"(-11878.4104, 146629.318)","(-11819.1696, 146646.5278)",62.903,23.6,303868.16,118156.65,455802.25,227901.12,118156.65
"(-11878.4104, 146629.318)","(-11886.3329, 146688.136)",11.466,41.5,86163.65,30772.73,129245.48,64622.74,30772.73
"(-11849.8706, 146114.3829)","(-11769.1725, 146150.1016)",132.592,26.1,996364.15,355844.34,1494546.23,747273.11,355844.34
"(-11849.8706, 146114.3829)","(-11912.0478, 146107.7682)",22.25,26.1,167199.14,59713.98,250798.71,125399.35,59713.98
"(-10924.2485, 146654.8657)","(-10983.6465, 146637.6032)",39.77,10.5,192118.98,74703.9,288178.47,144089.24,74703.9
"(-10924.2485, 146654.8657)","(-10889.6953, 146629.4643)",80.494,10.5,388849.03,151200.77,583273.55,291636.77,151200.77
"(-11169.6078, 146161.0069)","(-11110.0765, 146182.1736)",63.182,23.6,305218.34,118681.66,457827.52,228913.76,118681.66
"(-11169.6078, 146161.0069)","(-11210.6184, 146172.9132)",42.704,23.6,206292.47,80215.14,309438.71,154719.35,80215.14
"(-10983.6465, 146637.6032)","(-11014.1124, 146687.072)",20.136,10.5,97272.13,37823.47,145908.19,72954.09,37823.47
"(-11013.5034, 145963.8919)","(-10946.0345, 146150.4236)",53.649,21.8,259166.61,100774.82,388749.91,194374.95,100774.82
"(-11013.5034, 145963.8919)","(-11061.1285, 145840.8605)",56.923,21.8,274982.13,106924.55,412473.19,206236.6,106924.55
"(-11772.6121, 146349.836)","(-11722.8704, 146339.2526)",43.767,21.6,211429.94,82212.8,317144.91,158572.45,82212.8
"(-11772.6121, 146349.836)","(-11825.5289, 146354.0693)",47.448,21.6,229209.73,89126.33,343814.6,171907.3,89126.33
"(-11940.8875, 146327.611)","(-11957.6941, 146290.2512)",47.915,21.6,231468.0,90004.44,347202.0,173601.0,90004.44
"(-11940.8875, 146327.611)","(-11911.2541, 146320.2026)",146.013,16.1,705353.03,274270.76,1058029.54,529014.77,274270.76
"(-11884.0514, 146336.7197)","(-11880.5623, 146350.8943)",87.538,21.6,422873.98,164431.09,634310.96,317155.48,164431.09
