C_timber_node2node92_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_timber_node2node92_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node2node92_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node2node92_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node2node92_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node2node92_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node2node92_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_wide_node2node92_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node2node92_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node2node92_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node2node92_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node2node92_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node2node101_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_timber_node2node101_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node2node101_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node2node101_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node2node101_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node2node101_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node2node101_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_wide_node2node101_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node2node101_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node2node101_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node2node101_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node2node101_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node3node23_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_timber_node3node23_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node3node23_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node3node23_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node3node23_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node3node23_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node3node23_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_wide_node3node23_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node3node23_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node3node23_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node3node23_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node3node23_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node3node38_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_timber_node3node38_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node3node38_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node3node38_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node3node38_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node3node38_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node3node38_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_wide_node3node38_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node3node38_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node3node38_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node3node38_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node3node38_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node3node32_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_timber_node3node32_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node3node32_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node3node32_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node3node32_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node3node32_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node3node32_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_wide_node3node32_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node3node32_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node3node32_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node3node32_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node3node32_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node3node94_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_timber_node3node94_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node3node94_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node3node94_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node3node94_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node3node94_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node3node94_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_wide_node3node94_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node3node94_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node3node94_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node3node94_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node3node94_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node3node95_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_timber_node3node95_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node3node95_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node3node95_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node3node95_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node3node95_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node3node95_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_wide_node3node95_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node3node95_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node3node95_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node3node95_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node3node95_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node4node16_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_timber_node4node16_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node4node16_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node4node16_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node4node16_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node4node16_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node4node16_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_wide_node4node16_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node4node16_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node4node16_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node4node16_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node4node16_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node4node35_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_timber_node4node35_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node4node35_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node4node35_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node4node35_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node4node35_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node4node35_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_wide_node4node35_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node4node35_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node4node35_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node4node35_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node4node35_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node4node43_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_timber_node4node43_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node4node43_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node4node43_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node4node43_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node4node43_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node4node43_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_wide_node4node43_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node4node43_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node4node43_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node4node43_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node4node43_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node4node88_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_timber_node4node88_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node4node88_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node4node88_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node4node88_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node4node88_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node4node88_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_wide_node4node88_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node4node88_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node4node88_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node4node88_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node4node88_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node4node95_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_timber_node4node95_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node4node95_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node4node95_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node4node95_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node4node95_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node4node95_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_wide_node4node95_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node4node95_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node4node95_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node4node95_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node4node95_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node5node40_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_timber_node5node40_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node5node40_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node5node40_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node5node40_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node5node40_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node5node40_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_wide_node5node40_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node5node40_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node5node40_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node5node40_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node5node40_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node5node80_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_timber_node5node80_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node5node80_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node5node80_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node5node80_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node5node80_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node5node80_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_wide_node5node80_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node5node80_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node5node80_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node5node80_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node5node80_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node5node52_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_timber_node5node52_t1: lb=0.0, ub=1.0, type=B, cost=N/A
