"Source(x,y)","Target(x,y)",edgelength,has_exit,has_source,Build5m,Maintain5m,Build10m,Maintain10m,Upgrade,slope,removed_nodes
"(-11631.18218, 147630.20151)","(-11647.46748, 147490.42951)",0.14550141214004728,False,False,702,273,1055,273,526,False,"[(-11630.02818, 147602.50491), (-11623.20188, 147581.12111), (-11640.43388, 147547.99661)]"
"(-11631.18218, 147630.20151)","(-11132.66948, 147480.70801)",0.9642783537200064,False,False,4659,1811,6988,1811,3495,False,"[(-11391.61478, 147775.87141), (-11460.40638, 147777.19431), (-11535.81258, 147782.48601), (-11596.66668, 147745.44441), (-11629.73958, 147656.80881), (-11627.09388, 147631.67331), (-11338.69818, 147842.01731), (-11282.40848, 147651.99271), (-11278.82848, 147650.39841), (-11271.26558, 147647.03021), (-11227.12008, 147608.29111), (-11183.76458, 147549.75061)]"
"(-11631.18218, 147630.20151)","(-11915.1548, 147459.44344)",0.5552969750536386,True,False,2681,1042,4024,1042,2011,False,"[(-11660.16668, 147619.76711), (-11689.27088, 147599.92341), (-11727.63538, 147599.92341), (-11771.29168, 147565.52741), (-11821.56248, 147544.36071), (-11859.92698, 147543.03791), (-11906.22908, 147549.65251), (-11968.40608, 147529.80881), (-11997.51028, 147507.31921), (-12013.89618, 147482.77381), (-11907.78118, 147475.53071)]"
"(-11631.18218, 147630.20151)","(-11364.13313, 147519.988)",0.0,False,True,0,0,0,0,0,False,
"(-11647.46748, 147490.42951)","(-11631.18218, 147630.20151)",0.14550141214004728,False,False,702,273,1055,273,526,False,"[(-11630.02818, 147602.50491), (-11623.20188, 147581.12111), (-11640.43388, 147547.99661)]"
"(-11647.46748, 147490.42951)","(-11646.16018, 147401.95171)",0.08848745745092244,True,False,427,166,641,166,321,22.0042,
"(-11647.46748, 147490.42951)","(-11514.13248, 147464.64091)",0.13580601649028573,False,False,656,255,984,255,492,17.9728,
"(-11647.46748, 147490.42951)","(-11364.13313, 147519.988)",0.0,False,True,0,0,0,0,0,False,
"(-11132.66948, 147480.70801)","(-11631.18218, 147630.20151)",0.9642783537200064,False,False,4659,1811,6988,1811,3495,False,"[(-11391.61478, 147775.87141), (-11460.40638, 147777.19431), (-11535.81258, 147782.48601), (-11596.66668, 147745.44441), (-11629.73958, 147656.80881), (-11627.09388, 147631.67331), (-11338.69818, 147842.01731), (-11282.40848, 147651.99271), (-11278.82848, 147650.39841), (-11271.26558, 147647.03021), (-11227.12008, 147608.29111), (-11183.76458, 147549.75061)]"
"(-11132.66948, 147480.70801)","(-11075.82558, 147421.72201)",0.08191811254667984,True,False,616,220,923,220,462,27.3179,
"(-11132.66948, 147480.70801)","(-11081.61037, 147725.38422)",0.2991619125201591,True,False,2248,804,3372,804,1686,False,"[(-11132.32458, 147483.41061)]"
"(-11132.66948, 147480.70801)","(-11514.13248, 147464.64091)",1.1866325181264639,False,False,5733,2229,8598,2229,4300,False,"[(-11234.05258, 147090.07501), (-11198.00838, 147154.67671), (-11178.44578, 147234.26681), (-11165.64668, 147303.69951), (-11155.29058, 147375.72601), (-11144.96408, 147439.76631), (-11292.25928, 147119.09231), (-11363.78338, 147488.58841)]"
"(-11132.66948, 147480.70801)","(-11364.13313, 147519.988)",0.0,False,True,0,0,0,0,0,False,
"(-11915.1548, 147459.44344)","(-11631.18218, 147630.20151)",0.5552969750536386,True,False,2681,1042,4024,1042,2011,False,"[(-11660.16668, 147619.76711), (-11689.27088, 147599.92341), (-11727.63538, 147599.92341), (-11771.29168, 147565.52741), (-11821.56248, 147544.36071), (-11859.92698, 147543.03791), (-11906.22908, 147549.65251), (-11968.40608, 147529.80881), (-11997.51028, 147507.31921), (-12013.89618, 147482.77381), (-11907.78118, 147475.53071)]"
"(-11915.1548, 147459.44344)","(-12150.41828, 147034.86361)",0.6327859420978539,True,False,3056,1187,4584,1187,2293,False,"[(-12162.38518, 147088.50391), (-12204.27398, 147128.64421), (-12150.88468, 147155.23851), (-12109.83968, 147196.45381), (-12084.26298, 147266.00361)]"
"(-11364.13313, 147519.988)","(-11631.18218, 147630.20151)",0.0,False,True,0,0,0,0,0,False,
"(-11364.13313, 147519.988)","(-11132.66948, 147480.70801)",0.0,False,True,0,0,0,0,0,False,
"(-11364.13313, 147519.988)","(-11514.13248, 147464.64091)",0.0,False,True,0,0,0,0,0,False,
"(-11364.13313, 147519.988)","(-11647.46748, 147490.42951)",0.0,False,True,0,0,0,0,0,False,
"(-12150.41828, 147034.86361)","(-11666.33808, 147348.19052)",0.6953419852308362,True,False,3358,1307,5038,1307,2519,False,"[(-11999.01518, 147095.74961), (-12069.20318, 147054.50501), (-11943.52028, 147119.77031), (-11888.78078, 147252.51691), (-11835.29698, 147287.21631)]"
"(-12150.41828, 147034.86361)","(-11915.1548, 147459.44344)",0.6327859420978539,True,False,3056,1187,4584,1187,2293,False,"[(-12162.38518, 147088.50391), (-12204.27398, 147128.64421), (-12150.88468, 147155.23851), (-12109.83968, 147196.45381), (-12084.26298, 147266.00361)]"
"(-12150.41828, 147034.86361)","(-12225.39426, 146864.2554)",0.5057895490274412,True,False,2443,949,3666,949,1833,False,"[(-12204.74978, 147015.54981), (-12175.38008, 146983.42491), (-12227.37888, 146947.12761), (-12282.05788, 146930.75591), (-12339.89678, 146919.53631), (-12376.80708, 146880.38561), (-12313.59968, 146834.82901), (-12260.58868, 146857.39641)]"
"(-11666.33808, 147348.19052)","(-12150.41828, 147034.86361)",0.6953419852308362,True,False,3358,1307,5038,1307,2519,False,"[(-11999.01518, 147095.74961), (-12069.20318, 147054.50501), (-11943.52028, 147119.77031), (-11888.78078, 147252.51691), (-11835.29698, 147287.21631)]"
"(-11666.33808, 147348.19052)","(-11646.16018, 147401.95171)",0.057423106835358464,True,False,277,108,416,108,208,22.0042,
"(-12225.39426, 146864.2554)","(-12150.41828, 147034.86361)",0.5057895490274412,True,False,2443,949,3666,949,1833,False,"[(-12204.74978, 147015.54981), (-12175.38008, 146983.42491), (-12227.37888, 146947.12761), (-12282.05788, 146930.75591), (-12339.89678, 146919.53631), (-12376.80708, 146880.38561), (-12313.59968, 146834.82901), (-12260.58868, 146857.39641)]"
"(-12225.39426, 146864.2554)","(-11529.38348, 147400.07031)",1.8421110538266827,True,False,8897,3461,13347,3461,6675,False,"[(-11483.14908, 147175.25021), (-11562.88688, 147199.90681), (-11520.39438, 147127.53061), (-11461.13718, 147087.28651), (-11463.43268, 147024.62021), (-11512.74898, 147005.49461), (-11567.55768, 147020.37881), (-11636.58518, 147037.84251), (-11731.39298, 147083.07661), (-11793.94458, 147077.22441), (-11781.58465, 147066.21702), (-11701.81518, 146963.95881), (-11787.35798, 146901.58651), (-11829.82083, 146875.34897), (-12192.16702, 146876.89672), (-12203.62278, 146868.49841)]"
"(-11075.82558, 147421.72201)","(-11132.66948, 147480.70801)",0.08191811254667984,True,False,616,220,923,220,462,27.3179,
"(-11075.82558, 147421.72201)","(-11081.61037, 147725.38422)",0.8411344770260936,True,False,6320,2258,9482,2258,4742,False,"[(-10853.57068, 147633.10931), (-10829.00078, 147543.18251), (-10863.13278, 147482.92991), (-10863.29318, 147724.79031), (-11052.29308, 147653.28933), (-11065.64779, 147675.74277)]"
"(-11081.61037, 147725.38422)","(-11132.66948, 147480.70801)",0.2991619125201591,True,False,2248,804,3372,804,1686,False,"[(-11132.32458, 147483.41061)]"
"(-11081.61037, 147725.38422)","(-11075.82558, 147421.72201)",0.8411344770260936,True,False,6320,2258,9482,2258,4742,False,"[(-10853.57068, 147633.10931), (-10829.00078, 147543.18251), (-10863.13278, 147482.92991), (-10863.29318, 147724.79031), (-11052.29308, 147653.28933), (-11065.64779, 147675.74277)]"
"(-11514.13248, 147464.64091)","(-11132.66948, 147480.70801)",1.1866325181264639,False,False,5733,2229,8598,2229,4300,False,"[(-11234.05258, 147090.07501), (-11198.00838, 147154.67671), (-11178.44578, 147234.26681), (-11165.64668, 147303.69951), (-11155.29058, 147375.72601), (-11144.96408, 147439.76631), (-11292.25928, 147119.09231), (-11363.78338, 147488.58841)]"
"(-11514.13248, 147464.64091)","(-11529.38348, 147400.07031)",0.0663472334416219,True,False,321,125,481,125,240,22.0042,
"(-11514.13248, 147464.64091)","(-11647.46748, 147490.42951)",0.13580601649028573,False,False,656,255,984,255,492,17.9728,
"(-11514.13248, 147464.64091)","(-11364.13313, 147519.988)",0.0,False,True,0,0,0,0,0,False,
"(-11529.38348, 147400.07031)","(-11514.13248, 147464.64091)",0.0663472334416219,True,False,321,125,481,125,240,22.0042,
"(-11529.38348, 147400.07031)","(-12225.39426, 146864.2554)",1.8421110538266827,True,False,8897,3461,13347,3461,6675,False,"[(-11483.14908, 147175.25021), (-11562.88688, 147199.90681), (-11520.39438, 147127.53061), (-11461.13718, 147087.28651), (-11463.43268, 147024.62021), (-11512.74898, 147005.49461), (-11567.55768, 147020.37881), (-11636.58518, 147037.84251), (-11731.39298, 147083.07661), (-11793.94458, 147077.22441), (-11781.58465, 147066.21702), (-11701.81518, 146963.95881), (-11787.35798, 146901.58651), (-11829.82083, 146875.34897), (-12192.16702, 146876.89672), (-12203.62278, 146868.49841)]"
"(-11646.16018, 147401.95171)","(-11647.46748, 147490.42951)",0.08848745745092244,True,False,427,166,641,166,321,22.0042,
"(-11646.16018, 147401.95171)","(-11666.33808, 147348.19052)",0.057423106835358464,True,False,277,108,416,108,208,22.0042,
