0.0 * C_node2node8_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node2node8_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node2node8_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node2node8_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node2node8_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node2node8_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node2node8_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node2node8_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node2node8_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node2node8_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node2node8_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
0.0 * C_node2node8_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
2147.0 * C_node3node4_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
1807.72 * C_node3node4_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
1281.52 * C_node3node4_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
908.5 * C_node3node4_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
644.05 * C_node3node4_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
456.58 * C_node3node4_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
3220.0 * C_node3node4_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
2711.15 * C_node3node4_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
1921.99 * C_node3node4_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
1362.53 * C_node3node4_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
965.93 * C_node3node4_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
684.76 * C_node3node4_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
5885.0 * C_node3node5_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
4955.01 * C_node3node5_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
3512.7 * C_node3node5_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
2490.22 * C_node3node5_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
1765.36 * C_node3node5_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
1251.5 * C_node3node5_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
8822.0 * C_node3node5_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
7427.89 * C_node3node5_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
5265.77 * C_node3node5_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
3733.0 * C_node3node5_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
2646.4 * C_node3node5_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
1876.08 * C_node3node5_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node3node8_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
