UG,need_5m_access_period1,need_5m_access_period2,need_5m_access_period3,need_5m_access_period4,need_5m_access_period5
840,1,0,1,1,1
1199,1,0,1,1,1
1206,1,1,1,1,1
1506,0,1,1,1,1
1510,1,1,0,1,1
1515,1,1,0,1,1
1519,1,1,1,1,1
1402,1,1,1,1,1
1404,1,1,1,1,1
1413,0,1,1,1,1
1415,1,1,1,1,1
1423,1,1,1,1,1
907,1,1,1,1,1
912,1,1,1,1,1
913,1,1,1,1,1
1145,1,1,0,1,1
1146,1,1,1,1,1
1148,1,1,1,1,0
1149,1,1,1,1,1
1153,1,1,1,1,1
1274,1,1,1,1,1
1275,1,1,1,1,1
1276,1,1,1,1,0
1278,0,0,0,1,1
1279,1,1,1,1,1
1469,1,0,1,1,1
1470,1,1,1,1,1
549,0,0,0,0,0
828,1,1,1,1,0
833,1,1,1,1,1
834,1,1,1,1,1
851,1,1,1,1,0
809,1,0,1,1,1
816,1,1,1,1,1
821,0,1,0,0,1
852,1,1,1,1,1
861,1,1,0,1,1
863,1,1,1,1,1
873,1,0,1,1,1
874,1,0,1,1,1
876,1,1,1,1,1
881,1,1,1,1,1
1109,1,1,1,1,0
1117,1,1,0,1,1
1118,1,1,1,1,1
1119,1,1,1,1,1
1120,1,1,0,1,1
1121,1,0,0,1,1
1122,1,1,1,0,1
887,1,1,1,1,1
890,1,1,1,1,1
897,1,1,1,1,1
903,1,1,1,1,1
904,1,1,1,1,1
920,1,1,1,1,1
928,0,1,1,1,1
942,1,1,0,1,1
944,1,1,1,1,1
945,1,1,0,1,1
946,1,1,1,1,1
947,1,0,1,1,1
948,1,0,1,1,1
958,1,1,1,1,1
959,0,0,1,1,1
960,0,0,1,1,0
967,0,1,1,1,1
968,1,0,1,1,1
980,1,1,1,1,1
981,1,1,1,1,1
982,1,1,1,1,1
983,1,1,1,1,0
984,1,0,1,1,1
987,1,0,1,1,1
989,1,1,1,1,1
990,1,1,0,1,1
992,1,1,1,1,1
993,1,0,0,1,1
997,1,0,1,1,1
1002,1,1,0,1,1
1014,1,1,0,1,1
1025,1,1,1,1,1
1027,1,1,1,1,1
1031,1,1,1,1,1
1033,1,1,1,1,0
1036,1,1,1,1,0
1042,1,1,1,1,1
1044,1,1,1,1,1
1045,1,1,1,1,1
1046,1,1,1,1,1
1047,1,1,1,1,1
1048,1,1,1,1,1
1049,1,1,1,1,1
1050,1,1,1,1,1
1051,1,0,0,1,1
1052,1,1,1,1,1
1053,1,1,0,1,1
1054,1,1,1,1,1
1055,1,1,1,1,1
1056,1,1,1,1,1
1058,0,1,1,1,1
1068,1,1,1,1,1
1071,1,1,1,1,1
1072,0,1,1,1,1
1074,0,1,1,1,1
1075,0,1,1,1,1
1076,0,1,1,1,1
1077,1,1,1,1,1
1078,0,1,1,1,1
1079,1,0,0,1,1
1080,1,1,1,1,1
1083,1,1,1,1,1
1084,1,0,1,1,1
1087,0,1,1,1,1
1088,1,0,1,1,1
1102,1,1,1,1,1
1123,1,0,1,1,1
1124,1,1,1,1,1
1125,1,0,1,1,1
1127,1,1,1,1,1
1128,1,0,0,1,1
1129,1,1,1,1,1
1130,1,1,1,1,1
1131,1,1,1,1,1
1132,1,0,1,1,1
1133,1,1,1,1,1
1134,1,1,1,1,1
1135,1,1,1,0,1
1137,1,1,1,1,1
1138,1,0,1,1,1
1140,1,1,1,1,1
1141,1,0,1,1,1
1142,1,0,0,1,1
1143,1,0,0,1,1
1144,1,1,1,1,1
1163,1,1,0,1,1
1184,1,1,1,1,0
1185,0,1,1,1,1
1186,1,1,1,0,1
1188,1,0,1,1,1
1190,1,0,1,1,1
1191,1,1,1,1,1
1193,1,1,1,1,1
1197,1,1,1,1,1
1231,1,1,1,1,1
1237,0,1,1,1,1
1248,1,1,1,1,1
1251,1,0,0,1,1
1263,1,0,1,1,1
1284,1,1,1,1,1
1290,1,0,1,1,1
1294,1,1,1,1,1
1314,1,1,0,1,1
1319,1,0,1,1,1
1323,1,1,0,1,1
1326,1,1,1,1,1
1329,1,1,0,1,1
1330,1,1,1,1,1
1331,1,1,0,1,1
1340,1,0,1,1,1
1351,1,1,1,1,1
1354,1,1,1,1,0
1355,1,1,1,1,1
1357,1,1,1,1,1
1363,1,0,1,1,1
1364,1,1,1,1,1
1369,1,1,1,1,0
1376,1,1,1,1,1
1378,1,1,1,1,1
1385,1,1,1,1,1
1386,1,1,1,1,1
1394,1,1,1,1,1
1424,1,1,1,1,1
1427,1,1,1,1,1
1431,1,1,1,1,0
1436,1,1,1,1,1
1437,1,1,1,1,1
1439,0,1,0,1,1
1440,1,1,1,1,1
1441,0,0,0,1,1
1444,1,1,1,1,1
1450,1,1,1,1,0
1454,1,1,1,1,1
1456,1,1,1,1,1
1474,1,1,1,1,1
1480,1,1,1,1,1
1481,0,1,1,1,1
1482,1,0,1,1,1
1483,1,1,1,0,1
1484,0,1,1,1,1
1485,1,1,1,0,1
1486,1,1,1,1,1
1487,0,1,1,1,1
1488,1,0,1,1,1
1499,1,1,1,1,0
1527,1,1,1,0,1
1534,1,1,1,1,1
1538,1,1,1,0,1
