ID_UG;nodes
889;(-13594.83638, 152617.47621),(-14082.63798, 152443.23231),(-13739.14518, 152641.79421),(-13914.65108, 152290.25701),(-13961.84288, 152728.86471)
891;(-13594.83638, 152617.47621),(-13778.20828, 152108.99701),(-13522.87838, 152849.29491),(-13362.17628, 152808.67871),(-13914.65108, 152290.25701),(-13221.67658, 152689.40911),(-13558.27628, 152780.48971),(-13405.32308, 152323.82821),(-13560.32763, 152476.27228)
892;(-13778.20828, 152108.99701),(-13226.64448, 152278.60011),(-13243.58668, 152379.02891),(-13405.32308, 152323.82821),(-13529.37011, 152212.61746)
893;(-13778.20828, 152108.99701),(-13226.64448, 152278.60011),(-13271.76318, 151812.57971),(-13349.88765, 151744.59057),(-13442.04961, 151801.6969)
888;(-13522.87838, 152849.29491),(-13739.14518, 152641.79421),(-13681.10978, 152902.13471),(-13961.84288, 152728.86471),(-13942.40988, 152971.90381),(-13558.27628, 152780.48971),(-13744.53149, 152665.31843)
887;(-13522.87838, 152849.29491),(-13362.17628, 152808.67871),(-13681.10978, 152902.13471),(-13582.74638, 153021.48891),(-13493.50517, 152945.44475)
897;(-12778.33448, 151909.37501),(-13083.86278, 151781.06611),(-12765.45238, 152045.47481),(-13028.65478, 151814.98641),(-12745.57858, 152035.91191),(-12920.58704, 151920.60817)
1499;(-12778.33448, 151909.37501),(-13028.65478, 151814.98641),(-12821.62268, 151741.34031),(-12885.01988, 151809.37583)
1500;(-12778.33448, 151909.37501),(-12745.57858, 152035.91191),(-12821.62268, 151741.34031),(-12729.35009, 151887.28069)
1188;(-13226.64448, 152278.60011),(-13083.86278, 151781.06611),(-12765.45238, 152045.47481),(-13271.76318, 151812.57971),(-13150.41954, 152029.66748)
890;(-13221.67658, 152689.40911),(-13243.58668, 152379.02891),(-13405.32308, 152323.82821),(-13312.76213, 152502.54054)
886;(-13681.10978, 152902.13471),(-13942.40988, 152971.90381),(-13582.74638, 153021.48891),(-13929.723, 152963.7647)
