variable,lb,ub,type,var_type_letter,road_type,edge,period,discounted_cost
C_node2node5_wide_t4,0.0,1.0,B,C,wide,node2node5,4,1427.59
C_node2node5_wide_t5,0.0,1.0,B,C,wide,node2node5,5,1012.05
C_node2node8_timber_t0,0.0,0.0,B,C,timber,node2node8,0,0.0
C_node2node8_timber_t1,0.0,1.0,B,C,timber,node2node8,1,0.0
C_node2node8_timber_t2,0.0,1.0,B,C,timber,node2node8,2,0.0
C_node2node8_timber_t3,0.0,1.0,B,C,timber,node2node8,3,0.0
C_node2node8_timber_t4,0.0,1.0,B,C,timber,node2node8,4,0.0
C_node2node8_timber_t5,0.0,1.0,B,C,timber,node2node8,5,0.0
C_node2node8_wide_t0,0.0,0.0,B,C,wide,node2node8,0,0.0
C_node2node8_wide_t1,0.0,1.0,B,C,wide,node2node8,1,0.0
C_node2node8_wide_t2,0.0,1.0,B,C,wide,node2node8,2,0.0
C_node2node8_wide_t3,0.0,1.0,B,C,wide,node2node8,3,0.0
C_node2node8_wide_t4,0.0,1.0,B,C,wide,node2node8,4,0.0
C_node2node8_wide_t5,0.0,1.0,B,C,wide,node2node8,5,0.0
C_node3node4_timber_t0,0.0,0.0,B,C,timber,node3node4,0,2147.0
C_node3node4_timber_t1,0.0,1.0,B,C,timber,node3node4,1,1807.72
C_node3node4_timber_t2,0.0,1.0,B,C,timber,node3node4,2,1281.52
C_node3node4_timber_t3,0.0,1.0,B,C,timber,node3node4,3,908.5
C_node3node4_timber_t4,0.0,1.0,B,C,timber,node3node4,4,644.05
C_node3node4_timber_t5,0.0,1.0,B,C,timber,node3node4,5,456.58
C_node3node4_wide_t0,0.0,0.0,B,C,wide,node3node4,0,3220.0
C_node3node4_wide_t1,0.0,1.0,B,C,wide,node3node4,1,2711.15
C_node3node4_wide_t2,0.0,1.0,B,C,wide,node3node4,2,1921.99
C_node3node4_wide_t3,0.0,1.0,B,C,wide,node3node4,3,1362.53
C_node3node4_wide_t4,0.0,1.0,B,C,wide,node3node4,4,965.93
C_node3node4_wide_t5,0.0,1.0,B,C,wide,node3node4,5,684.76
C_node3node5_timber_t0,0.0,0.0,B,C,timber,node3node5,0,5885.0
C_node3node5_timber_t1,0.0,1.0,B,C,timber,node3node5,1,4955.01
C_node3node5_timber_t2,0.0,1.0,B,C,timber,node3node5,2,3512.7
C_node3node5_timber_t3,0.0,1.0,B,C,timber,node3node5,3,2490.22
C_node3node5_timber_t4,0.0,1.0,B,C,timber,node3node5,4,1765.36
C_node3node5_timber_t5,0.0,1.0,B,C,timber,node3node5,5,1251.5
C_node3node5_wide_t0,0.0,0.0,B,C,wide,node3node5,0,8822.0
C_node3node5_wide_t1,0.0,1.0,B,C,wide,node3node5,1,7427.89
C_node3node5_wide_t2,0.0,1.0,B,C,wide,node3node5,2,5265.77
C_node3node5_wide_t3,0.0,1.0,B,C,wide,node3node5,3,3733.0
C_node3node5_wide_t4,0.0,1.0,B,C,wide,node3node5,4,2646.4
C_node3node5_wide_t5,0.0,1.0,B,C,wide,node3node5,5,1876.08
C_node3node8_timber_t0,0.0,0.0,B,C,timber,node3node8,0,0.0
C_node3node8_timber_t1,0.0,1.0,B,C,timber,node3node8,1,0.0
C_node3node8_timber_t2,0.0,1.0,B,C,timber,node3node8,2,0.0
C_node3node8_timber_t3,0.0,1.0,B,C,timber,node3node8,3,0.0
C_node3node8_timber_t4,0.0,1.0,B,C,timber,node3node8,4,0.0
C_node3node8_timber_t5,0.0,1.0,B,C,timber,node3node8,5,0.0
C_node3node8_wide_t0,0.0,0.0,B,C,wide,node3node8,0,0.0
C_node3node8_wide_t1,0.0,1.0,B,C,wide,node3node8,1,0.0
C_node3node8_wide_t2,0.0,1.0,B,C,wide,node3node8,2,0.0
C_node3node8_wide_t3,0.0,1.0,B,C,wide,node3node8,3,0.0
C_node3node8_wide_t4,0.0,1.0,B,C,wide,node3node8,4,0.0
C_node3node8_wide_t5,0.0,1.0,B,C,wide,node3node8,5,0.0
C_node4node7_timber_t0,0.0,0.0,B,C,timber,node4node7,0,350.0
C_node4node7_timber_t1,0.0,1.0,B,C,timber,node4node7,1,294.69
C_node4node7_timber_t2,0.0,1.0,B,C,timber,node4node7,2,208.91
C_node4node7_timber_t3,0.0,1.0,B,C,timber,node4node7,3,148.1
C_node4node7_timber_t4,0.0,1.0,B,C,timber,node4node7,4,104.99
C_node4node7_timber_t5,0.0,1.0,B,C,timber,node4node7,5,74.43
C_node4node7_wide_t0,0.0,0.0,B,C,wide,node4node7,0,526.0
C_node4node7_wide_t1,0.0,1.0,B,C,wide,node4node7,1,442.88
C_node4node7_wide_t2,0.0,1.0,B,C,wide,node4node7,2,313.96
