Node1,Node2,edgelength,slope,Build5m,Maintain5m,Build10m,Maintain10m,Upgrade
"(-15964.9419, 153471.924)","(-15916.0205, 153453.4132)",46.278,35.1,347757.18,124198.99,521635.77,260817.88,124198.99
"(-15964.9419, 153471.924)","(-15989.9582, 153541.7063)",50.813,35.1,381832.1,136368.61,572748.15,286374.08,136368.61
"(-15833.7215, 154167.1561)","(-15907.8049, 154156.5727)",200.714,47.9,1508267.26,538666.88,2262400.88,1131200.44,538666.88
"(-15833.7215, 154167.1561)","(-15756.9922, 154167.156)",71.338,27.1,536066.93,191452.47,804100.39,402050.2,191452.47
"(-15574.2538, 153226.7665)","(-15571.9158, 153259.9245)",63.472,27.1,476959.86,170342.81,715439.79,357719.9,170342.81
"(-15574.2538, 153226.7665)","(-15599.207, 153232.9704)",0.36,20.0,1738.14,675.86,2607.2,1303.6,675.86
"(-14893.3802, 153171.8584)","(-14857.6848, 153208.0215)",0.292,20.0,1412.31,549.16,2118.46,1059.23,549.16
"(-14893.3802, 153171.8584)","(-14937.3977, 153180.6719)",46.872,20.0,226425.31,88043.63,339637.97,169818.98,88043.63
"(-15826.6533, 153886.1845)","(-15815.9649, 153882.2879)",0.318,47.9,2391.6,854.14,3587.4,1793.7,854.14
"(-15826.6533, 153886.1845)","(-15869.4326, 153900.9525)",0.273,47.9,2052.47,733.03,3078.71,1539.36,733.03
"(-15868.3954, 153448.1215)","(-15819.4474, 153475.9028)",83.071,35.1,624236.47,222941.6,936354.71,468177.36,222941.6
"(-15868.3954, 153448.1215)","(-15916.0205, 153453.4132)",53.596,35.1,402744.73,143837.4,604117.09,302058.54,143837.4
"(-15394.8142, 153159.0479)","(-15366.3836, 153175.4069)",117.926,27.1,886151.56,316482.7,1329227.33,664613.67,316482.7
"(-15394.8142, 153159.0479)","(-15365.5403, 153195.1014)",33.24,27.1,249784.42,89208.72,374676.63,187338.32,89208.72
"(-15563.6948, 153790.0833)","(-15558.3184, 153790.5166)",47.386,33.9,356084.91,127173.18,534127.36,267063.68,127173.18
"(-15563.6948, 153790.0833)","(-15638.989, 153784.0147)",11.377,47.9,85488.92,30531.76,128233.38,64116.69,30531.76
"(-15563.6948, 153790.0833)","(-15581.8377, 153755.4901)",105.23,27.9,790749.08,282410.39,1186123.62,593061.81,282410.39
"(-15563.6948, 153790.0833)","(-15537.5858, 153743.8994)",49.229,35.1,369928.58,132117.35,554892.87,277446.43,132117.35
"(-15365.5403, 153195.1014)","(-15391.9987, 153233.4661)",25.713,27.1,193219.2,69006.86,289828.8,144914.4,69006.86
"(-15537.5858, 153743.8994)","(-15507.0927, 153717.6545)",24.322,20.0,117491.93,45685.78,176237.9,88118.95,45685.78
"(-15496.1236, 153391.8784)","(-15535.9467, 153423.595)",26.458,20.0,127813.88,49699.38,191720.82,95860.41,49699.38
