flow_timber_node5node38_t1: lb=0.0, ub=9.0, type=I
flow_timber_node5node38_t2: lb=0.0, ub=9.0, type=I
flow_timber_node5node38_t3: lb=0.0, ub=9.0, type=I
flow_timber_node5node38_t4: lb=0.0, ub=9.0, type=I
flow_timber_node5node38_t5: lb=0.0, ub=9.0, type=I
flow_wide_node5node38_t1: lb=0.0, ub=9.0, type=I
flow_wide_node5node38_t2: lb=0.0, ub=9.0, type=I
flow_wide_node5node38_t3: lb=0.0, ub=9.0, type=I
flow_wide_node5node38_t4: lb=0.0, ub=9.0, type=I
flow_wide_node5node38_t5: lb=0.0, ub=9.0, type=I
flow_timber_node5node41_t1: lb=0.0, ub=9.0, type=I
flow_timber_node5node41_t2: lb=0.0, ub=9.0, type=I
flow_timber_node5node41_t3: lb=0.0, ub=9.0, type=I
flow_timber_node5node41_t4: lb=0.0, ub=9.0, type=I
flow_timber_node5node41_t5: lb=0.0, ub=9.0, type=I
flow_wide_node5node41_t1: lb=0.0, ub=9.0, type=I
flow_wide_node5node41_t2: lb=0.0, ub=9.0, type=I
flow_wide_node5node41_t3: lb=0.0, ub=9.0, type=I
flow_wide_node5node41_t4: lb=0.0, ub=9.0, type=I
flow_wide_node5node41_t5: lb=0.0, ub=9.0, type=I
flow_timber_node24node1_t1: lb=0.0, ub=9.0, type=I
flow_timber_node24node1_t2: lb=0.0, ub=9.0, type=I
flow_timber_node24node1_t3: lb=0.0, ub=9.0, type=I
flow_timber_node24node1_t4: lb=0.0, ub=9.0, type=I
flow_timber_node24node1_t5: lb=0.0, ub=9.0, type=I
flow_wide_node24node1_t1: lb=0.0, ub=9.0, type=I
flow_wide_node24node1_t2: lb=0.0, ub=9.0, type=I
flow_wide_node24node1_t3: lb=0.0, ub=9.0, type=I
flow_wide_node24node1_t4: lb=0.0, ub=9.0, type=I
flow_wide_node24node1_t5: lb=0.0, ub=9.0, type=I
flow_timber_node24node12_t1: lb=0.0, ub=9.0, type=I
flow_timber_node24node12_t2: lb=0.0, ub=9.0, type=I
flow_timber_node24node12_t3: lb=0.0, ub=9.0, type=I
flow_timber_node24node12_t4: lb=0.0, ub=9.0, type=I
flow_timber_node24node12_t5: lb=0.0, ub=9.0, type=I
flow_wide_node24node12_t1: lb=0.0, ub=9.0, type=I
flow_wide_node24node12_t2: lb=0.0, ub=9.0, type=I
flow_wide_node24node12_t3: lb=0.0, ub=9.0, type=I
flow_wide_node24node12_t4: lb=0.0, ub=9.0, type=I
flow_wide_node24node12_t5: lb=0.0, ub=9.0, type=I
flow_timber_node24node38_t1: lb=0.0, ub=9.0, type=I
flow_timber_node24node38_t2: lb=0.0, ub=9.0, type=I
flow_timber_node24node38_t3: lb=0.0, ub=9.0, type=I
flow_timber_node24node38_t4: lb=0.0, ub=9.0, type=I
flow_timber_node24node38_t5: lb=0.0, ub=9.0, type=I
flow_wide_node24node38_t1: lb=0.0, ub=9.0, type=I
flow_wide_node24node38_t2: lb=0.0, ub=9.0, type=I
flow_wide_node24node38_t3: lb=0.0, ub=9.0, type=I
flow_wide_node24node38_t4: lb=0.0, ub=9.0, type=I
flow_wide_node24node38_t5: lb=0.0, ub=9.0, type=I
flow_timber_node21node1_t1: lb=0.0, ub=9.0, type=I
flow_timber_node21node1_t2: lb=0.0, ub=9.0, type=I
