x,y,ID_UG
-20104.5031,148394.7366,989
-19825.36991,148548.32859,987
-20155.0828,148750.67299,986
-20675.0897,148657.05049,988
-19708.83795,148764.50614,985
-21050.58503,149080.17599,1218
-19796.29886,149086.97684,1162
-20457.08096,149106.15009,984
-19351.03965,149144.68211,1566
-19588.03994,149303.10255,1225
-19787.11653,149437.74418,1222
-20620.72871,149532.0445,1321
-20323.31572,149630.79808,925
-20140.90175,149698.82923,1322
-19791.43187,149702.33608,1324
-20808.44969,149687.475,1223
-20374.46223,149818.18772,924
-20102.43787,149627.93696,1224
-20563.39596,149754.939,926
-20145.15517,149868.9616,1323
-21019.38835,149933.72552,1293
-20363.70614,150074.13357,923
-19910.82027,150258.01538,914
-19743.42606,150532.31805,1565
