variable,value,node_type_info,action,road_type,edge,period
M_node30node55_timber_t3,1.0,node30transit_node55source,M,timber,node30node55,3.0
M_node30node55_timber_t4,1.0,node30transit_node55source,M,timber,node30node55,4.0
M_node33node52_wide_t2,1.0,node33transit_node52source,M,wide,node33node52,2.0
M_node33node52_wide_t3,1.0,node33transit_node52source,M,wide,node33node52,3.0
M_node33node52_wide_t4,1.0,node33transit_node52source,M,wide,node33node52,4.0
M_node34node56_timber_t2,1.0,node34transit_node56source,M,timber,node34node56,2.0
M_node34node56_timber_t3,1.0,node34transit_node56source,M,timber,node34node56,3.0
M_node34node56_timber_t4,1.0,node34transit_node56source,M,timber,node34node56,4.0
M_node34node56_timber_t5,1.0,node34transit_node56source,M,timber,node34node56,5.0
M_node39node50_timber_t2,1.0,node39transit_node50source,M,timber,node39node50,2.0
M_node39node50_wide_t4,1.0,node39transit_node50source,M,wide,node39node50,4.0
M_node39node50_wide_t5,1.0,node39transit_node50source,M,wide,node39node50,5.0
M_node39node53_timber_t2,1.0,node39transit_node53source,M,timber,node39node53,2.0
M_node39node53_wide_t4,1.0,node39transit_node53source,M,wide,node39node53,4.0
M_node39node53_wide_t5,1.0,node39transit_node53source,M,wide,node39node53,5.0
M_node40node49_timber_t4,1.0,node40transit_node49source,M,timber,node40node49,4.0
M_node40node52_wide_t2,1.0,node40transit_node52source,M,wide,node40node52,2.0
M_node40node52_wide_t3,1.0,node40transit_node52source,M,wide,node40node52,3.0
M_node40node52_wide_t4,1.0,node40transit_node52source,M,wide,node40node52,4.0
M_node40node55_timber_t2,1.0,node40transit_node55source,M,timber,node40node55,2.0
M_node40node55_wide_t4,1.0,node40transit_node55source,M,wide,node40node55,4.0
M_node40node55_wide_t5,1.0,node40transit_node55source,M,wide,node40node55,5.0
M_node41node54_timber_t4,1.0,node41transit_node54source,M,timber,node41node54,4.0
M_node41node54_timber_t5,1.0,node41transit_node54source,M,timber,node41node54,5.0
U_node4node50_t4,1.0,node4transit_node50source,U,,node4node50,4.0
U_node4node53_t4,1.0,node4transit_node53source,U,,node4node53,4.0
U_node5node57_t5,1.0,node5transit_node57source,U,,node5node57,5.0
U_node7node58_t2,1.0,node7transit_node58source,U,,node7node58,2.0
U_node10node40_t2,1.0,node10transit_node40transit,U,,node10node40,2.0
U_node10node52_t4,1.0,node10transit_node52source,U,,node10node52,4.0
