x,y,ID_UG
-14995.69725,149518.72821,1008
-15005.34727,149634.31293,1340
-15337.33357,149837.40556,1236
-15588.50576,149723.41652,1294
-15231.6813,149861.61799,949
-15090.16306,150322.23784,1182
-15471.76829,150383.40184,948
-14616.78518,150679.34459,1468
-15057.87723,150708.68595,945
-15581.13059,150734.95184,947
-15289.32593,150766.1793,1469
-15189.10959,150864.98136,1470
-15172.98507,151000.47245,942
-15370.22923,151382.12787,1304
-16015.52817,150676.42039,946
-15736.21395,150994.90272,944
-16009.00877,151017.28191,943
-16545.99384,151404.14121,1303
-16143.39693,151461.55789,1234
-15812.62395,151624.26739,1233
-16968.94243,151678.57986,1268
-15752.12872,151924.19552,1232
-16186.70338,151992.24545,1267
