"Source(x,y)","Target(x,y)"
"(-15809.94198, 151377.67811)","(-15674.30698, 151361.66571)"
"(-15809.94198, 151377.67811)","(-16129.48928, 151638.06691)"
"(-15674.30698, 151361.66571)","(-15809.94198, 151377.67811)"
"(-15674.30698, 151361.66571)","(-15587.95728, 151189.65731)"
"(-15674.30698, 151361.66571)","(-15465.71408, 151773.68361)"
"(-15674.30698, 151361.66571)","(-15370.22923, 151382.12787)"
"(-16129.48928, 151638.06691)","(-15809.94198, 151377.67811)"
"(-16129.48928, 151638.06691)","(-15911.35608, 151149.26531)"
"(-16129.48928, 151638.06691)","(-15697.22236, 151795.71972)"
"(-15771.70978, 150101.53671)","(-15694.23658, 150191.11671)"
"(-15771.70978, 150101.53671)","(-15019.63258, 150190.53921)"
"(-15694.23658, 150191.11671)","(-15771.70978, 150101.53671)"
"(-15694.23658, 150191.11671)","(-15333.54568, 150218.93101)"
"(-15694.23658, 150191.11671)","(-15848.72048, 150337.44601)"
"(-15694.23658, 150191.11671)","(-15471.76829, 150383.40184)"
"(-15019.63258, 150190.53921)","(-15771.70978, 150101.53671)"
"(-15019.63258, 150190.53921)","(-15333.54568, 150218.93101)"
"(-15019.63258, 150190.53921)","(-14872.17698, 150591.50351)"
"(-15019.63258, 150190.53921)","(-15090.16306, 150322.23785)"
"(-15343.90788, 150903.59781)","(-15369.24588, 150888.48011)"
"(-15343.90788, 150903.59781)","(-15230.13938, 150665.38771)"
"(-15343.90788, 150903.59781)","(-15069.81928, 150869.45261)"
"(-15343.90788, 150903.59781)","(-15289.32593, 150766.1793)"
"(-15343.90788, 150903.59781)","(-15189.10959, 150864.98136)"
"(-15343.90788, 150903.59781)","(-15172.98507, 151000.47245)"
"(-15369.24588, 150888.48011)","(-15343.90788, 150903.59781)"
"(-15369.24588, 150888.48011)","(-15334.38388, 150628.08511)"
"(-15369.24588, 150888.48011)","(-15387.94528, 151109.43011)"
"(-15369.24588, 150888.48011)","(-15289.32593, 150766.1793)"
"(-15369.24588, 150888.48011)","(-15172.98507, 151000.47245)"
"(-15369.24588, 150888.48011)","(-15581.13059, 150734.95184)"
"(-15230.13938, 150665.38771)","(-15343.90788, 150903.59781)"
"(-15230.13938, 150665.38771)","(-15069.81928, 150869.45261)"
"(-15230.13938, 150665.38771)","(-15334.38388, 150628.08511)"
"(-15230.13938, 150665.38771)","(-15289.32593, 150766.1793)"
"(-15230.13938, 150665.38771)","(-15189.10959, 150864.98136)"
"(-15230.13938, 150665.38771)","(-15057.87723, 150708.68595)"
"(-15069.81928, 150869.45261)","(-15343.90788, 150903.59781)"
"(-15069.81928, 150869.45261)","(-14863.04848, 150875.44951)"
"(-15069.81928, 150869.45261)","(-15230.13938, 150665.38771)"
"(-15069.81928, 150869.45261)","(-15189.10959, 150864.98136)"
"(-15069.81928, 150869.45261)","(-15172.98507, 151000.47245)"
"(-15069.81928, 150869.45261)","(-15057.87723, 150708.68595)"
"(-15289.32593, 150766.1793)","(-15343.90788, 150903.59781)"
"(-15289.32593, 150766.1793)","(-15230.13938, 150665.38771)"
"(-15289.32593, 150766.1793)","(-15334.38388, 150628.08511)"
"(-15289.32593, 150766.1793)","(-15369.24588, 150888.48011)"
"(-15189.10959, 150864.98136)","(-15343.90788, 150903.59781)"
"(-15189.10959, 150864.98136)","(-15230.13938, 150665.38771)"
"(-15189.10959, 150864.98136)","(-15069.81928, 150869.45261)"
"(-15172.98507, 151000.47245)","(-15343.90788, 150903.59781)"
"(-15172.98507, 151000.47245)","(-14863.04848, 150875.44951)"
"(-15172.98507, 151000.47245)","(-14861.44738, 150934.48421)"
"(-15172.98507, 151000.47245)","(-15387.94528, 151109.43011)"
"(-15172.98507, 151000.47245)","(-15069.81928, 150869.45261)"
"(-15172.98507, 151000.47245)","(-15369.24588, 150888.48011)"
"(-15045.44558, 150481.54301)","(-15106.71098, 150581.22331)"
"(-15045.44558, 150481.54301)","(-14894.88278, 150594.89091)"
"(-15045.44558, 150481.54301)","(-15333.54568, 150218.93101)"
"(-15045.44558, 150481.54301)","(-15471.76829, 150383.40184)"
"(-15045.44558, 150481.54301)","(-15090.16306, 150322.23785)"
"(-15106.71098, 150581.22331)","(-15045.44558, 150481.54301)"
"(-15106.71098, 150581.22331)","(-14863.04848, 150875.44951)"
"(-15106.71098, 150581.22331)","(-15443.44238, 150603.44861)"
"(-15106.71098, 150581.22331)","(-15057.87723, 150708.68595)"
"(-15106.71098, 150581.22331)","(-15471.76829, 150383.40184)"
"(-14894.88278, 150594.89091)","(-15045.44558, 150481.54301)"
"(-14894.88278, 150594.89091)","(-14872.17698, 150591.50351)"
"(-14894.88278, 150594.89091)","(-14839.10668, 150592.86351)"
"(-14894.88278, 150594.89091)","(-14616.78518, 150679.3446)"
"(-14894.88278, 150594.89091)","(-15090.16306, 150322.23785)"
"(-15333.54568, 150218.93101)","(-15045.44558, 150481.54301)"
"(-15333.54568, 150218.93101)","(-15694.23658, 150191.11671)"
"(-15333.54568, 150218.93101)","(-15019.63258, 150190.53921)"
"(-15333.54568, 150218.93101)","(-15471.76829, 150383.40184)"
"(-15333.54568, 150218.93101)","(-15090.16306, 150322.23785)"
"(-15471.76829, 150383.40184)","(-15045.44558, 150481.54301)"
"(-15471.76829, 150383.40184)","(-15694.23658, 150191.11671)"
"(-15471.76829, 150383.40184)","(-15443.44238, 150603.44861)"
"(-15471.76829, 150383.40184)","(-15333.54568, 150218.93101)"
"(-15471.76829, 150383.40184)","(-15106.71098, 150581.22331)"
"(-15471.76829, 150383.40184)","(-15848.72048, 150337.44601)"
"(-15090.16306, 150322.23785)","(-15045.44558, 150481.54301)"
"(-15090.16306, 150322.23785)","(-15019.63258, 150190.53921)"
"(-15090.16306, 150322.23785)","(-14872.17698, 150591.50351)"
"(-15090.16306, 150322.23785)","(-15333.54568, 150218.93101)"
"(-15090.16306, 150322.23785)","(-14894.88278, 150594.89091)"
"(-15848.72048, 150337.44601)","(-15694.23658, 150191.11671)"
"(-15848.72048, 150337.44601)","(-15443.44238, 150603.44861)"
"(-15848.72048, 150337.44601)","(-15969.22818, 150361.86671)"
"(-15848.72048, 150337.44601)","(-15581.13059, 150734.95184)"
"(-15848.72048, 150337.44601)","(-15471.76829, 150383.40184)"
"(-15587.95728, 151189.65731)","(-15761.71028, 151228.89011)"
"(-15587.95728, 151189.65731)","(-15464.13998, 151201.64051)"
"(-15587.95728, 151189.65731)","(-15674.30698, 151361.66571)"
"(-15587.95728, 151189.65731)","(-15370.22923, 151382.12787)"
"(-15761.71028, 151228.89011)","(-15587.95728, 151189.65731)"
"(-15761.71028, 151228.89011)","(-15911.35608, 151149.26531)"
"(-15464.13998, 151201.64051)","(-15587.95728, 151189.65731)"
"(-15464.13998, 151201.64051)","(-15774.06238, 150740.86021)"
"(-15464.13998, 151201.64051)","(-15387.94528, 151109.43011)"
"(-15464.13998, 151201.64051)","(-15581.13059, 150734.95184)"
"(-15464.13998, 151201.64051)","(-15370.22923, 151382.12787)"
"(-15370.22923, 151382.12787)","(-15587.95728, 151189.65731)"
"(-15370.22923, 151382.12787)","(-15464.13998, 151201.64051)"
"(-15370.22923, 151382.12787)","(-14861.44738, 150934.48421)"
"(-15370.22923, 151382.12787)","(-15674.30698, 151361.66571)"
"(-15370.22923, 151382.12787)","(-15387.94528, 151109.43011)"
"(-15370.22923, 151382.12787)","(-15465.71408, 151773.68361)"
"(-14863.04848, 150875.44951)","(-14861.44738, 150934.48421)"
"(-14863.04848, 150875.44951)","(-15069.81928, 150869.45261)"
"(-14863.04848, 150875.44951)","(-15106.71098, 150581.22331)"
"(-14863.04848, 150875.44951)","(-15172.98507, 151000.47245)"
"(-14863.04848, 150875.44951)","(-15057.87723, 150708.68595)"
"(-14861.44738, 150934.48421)","(-14863.04848, 150875.44951)"
"(-14861.44738, 150934.48421)","(-15387.94528, 151109.43011)"
"(-14861.44738, 150934.48421)","(-15465.71408, 151773.68361)"
"(-14861.44738, 150934.48421)","(-15172.98507, 151000.47245)"
"(-14861.44738, 150934.48421)","(-15370.22923, 151382.12787)"
"(-15057.87723, 150708.68595)","(-14863.04848, 150875.44951)"
"(-15057.87723, 150708.68595)","(-15443.44238, 150603.44861)"
"(-15057.87723, 150708.68595)","(-15230.13938, 150665.38771)"
"(-15057.87723, 150708.68595)","(-15334.38388, 150628.08511)"
"(-15057.87723, 150708.68595)","(-15106.71098, 150581.22331)"
"(-15057.87723, 150708.68595)","(-15069.81928, 150869.45261)"
"(-15443.44238, 150603.44861)","(-15848.72048, 150337.44601)"
"(-15443.44238, 150603.44861)","(-15334.38388, 150628.08511)"
"(-15443.44238, 150603.44861)","(-15106.71098, 150581.22331)"
"(-15443.44238, 150603.44861)","(-15057.87723, 150708.68595)"
"(-15443.44238, 150603.44861)","(-15581.13059, 150734.95184)"
"(-15443.44238, 150603.44861)","(-15471.76829, 150383.40184)"
"(-15334.38388, 150628.08511)","(-15443.44238, 150603.44861)"
"(-15334.38388, 150628.08511)","(-15230.13938, 150665.38771)"
"(-15334.38388, 150628.08511)","(-15369.24588, 150888.48011)"
"(-15334.38388, 150628.08511)","(-15289.32593, 150766.1793)"
"(-15334.38388, 150628.08511)","(-15057.87723, 150708.68595)"
"(-15334.38388, 150628.08511)","(-15581.13059, 150734.95184)"
"(-15581.13059, 150734.95184)","(-15443.44238, 150603.44861)"
"(-15581.13059, 150734.95184)","(-15334.38388, 150628.08511)"
"(-15581.13059, 150734.95184)","(-15464.13998, 151201.64051)"
"(-15581.13059, 150734.95184)","(-15774.06238, 150740.86021)"
"(-15581.13059, 150734.95184)","(-15848.72048, 150337.44601)"
"(-15581.13059, 150734.95184)","(-15387.94528, 151109.43011)"
"(-15581.13059, 150734.95184)","(-15969.22818, 150361.86671)"
"(-15581.13059, 150734.95184)","(-15369.24588, 150888.48011)"
"(-14872.17698, 150591.50351)","(-15019.63258, 150190.53921)"
"(-14872.17698, 150591.50351)","(-14839.10668, 150592.86351)"
"(-14872.17698, 150591.50351)","(-14894.88278, 150594.89091)"
"(-14872.17698, 150591.50351)","(-14616.78518, 150679.3446)"
"(-14872.17698, 150591.50351)","(-15090.16306, 150322.23785)"
"(-16216.49208, 150851.53241)","(-15945.09588, 150839.36401)"
"(-16216.49208, 150851.53241)","(-15969.22818, 150361.86671)"
"(-15945.09588, 150839.36401)","(-16216.49208, 150851.53241)"
"(-15945.09588, 150839.36401)","(-15774.06238, 150740.86021)"
"(-15945.09588, 150839.36401)","(-15842.48604, 151170.45481)"
"(-15969.22818, 150361.86671)","(-16216.49208, 150851.53241)"
"(-15969.22818, 150361.86671)","(-15774.06238, 150740.86021)"
"(-15969.22818, 150361.86671)","(-15848.72048, 150337.44601)"
"(-15969.22818, 150361.86671)","(-15581.13059, 150734.95184)"
"(-15774.06238, 150740.86021)","(-15464.13998, 151201.64051)"
"(-15774.06238, 150740.86021)","(-15969.22818, 150361.86671)"
"(-15774.06238, 150740.86021)","(-15945.09588, 150839.36401)"
"(-15774.06238, 150740.86021)","(-15581.13059, 150734.95184)"
"(-15387.94528, 151109.43011)","(-15464.13998, 151201.64051)"
"(-15387.94528, 151109.43011)","(-14861.44738, 150934.48421)"
"(-15387.94528, 151109.43011)","(-15369.24588, 150888.48011)"
