ID_UG;nodes
1233;(-15809.94198, 151377.67811),(-15674.30698, 151361.66571),(-15465.71408, 151773.68361),(-16129.48928, 151638.06691),(-15697.22236, 151795.71972)
1234;(-15809.94198, 151377.67811),(-15587.95728, 151189.65731),(-15761.71028, 151228.89011),(-15674.30698, 151361.66571),(-15911.35608, 151149.26531),(-16129.48928, 151638.06691)
1236;(-15771.70978, 150101.53671),(-15694.23658, 150191.11671),(-15019.63258, 150190.53921),(-15333.54568, 150218.93101)
942;(-15343.90788, 150903.59781),(-14863.04848, 150875.44951),(-14861.44738, 150934.48421),(-15387.94528, 151109.43011),(-15069.81928, 150869.45261),(-15369.24588, 150888.48011),(-15172.98507, 151000.47245)
1469;(-15343.90788, 150903.59781),(-15230.13938, 150665.38771),(-15334.38388, 150628.08511),(-15369.24588, 150888.48011),(-15289.32593, 150766.1793)
1470;(-15343.90788, 150903.59781),(-15230.13938, 150665.38771),(-15069.81928, 150869.45261),(-15189.10959, 150864.98136)
948;(-15045.44558, 150481.54301),(-15694.23658, 150191.11671),(-15443.44238, 150603.44861),(-15333.54568, 150218.93101),(-15106.71098, 150581.22331),(-15848.72048, 150337.44601),(-15471.76829, 150383.40184)
1182;(-15045.44558, 150481.54301),(-15019.63258, 150190.53921),(-14872.17698, 150591.50351),(-15333.54568, 150218.93101),(-14894.88278, 150594.89091),(-15090.16306, 150322.23785)
944;(-15587.95728, 151189.65731),(-15464.13998, 151201.64051),(-15774.06238, 150740.86021),(-15945.09588, 150839.36401),(-15761.71028, 151228.89011),(-15911.35608, 151149.26531),(-15842.48604, 151170.45481)
1304;(-15587.95728, 151189.65731),(-15464.13998, 151201.64051),(-14861.44738, 150934.48421),(-15674.30698, 151361.66571),(-15387.94528, 151109.43011),(-15465.71408, 151773.68361),(-15370.22923, 151382.12787)
945;(-14863.04848, 150875.44951),(-15443.44238, 150603.44861),(-15230.13938, 150665.38771),(-15334.38388, 150628.08511),(-15106.71098, 150581.22331),(-15069.81928, 150869.45261),(-15057.87723, 150708.68595)
947;(-15443.44238, 150603.44861),(-15334.38388, 150628.08511),(-15464.13998, 151201.64051),(-15774.06238, 150740.86021),(-15848.72048, 150337.44601),(-15387.94528, 151109.43011),(-15969.22818, 150361.86671),(-15369.24588, 150888.48011),(-15581.13059, 150734.95184)
946;(-16216.49208, 150851.53241),(-15774.06238, 150740.86021),(-15945.09588, 150839.36401),(-15969.22818, 150361.86671)
1468;(-14872.17698, 150591.50351),(-14839.10668, 150592.86351),(-14894.88278, 150594.89091),(-14616.78518, 150679.3446)
