"Node1(x,y)","Node2(x,y)",edgelength,slope,has_exit,has_source,Build5m,Maintain5m,Build10m,Maintain10m,Upgrade,removed_nodes
"(-9352.22508, 147141.39461)","(-9651.76368, 146883.45851)",0.742282009733559,False,False,False,3587,1395,5377,1395,2690,"[(-9788.41518, 146963.59781), (-9780.97908, 146946.21191), (-9780.83178, 146945.86741), (-9727.29918, 146932.22091), (-9691.31588, 146932.22091), (-9648.98238, 146938.57091), (-9750.84998, 147022.99811)]"
"(-9352.22508, 147141.39461)","(-9335.95218, 147002.52321)",0.14202965653282992,False,False,False,686,267,1029,267,515,"[(-9332.71048, 147081.35161)]"
"(-9359.18068, 146204.62561)","(-9425.86588, 146152.17191)",0.08484283436288696,26.4359,False,False,638,228,956,228,478,
"(-9932.81588, 146541.95831)","(-9984.20278, 146563.07825)",0.05613209652939128,False,True,False,271,105,407,105,204,"[(-9951.82088, 146554.01131)]"
"(-9651.76368, 146883.45851)","(-9335.95218, 147002.52321)",0.41102199808492124,False,False,False,1986,772,2979,772,1489,"[(-9631.02778, 146890.44051), (-9576.46458, 146934.88251), (-9420.37848, 147064.18881)]"
"(-9651.76368, 146883.45851)","(-9655.31908, 146790.11071)",0.190287874397283,False,False,False,919,357,1379,357,690,"[(-9734.64448, 146855.55141)]"
"(-9604.50258, 145756.89851)","(-9668.51199, 145677.10047)",0.15879993423983907,False,True,False,1194,427,1790,427,895,"[(-9580.90478, 145710.27051)]"
"(-9604.50258, 145756.89851)","(-9477.01318, 145825.22111)",0.14648163562141406,False,False,False,1101,393,1650,393,825,"[(-9554.97978, 145795.31591), (-9506.28918, 145810.29101)]"
"(-9998.86478, 145898.18631)","(-9913.6735, 145997.5426)",0.1314542333052765,False,True,False,988,352,1481,352,741,"[(-9924.07008, 145978.42631)]"
"(-9998.86478, 145898.18631)","(-9911.63458, 145832.37601)",0.10929257368630825,False,False,False,822,293,1232,293,616,"[(-9983.28638, 145885.37281)]"
"(-9477.01318, 145825.22111)","(-9425.86588, 146152.17191)",0.353201516062738,False,False,False,2654,948,3981,948,1991,"[(-9467.08078, 146043.24941)]"
"(-9875.10128, 145804.78591)","(-9911.63458, 145832.37601)",0.04578095266483657,29.014,False,False,344,123,516,123,258,
"(-9875.10128, 145804.78591)","(-9890.19048, 145757.38021)",0.049749214557922805,29.014,True,False,374,134,561,134,280,
"(-9875.10128, 145804.78591)","(-9668.51199, 145677.10047)",0.24628394363274725,False,True,False,1851,661,2776,661,1388,"[(-9804.20718, 145751.24711), (-9745.69998, 145723.69831)]"
"(-10005.56618, 146772.18441)","(-9766.59483, 147443.89262)",1.065413823164691,False,True,False,5148,2001,7721,2001,3858,"[(-9936.21048, 146792.13681)]"
"(-10005.56618, 146772.18441)","(-10058.28294, 146752.22656)",0.058664694329945005,False,True,False,283,110,425,110,212,"[(-10044.00608, 146765.79771)]"
"(-10681.31538, 146176.81681)","(-10493.51198, 146549.16931)",1.4799967519083361,False,False,False,7147,2780,10723,2780,5364,"[(-10939.01198, 146439.71691), (-10974.15718, 146389.92001), (-11012.61858, 146356.26801), (-11034.00928, 146314.14501), (-10972.06908, 146284.32371), (-10855.80438, 146222.59361), (-10806.77928, 146212.85681), (-10736.97928, 146176.39411), (-10979.42848, 146476.33291), (-10804.38598, 146592.14491), (-10724.21908, 146506.01541)]"
"(-10681.31538, 146176.81681)","(-9988.06854, 146375.41721)",0.9123255244904678,False,True,False,4409,1712,6610,1712,3305,"[(-10702.85058, 146222.24481), (-10607.29608, 146298.28621), (-10564.04078, 146394.64191), (-10450.11598, 146469.21751), (-10297.71708, 146423.32461)]"
"(-9701.53288, 147269.92461)","(-9766.59483, 147443.89262)",0.3221417972468456,False,True,False,1557,605,2334,605,1168,"[(-9683.84668, 147325.41601), (-9641.59908, 147317.14741), (-9688.82758, 147359.73901), (-9756.27978, 147463.44701)]"
"(-9911.63458, 145832.37601)","(-9860.92361, 145931.46244)",0.11173038985908296,False,True,False,839,300,1260,300,629,"[(-9888.35118, 145888.46781)]"
"(-10493.51198, 146549.16931)","(-10425.74452, 146665.6367)",0.4838811731095982,False,True,False,2337,910,3506,910,1753,"[(-10560.81078, 146643.17291), (-10536.24828, 146580.95901), (-10609.05608, 146717.88241), (-10499.76398, 146688.62291)]"
"(-10493.51198, 146549.16931)","(-9984.20278, 146563.07825)",0.5280879304041424,False,True,False,2553,991,3826,991,1912,"[(-10448.17328, 146542.12021), (-10404.11548, 146529.33251), (-10252.20218, 146547.23881)]"
"(-9890.19048, 145757.38021)","(-9921.70364, 145669.30352)",0.09355007662236908,False,True,False,703,251,1055,251,527,"[(-9908.71138, 145707.10921)]"
"(-9936.64878, 146330.41641)","(-10000.51986, 146251.47094)",0.10154753612908761,22.0285,True,False,491,191,736,191,368,
"(-10058.28294, 146752.22656)","(-10425.74452, 146665.6367)",1.31754545038773,False,True,False,6364,2476,9546,2476,4773,"[(-10152.48548, 146673.19331), (-10175.40623, 146646.3433), (-10345.99737, 146611.79932)]"
