Node,Stand
"(-9474.36458, 146148.00311)","[1121, 1269, 1527]"
"(-9510.37438, 146075.38811)","[1269, 1527]"
"(-9562.15298, 146065.66371)","[1269, 1527]"
"(-9640.42568, 146069.60351)","[1269, 1527]"
"(-9653.34948, 146011.37371)","[1269, 1527]"
"(-9681.77268, 145932.35471)","[1269, 1527]"
"(-9735.81828, 145881.56491)","[1269, 1527]"
"(-9741.33618, 145837.24651)","[1269, 1527]"
"(-9710.99028, 145776.72521)","[1269, 1527]"
"(-9660.36468, 145750.06291)","[1269, 1527]"
"(-9604.50258, 145756.89851)","[1266, 1269, 1527]"
"(-9580.90478, 145710.27051)","[1266, 1269]"
"(-9595.98598, 145680.90181)","[1266, 1269]"
"(-9645.19858, 145672.96421)","[1266, 1269]"
"(-9694.41128, 145681.69551)","[1266, 1269]"
"(-9711.07998, 145698.36421)","[1266, 1269]"
"(-9745.69998, 145723.69831)","[1266, 1269]"
"(-9804.20718, 145751.24711)","[1266, 1269]"
"(-9875.10128, 145804.78591)","[1266, 1269]"
"(-9911.63458, 145832.37601)","[1269, 1526]"
"(-9888.35118, 145888.46781)","[1269, 1526]"
"(-9839.40318, 145965.19721)","[1269, 1526]"
"(-9846.01778, 146003.56181)","[1269, 1526]"
"(-9848.66358, 146043.24931)","[1269, 1526]"
"(-9805.46208, 146134.68111)","[1121, 1269, 1526]"
"(-9741.08058, 146132.42451)","[1121, 1269]"
"(-9648.87528, 146125.89911)","[1121, 1269]"
"(-9582.33208, 146131.56141)","[1121, 1269]"
"(-9524.71108, 146168.79911)","[1121, 1269]"
"(-9668.51199, 145677.10047)",[1269]
"(-9860.92361, 145931.46244)",[1269]
"(-10083.90638, 146841.22061)",[1111]
"(-10128.67288, 146800.19351)",[1111]
"(-10218.63148, 146738.01641)",[1111]
"(-10317.85048, 146638.79741)",[1111]
"(-10382.67338, 146576.62021)",[1111]
"(-10308.58998, 146544.87021)",[1111]
"(-10271.54828, 146558.09941)",[1111]
"(-10198.78768, 146618.95361)",[1111]
"(-10152.48548, 146673.19331)",[1111]
"(-10084.35758, 146727.44081)",[1111]
"(-10044.00608, 146765.79771)",[1111]
"(-10005.56618, 146772.18441)","[1117, 1111]"
"(-9994.12238, 146716.09771)","[1117, 1111]"
"(-9976.58998, 146666.29741)","[1121, 1117, 1111]"
"(-9932.81588, 146541.95831)","[1113, 1121, 1111]"
"(-9951.82088, 146554.01131)","[1113, 1111]"
"(-10017.96688, 146572.53221)","[1113, 1111]"
"(-10084.92858, 146583.43181)","[1113, 1111]"
"(-10138.83588, 146581.18381)","[1113, 1111]"
"(-10187.15858, 146568.31391)","[1113, 1111]"
"(-10252.20218, 146547.23881)","[1113, 1111]"
"(-10313.10878, 146515.48021)","[1113, 1111]"
"(-10355.63848, 146517.93451)","[1113, 1111]"
"(-10404.11548, 146529.33251)","[1113, 1111]"
"(-10448.17328, 146542.12021)","[1113, 1111]"
"(-10493.51198, 146549.16931)","[1113, 1111]"
"(-10536.24828, 146580.95901)",[1111]
"(-10560.81078, 146643.17291)",[1111]
"(-10609.05608, 146717.88241)",[1111]
"(-10597.50188, 146779.20181)",[1111]
"(-10554.56698, 146733.98281)",[1111]
"(-10499.76398, 146688.62291)",[1111]
"(-10443.05428, 146664.65541)",[1111]
"(-10372.83738, 146668.63601)",[1111]
"(-10311.84478, 146699.43711)",[1111]
"(-10297.10848, 146742.16021)",[1111]
"(-10253.92868, 146738.82321)",[1111]
"(-10233.15208, 146776.34101)",[1111]
"(-10213.81388, 146851.49201)",[1111]
"(-10147.72988, 146861.44811)",[1111]
"(-10083.73558, 146884.29501)",[1111]
"(-10058.28294, 146752.22656)",[1111]
"(-9984.20278, 146563.07825)",[1111]
"(-10425.74452, 146665.6367)",[1111]
"(-10345.99737, 146611.79932)",[1111]
"(-10175.40623, 146646.3433)",[1111]
"(-10996.77718, 146609.85561)",[1113]
"(-10940.07578, 146634.18461)",[1113]
"(-10894.13898, 146652.82291)",[1113]
"(-10841.09408, 146644.10731)",[1113]
"(-10804.38598, 146592.14491)",[1113]
"(-10784.36028, 146529.71131)",[1113]
"(-10724.21908, 146506.01541)",[1113]
