x,y,ID_UG
-9548.31546,145415.4506,1265
-9589.40351,145679.25373,1266
-9578.84493,145928.57982,1527
-9307.62754,146016.30541,1122
-9516.66801,146705.70277,1120
-9497.94241,146904.64966,1119
-10331.23819,145903.50593,1528
-9729.05134,145942.0445,1269
-10410.88306,145946.54057,1523
-10458.17531,145959.85114,1522
-10508.41568,145963.38485,1521
-9897.71958,145962.73844,1526
-10665.80354,146087.73902,1623
-10003.61619,146080.35893,1525
-10328.465,146251.40691,1264
-9661.65701,146389.74345,1121
-10585.40251,146441.79314,1113
-10253.47608,146660.54684,1111
-10404.30931,146798.24747,1108
-11535.17588,146511.60567,1201
-11130.22825,146695.29086,1109
-11262.68254,146782.69804,1112
-10315.43037,147079.77801,1107
-9867.65706,147057.93473,1117
-9903.06983,147327.8529,1432
-9569.94365,147051.06162,1118
-9454.02002,147560.1691,1431
