"Node1(x,y)","Node2(x,y)",edgelength,slope,has_exit,has_source,Build5m,Maintain5m,Build10m,Maintain10m,Upgrade,removed_nodes
"(-9474.36458, 146148.00311)","(-9729.05134, 145942.0445)",0.0,False,False,True,0,0,0,0,0,
"(-9474.36458, 146148.00311)","(-9661.65701, 146389.74345)",0.0,False,False,True,0,0,0,0,0,
"(-10083.73558, 146884.29501)","(-10083.90638, 146841.22061)",0.043074738629515275,23.9191,False,False,208,81,312,81,156,
"(-10083.73558, 146884.29501)","(-10213.81388, 146851.49201)",0.13478013505339842,False,False,False,1013,361,1519,361,760,"[(-10147.72988, 146861.44811)]"
"(-10083.73558, 146884.29501)","(-10253.47608, 146660.54684)",0.0,False,False,True,0,0,0,0,0,
"(-10083.73558, 146884.29501)","(-10315.43037, 147079.77801)",0.0,False,False,True,0,0,0,0,0,
"(-10083.73558, 146884.29501)","(-9903.06983, 147327.8529)",0.0,False,False,True,0,0,0,0,0,
"(-9875.10128, 145804.78591)","(-9890.19048, 145757.38021)",0.049749214557922805,29.014,True,False,374,134,561,134,280,
"(-9875.10128, 145804.78591)","(-9911.63458, 145832.37601)",0.04578095266483657,29.014,False,False,344,123,516,123,258,
"(-9875.10128, 145804.78591)","(-9668.512, 145677.10047)",0.24628393378651522,False,True,False,1851,661,2776,661,1388,"[(-9694.41128, 145681.69551), (-9711.07998, 145698.36421)]"
"(-9875.10128, 145804.78591)","(-9589.40351, 145679.25373)",0.0,False,False,True,0,0,0,0,0,
"(-9875.10128, 145804.78591)","(-9729.05134, 145942.0445)",0.0,False,False,True,0,0,0,0,0,
"(-10443.39408, 145860.44101)","(-10522.91078, 145861.60871)",0.0802929279555276,False,False,False,604,216,905,216,453,"[(-10458.37578, 145856.31011)]"
"(-10443.39408, 145860.44101)","(-10309.34908, 146023.00721)",0.21086563594885258,False,False,False,1585,566,2377,566,1188,"[(-10404.95118, 145913.07411)]"
"(-10443.39408, 145860.44101)","(-10386.7716, 145755.00178)",0.17766384932288146,False,True,False,1335,477,2002,477,1002,"[(-10388.82198, 145875.48851), (-10390.21798, 145818.43061), (-10384.35848, 145769.15921)]"
"(-10443.39408, 145860.44101)","(-10331.23819, 145903.50593)",0.0,False,False,True,0,0,0,0,0,
"(-10443.39408, 145860.44101)","(-10410.88306, 145946.54057)",0.0,False,False,True,0,0,0,0,0,
"(-10074.46358, 147482.53131)","(-9514.41648, 147613.78181)",0.6555011619090304,False,True,False,3165,1232,4750,1232,2375,"[(-9880.22808, 147484.39361), (-9858.50258, 147549.69351)]"
"(-10074.46358, 147482.53131)","(-9903.06983, 147327.8529)",0.0,False,False,True,0,0,0,0,0,
"(-10600.05419, 146118.42648)","(-10536.25397, 146086.34763)",0.0714109283609339,22.0285,True,False,345,134,517,134,259,
"(-10600.05419, 146118.42648)","(-10638.39162, 146125.22657)",0.2692768745199532,False,True,False,2024,722,3036,722,1517,"[(-10699.22078, 146038.36161), (-10723.03338, 146074.08041)]"
"(-10600.05419, 146118.42648)","(-10665.80354, 146087.73902)",0.0,False,False,True,0,0,0,0,0,
"(-10600.05419, 146118.42648)","(-10328.465, 146251.40691)",0.0,False,False,True,0,0,0,0,0,
"(-9272.67648, 145681.67241)","(-9273.47336, 145165.18738)",0.6410270818875206,False,True,False,4817,1720,7226,1720,3612,"[(-9240.96568, 145475.42181)]"
"(-9272.67648, 145681.67241)","(-9939.95048, 145616.20771)",0.8122421254251851,False,False,False,6105,2179,9154,2179,4578,"[(-9319.98898, 145641.74141), (-9370.85748, 145602.07451), (-9411.42808, 145577.88411), (-9492.99728, 145567.79751), (-9557.72208, 145561.58201), (-9619.07628, 145552.98161), (-9668.40778, 145567.57751), (-9713.42508, 145584.25921), (-9769.52198, 145594.73281), (-9820.89148, 145590.63231), (-9863.18348, 145538.37361), (-9893.76838, 145519.78021), (-9934.65878, 145547.41591)]"
"(-9272.67648, 145681.67241)","(-9548.31546, 145415.4506)",0.0,False,False,True,0,0,0,0,0,
"(-9272.67648, 145681.67241)","(-9589.40351, 145679.25373)",0.0,False,False,True,0,0,0,0,0,
"(-9936.64878, 146330.41641)","(-9927.71538, 146363.58361)",0.034349218206529065,17.2107,False,False,166,65,249,65,124,
"(-9936.64878, 146330.41641)","(-10000.51986, 146251.47094)",0.10154753612908761,22.0285,True,False,491,191,736,191,368,
"(-9936.64878, 146330.41641)","(-10003.61619, 146080.35893)",0.0,False,False,True,0,0,0,0,0,
"(-9936.64878, 146330.41641)","(-10328.465, 146251.40691)",0.0,False,False,True,0,0,0,0,0,
"(-9936.64878, 146330.41641)","(-9661.65701, 146389.74345)",0.0,False,False,True,0,0,0,0,0,
"(-10171.53348, 146040.09591)","(-10000.51986, 146251.47094)",0.2718916356436941,22.0285,True,False,1313,511,1970,511,985,
"(-10171.53348, 146040.09591)","(-10283.24258, 146051.18691)",0.11503507853351314,False,True,False,555,216,834,216,417,"[(-10239.58628, 146059.12441)]"
"(-10171.53348, 146040.09591)","(-9998.86478, 145898.18631)",0.22439256302367605,False,False,False,1085,422,1625,422,814,"[(-10125.06328, 146007.32211), (-10071.66138, 145951.60221), (-10019.47178, 145915.13611)]"
"(-10171.53348, 146040.09591)","(-10003.61619, 146080.35893)",0.0,False,False,True,0,0,0,0,0,
