C_timber_node2node79_t3: lb=0.0, ub=1.0, type=B, cost=665
C_timber_node2node79_t4: lb=0.0, ub=1.0, type=B, cost=665
C_timber_node2node79_t5: lb=0.0, ub=1.0, type=B, cost=665
C_wide_node2node79_t0: lb=0.0, ub=0.0, type=B, cost=998
C_wide_node2node79_t1: lb=0.0, ub=1.0, type=B, cost=998
C_wide_node2node79_t2: lb=0.0, ub=1.0, type=B, cost=998
C_wide_node2node79_t3: lb=0.0, ub=1.0, type=B, cost=998
C_wide_node2node79_t4: lb=0.0, ub=1.0, type=B, cost=998
C_wide_node2node79_t5: lb=0.0, ub=1.0, type=B, cost=998
C_timber_node2node50_t0: lb=0.0, ub=0.0, type=B, cost=1915
C_timber_node2node50_t1: lb=0.0, ub=1.0, type=B, cost=1915
C_timber_node2node50_t2: lb=0.0, ub=1.0, type=B, cost=1915
C_timber_node2node50_t3: lb=0.0, ub=1.0, type=B, cost=1915
C_timber_node2node50_t4: lb=0.0, ub=1.0, type=B, cost=1915
C_timber_node2node50_t5: lb=0.0, ub=1.0, type=B, cost=1915
C_wide_node2node50_t0: lb=0.0, ub=0.0, type=B, cost=2870
C_wide_node2node50_t1: lb=0.0, ub=1.0, type=B, cost=2870
C_wide_node2node50_t2: lb=0.0, ub=1.0, type=B, cost=2870
C_wide_node2node50_t3: lb=0.0, ub=1.0, type=B, cost=2870
C_wide_node2node50_t4: lb=0.0, ub=1.0, type=B, cost=2870
C_wide_node2node50_t5: lb=0.0, ub=1.0, type=B, cost=2870
C_timber_node2node98_t0: lb=0.0, ub=0.0, type=B, cost=0
C_timber_node2node98_t1: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node2node98_t2: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node2node98_t3: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node2node98_t4: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node2node98_t5: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node2node98_t0: lb=0.0, ub=0.0, type=B, cost=0
C_wide_node2node98_t1: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node2node98_t2: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node2node98_t3: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node2node98_t4: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node2node98_t5: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node2node100_t0: lb=0.0, ub=0.0, type=B, cost=0
C_timber_node2node100_t1: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node2node100_t2: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node2node100_t3: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node2node100_t4: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node2node100_t5: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node2node100_t0: lb=0.0, ub=0.0, type=B, cost=0
C_wide_node2node100_t1: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node2node100_t2: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node2node100_t3: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node2node100_t4: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node2node100_t5: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node3node54_t0: lb=0.0, ub=0.0, type=B, cost=477
C_timber_node3node54_t1: lb=0.0, ub=1.0, type=B, cost=477
C_timber_node3node54_t2: lb=0.0, ub=1.0, type=B, cost=477
C_timber_node3node54_t3: lb=0.0, ub=1.0, type=B, cost=477
C_timber_node3node54_t4: lb=0.0, ub=1.0, type=B, cost=477
C_timber_node3node54_t5: lb=0.0, ub=1.0, type=B, cost=477
C_wide_node3node54_t0: lb=0.0, ub=0.0, type=B, cost=715
C_wide_node3node54_t1: lb=0.0, ub=1.0, type=B, cost=715
C_wide_node3node54_t2: lb=0.0, ub=1.0, type=B, cost=715
C_wide_node3node54_t3: lb=0.0, ub=1.0, type=B, cost=715
C_wide_node3node54_t4: lb=0.0, ub=1.0, type=B, cost=715
C_wide_node3node54_t5: lb=0.0, ub=1.0, type=B, cost=715
C_timber_node3node18_t0: lb=0.0, ub=0.0, type=B, cost=1013
C_timber_node3node18_t1: lb=0.0, ub=1.0, type=B, cost=1013
C_timber_node3node18_t2: lb=0.0, ub=1.0, type=B, cost=1013
C_timber_node3node18_t3: lb=0.0, ub=1.0, type=B, cost=1013
C_timber_node3node18_t4: lb=0.0, ub=1.0, type=B, cost=1013
C_timber_node3node18_t5: lb=0.0, ub=1.0, type=B, cost=1013
C_wide_node3node18_t0: lb=0.0, ub=0.0, type=B, cost=1519
C_wide_node3node18_t1: lb=0.0, ub=1.0, type=B, cost=1519
C_wide_node3node18_t2: lb=0.0, ub=1.0, type=B, cost=1519
C_wide_node3node18_t3: lb=0.0, ub=1.0, type=B, cost=1519
C_wide_node3node18_t4: lb=0.0, ub=1.0, type=B, cost=1519
C_wide_node3node18_t5: lb=0.0, ub=1.0, type=B, cost=1519
C_timber_node3node59_t0: lb=0.0, ub=0.0, type=B, cost=1773
C_timber_node3node59_t1: lb=0.0, ub=1.0, type=B, cost=1773
C_timber_node3node59_t2: lb=0.0, ub=1.0, type=B, cost=1773
C_timber_node3node59_t3: lb=0.0, ub=1.0, type=B, cost=1773
C_timber_node3node59_t4: lb=0.0, ub=1.0, type=B, cost=1773
C_timber_node3node59_t5: lb=0.0, ub=1.0, type=B, cost=1773
C_wide_node3node59_t0: lb=0.0, ub=0.0, type=B, cost=2660
C_wide_node3node59_t1: lb=0.0, ub=1.0, type=B, cost=2660
C_wide_node3node59_t2: lb=0.0, ub=1.0, type=B, cost=2660
C_wide_node3node59_t3: lb=0.0, ub=1.0, type=B, cost=2660
C_wide_node3node59_t4: lb=0.0, ub=1.0, type=B, cost=2660
C_wide_node3node59_t5: lb=0.0, ub=1.0, type=B, cost=2660
C_timber_node3node96_t0: lb=0.0, ub=0.0, type=B, cost=0
C_timber_node3node96_t1: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node3node96_t2: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node3node96_t3: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node3node96_t4: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node3node96_t5: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node3node96_t0: lb=0.0, ub=0.0, type=B, cost=0
C_wide_node3node96_t1: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node3node96_t2: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node3node96_t3: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node3node96_t4: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node3node96_t5: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node3node101_t0: lb=0.0, ub=0.0, type=B, cost=0
C_timber_node3node101_t1: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node3node101_t2: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node3node101_t3: lb=0.0, ub=1.0, type=B, cost=0
