variable,value
C_wide_node8node109_t1,1.0
C_wide_node8node109_t2,1.0
C_wide_node8node109_t3,1.0
C_wide_node8node109_t4,1.0
C_wide_node8node109_t5,1.0
C_wide_node9node33_t4,1.0
C_timber_node9node111_t1,1.0
C_timber_node9node111_t2,1.0
C_timber_node9node111_t3,1.0
C_timber_node9node111_t4,1.0
C_timber_node9node111_t5,1.0
C_wide_node9node111_t1,1.0
C_wide_node9node111_t2,1.0
C_wide_node9node111_t3,1.0
C_wide_node9node111_t4,1.0
C_wide_node9node111_t5,1.0
C_timber_node9node113_t1,1.0
C_timber_node9node113_t2,1.0
C_timber_node9node113_t3,1.0
C_timber_node9node113_t4,1.0
C_timber_node9node113_t5,1.0
C_wide_node9node113_t1,1.0
C_wide_node9node113_t2,1.0
C_wide_node9node113_t3,1.0
C_wide_node9node113_t4,1.0
C_wide_node9node113_t5,1.0
C_wide_node10node33_t4,1.0
C_timber_node10node109_t1,1.0
C_timber_node10node109_t2,1.0
C_timber_node10node109_t3,1.0
C_timber_node10node109_t4,1.0
C_timber_node10node109_t5,1.0
C_wide_node10node109_t1,1.0
C_wide_node10node109_t2,1.0
C_wide_node10node109_t3,1.0
C_wide_node10node109_t4,1.0
C_wide_node10node109_t5,1.0
C_timber_node10node111_t1,1.0
C_timber_node10node111_t2,1.0
C_timber_node10node111_t3,1.0
C_timber_node10node111_t4,1.0
C_timber_node10node111_t5,1.0
C_wide_node10node111_t1,1.0
C_wide_node10node111_t2,1.0
C_wide_node10node111_t3,1.0
C_wide_node10node111_t4,1.0
C_wide_node10node111_t5,1.0
C_timber_node10node112_t1,1.0
C_timber_node10node112_t2,1.0
C_timber_node10node112_t3,1.0
C_timber_node10node112_t4,1.0
C_timber_node10node112_t5,1.0
C_wide_node10node112_t1,1.0
C_wide_node10node112_t2,1.0
C_wide_node10node112_t3,1.0
C_wide_node10node112_t4,1.0
C_wide_node10node112_t5,1.0
C_timber_node11node99_t1,1.0
C_timber_node11node99_t2,1.0
C_timber_node11node99_t3,1.0
C_timber_node11node99_t4,1.0
C_timber_node11node99_t5,1.0
C_wide_node11node99_t1,1.0
C_wide_node11node99_t2,1.0
C_wide_node11node99_t3,1.0
C_wide_node11node99_t4,1.0
C_wide_node11node99_t5,1.0
C_timber_node11node100_t1,1.0
C_timber_node11node100_t2,1.0
C_timber_node11node100_t3,1.0
C_timber_node11node100_t4,1.0
C_timber_node11node100_t5,1.0
C_wide_node11node100_t1,1.0
C_wide_node11node100_t2,1.0
C_wide_node11node100_t3,1.0
C_wide_node11node100_t4,1.0
C_wide_node11node100_t5,1.0
C_timber_node12node114_t1,1.0
C_timber_node12node114_t2,1.0
C_timber_node12node114_t3,1.0
C_timber_node12node114_t4,1.0
C_timber_node12node114_t5,1.0
C_wide_node12node114_t1,1.0
C_wide_node12node114_t2,1.0
C_wide_node12node114_t3,1.0
C_wide_node12node114_t4,1.0
C_wide_node12node114_t5,1.0
C_timber_node13node95_t1,1.0
C_timber_node13node95_t2,1.0
C_timber_node13node95_t3,1.0
C_timber_node13node95_t4,1.0
C_timber_node13node95_t5,1.0
C_wide_node13node95_t1,1.0
C_wide_node13node95_t2,1.0
C_wide_node13node95_t3,1.0
C_wide_node13node95_t4,1.0
C_wide_node13node95_t5,1.0
C_timber_node13node97_t1,1.0
C_timber_node13node97_t2,1.0
C_timber_node13node97_t3,1.0
C_timber_node13node97_t4,1.0
C_timber_node13node97_t5,1.0
C_wide_node13node97_t1,1.0
C_wide_node13node97_t2,1.0
C_wide_node13node97_t3,1.0
C_wide_node13node97_t4,1.0
C_wide_node13node97_t5,1.0
C_timber_node13node107_t1,1.0
C_timber_node13node107_t2,1.0
C_timber_node13node107_t3,1.0
C_timber_node13node107_t4,1.0
C_timber_node13node107_t5,1.0
C_wide_node13node107_t1,1.0
C_wide_node13node107_t2,1.0
C_wide_node13node107_t3,1.0
C_wide_node13node107_t4,1.0
C_wide_node13node107_t5,1.0
C_timber_node13node108_t1,1.0
C_timber_node13node108_t2,1.0
C_timber_node13node108_t3,1.0
C_timber_node13node108_t4,1.0
C_timber_node13node108_t5,1.0
C_wide_node13node108_t1,1.0
C_wide_node13node108_t2,1.0
C_wide_node13node108_t3,1.0
C_wide_node13node108_t4,1.0
C_wide_node13node108_t5,1.0
C_timber_node14node112_t1,1.0
C_timber_node14node112_t2,1.0
C_timber_node14node112_t3,1.0
C_timber_node14node112_t4,1.0
C_timber_node14node112_t5,1.0
C_wide_node14node112_t1,1.0
C_wide_node14node112_t2,1.0
C_wide_node14node112_t3,1.0
C_wide_node14node112_t4,1.0
C_wide_node14node112_t5,1.0
C_timber_node14node114_t1,1.0
C_timber_node14node114_t2,1.0
C_timber_node14node114_t3,1.0
C_timber_node14node114_t4,1.0
C_timber_node14node114_t5,1.0
C_wide_node14node114_t1,1.0
C_wide_node14node114_t2,1.0
C_wide_node14node114_t3,1.0
C_wide_node14node114_t4,1.0
C_wide_node14node114_t5,1.0
C_timber_node15node55_t1,1.0
C_timber_node15node104_t1,1.0
C_timber_node15node104_t2,1.0
C_timber_node15node104_t3,1.0
C_timber_node15node104_t4,1.0
C_timber_node15node104_t5,1.0
C_wide_node15node104_t1,1.0
C_wide_node15node104_t2,1.0
C_wide_node15node104_t3,1.0
C_wide_node15node104_t4,1.0
C_wide_node15node104_t5,1.0
C_timber_node15node105_t1,1.0
C_timber_node15node105_t2,1.0
C_timber_node15node105_t3,1.0
C_timber_node15node105_t4,1.0
C_timber_node15node105_t5,1.0
C_wide_node15node105_t1,1.0
C_wide_node15node105_t2,1.0
C_wide_node15node105_t3,1.0
C_wide_node15node105_t4,1.0
C_wide_node15node105_t5,1.0
C_timber_node15node106_t1,1.0
C_timber_node15node106_t2,1.0
C_timber_node15node106_t3,1.0
C_timber_node15node106_t4,1.0
C_timber_node15node106_t5,1.0
C_wide_node15node106_t1,1.0
C_wide_node15node106_t2,1.0
C_wide_node15node106_t3,1.0
C_wide_node15node106_t4,1.0
C_wide_node15node106_t5,1.0
C_timber_node15node110_t1,1.0
C_timber_node15node110_t2,1.0
C_timber_node15node110_t3,1.0
C_timber_node15node110_t4,1.0
C_timber_node15node110_t5,1.0
C_wide_node15node110_t1,1.0
C_wide_node15node110_t2,1.0
C_wide_node15node110_t3,1.0
C_wide_node15node110_t4,1.0
C_wide_node15node110_t5,1.0
