variable,value
C_timber_node4node9_t3,1.0
C_timber_node4node9_t4,1.0
C_timber_node4node9_t5,1.0
C_wide_node4node9_t1,1.0
C_wide_node4node9_t2,1.0
C_wide_node4node9_t3,1.0
C_wide_node4node9_t4,1.0
C_wide_node4node9_t5,1.0
C_timber_node4node107_t1,1.0
C_timber_node4node107_t2,1.0
C_timber_node4node107_t3,1.0
C_timber_node4node107_t4,1.0
C_timber_node4node107_t5,1.0
C_wide_node4node107_t1,1.0
C_wide_node4node107_t2,1.0
C_wide_node4node107_t3,1.0
C_wide_node4node107_t4,1.0
C_wide_node4node107_t5,1.0
C_timber_node4node109_t1,1.0
C_timber_node4node109_t2,1.0
C_timber_node4node109_t3,1.0
C_timber_node4node109_t4,1.0
C_timber_node4node109_t5,1.0
C_wide_node4node109_t1,1.0
C_wide_node4node109_t2,1.0
C_wide_node4node109_t3,1.0
C_wide_node4node109_t4,1.0
C_wide_node4node109_t5,1.0
C_timber_node4node110_t1,1.0
C_timber_node4node110_t2,1.0
C_timber_node4node110_t3,1.0
C_timber_node4node110_t4,1.0
C_timber_node4node110_t5,1.0
C_wide_node4node110_t1,1.0
C_wide_node4node110_t2,1.0
C_wide_node4node110_t3,1.0
C_wide_node4node110_t4,1.0
C_wide_node4node110_t5,1.0
C_timber_node5node33_t1,1.0
C_timber_node5node33_t2,1.0
C_timber_node5node33_t3,1.0
C_timber_node5node33_t4,1.0
C_timber_node5node33_t5,1.0
C_wide_node5node33_t1,1.0
C_wide_node5node33_t2,1.0
C_wide_node5node33_t3,1.0
C_wide_node5node33_t4,1.0
C_wide_node5node33_t5,1.0
C_timber_node5node56_t1,1.0
C_timber_node5node56_t2,1.0
C_timber_node5node56_t3,1.0
C_timber_node5node56_t4,1.0
C_timber_node5node56_t5,1.0
C_wide_node5node56_t1,1.0
C_wide_node5node56_t2,1.0
C_wide_node5node56_t3,1.0
C_wide_node5node56_t4,1.0
C_wide_node5node56_t5,1.0
C_timber_node5node45_t1,1.0
C_timber_node5node45_t2,1.0
C_timber_node5node45_t3,1.0
C_timber_node5node45_t4,1.0
C_timber_node5node45_t5,1.0
C_wide_node5node45_t1,1.0
C_wide_node5node45_t2,1.0
C_wide_node5node45_t3,1.0
C_wide_node5node45_t4,1.0
C_wide_node5node45_t5,1.0
C_timber_node5node90_t1,1.0
C_timber_node5node90_t2,1.0
C_timber_node5node90_t3,1.0
C_timber_node5node90_t4,1.0
C_timber_node5node90_t5,1.0
C_wide_node5node90_t1,1.0
C_wide_node5node90_t2,1.0
C_wide_node5node90_t3,1.0
C_wide_node5node90_t4,1.0
C_wide_node5node90_t5,1.0
C_timber_node5node92_t1,1.0
C_timber_node5node92_t2,1.0
C_timber_node5node92_t3,1.0
C_timber_node5node92_t4,1.0
C_timber_node5node92_t5,1.0
C_wide_node5node92_t1,1.0
C_wide_node5node92_t2,1.0
C_wide_node5node92_t3,1.0
C_wide_node5node92_t4,1.0
C_wide_node5node92_t5,1.0
C_timber_node6node68_t1,1.0
C_timber_node6node68_t2,1.0
C_timber_node6node68_t3,1.0
C_timber_node6node68_t4,1.0
C_timber_node6node68_t5,1.0
C_wide_node6node68_t1,1.0
C_wide_node6node68_t2,1.0
C_wide_node6node68_t3,1.0
