Prefix,Total_NumNodes,Total_NumEdges,Total_SourceNodes,Total_ExitNodes,Total_EdgeLength,Total_Costs
0,16729,17299,0,0,759.1899999999999,0.0
1withexit,17160,17730,0,736,759.1899999999999,0.0
2withcosts,17160,17730,0,736,759.1899999999999,3263460.0
3aftermerge,1530,2100,0,448,759.1899999999999,3263460.0
4withsources,1844,3735,314,448,759.1899999999999,3263460.0
