Prefix,Total_NumNodes,Total_NumEdges,Total_SourceNodes,Total_ExitNodes,Total_EdgeLength,Total_Costs
0,16787,17357,0,0,759.98,0.0
1withexit,17218,17788,0,736,759.98,0.0
2withcosts,17218,17788,0,736,759.98,3267899.0
3aftermerge,1533,2103,0,448,759.98,3267899.0
4withsources,1848,3741,315,448,759.98,3267899.0
