variable,value,node_type_info,action,road_type,edge,period
M_node41node94_timber_t5,1.0,node41transit_node94source,M,timber,node41node94,5.0
M_node42node105_wide_t4,1.0,node42exit_node105source,M,wide,node42node105,4.0
M_node42node105_wide_t5,1.0,node42exit_node105source,M,wide,node42node105,5.0
M_node44node94_wide_t4,1.0,node44transit_node94source,M,wide,node44node94,4.0
M_node44node94_wide_t5,1.0,node44transit_node94source,M,wide,node44node94,5.0
M_node44node96_timber_t2,1.0,node44transit_node96source,M,timber,node44node96,2.0
M_node47node95_timber_t2,1.0,node47transit_node95source,M,timber,node47node95,2.0
M_node47node95_timber_t3,1.0,node47transit_node95source,M,timber,node47node95,3.0
M_node47node95_timber_t4,1.0,node47transit_node95source,M,timber,node47node95,4.0
M_node47node95_timber_t5,1.0,node47transit_node95source,M,timber,node47node95,5.0
M_node48node100_timber_t2,1.0,node48transit_node100source,M,timber,node48node100,2.0
M_node48node100_timber_t3,1.0,node48transit_node100source,M,timber,node48node100,3.0
M_node48node100_timber_t4,1.0,node48transit_node100source,M,timber,node48node100,4.0
M_node48node100_timber_t5,1.0,node48transit_node100source,M,timber,node48node100,5.0
M_node48node101_timber_t2,1.0,node48transit_node101source,M,timber,node48node101,2.0
M_node48node101_timber_t3,1.0,node48transit_node101source,M,timber,node48node101,3.0
M_node48node101_timber_t4,1.0,node48transit_node101source,M,timber,node48node101,4.0
M_node49node101_timber_t2,1.0,node49transit_node101source,M,timber,node49node101,2.0
M_node49node101_timber_t3,1.0,node49transit_node101source,M,timber,node49node101,3.0
M_node49node101_timber_t4,1.0,node49transit_node101source,M,timber,node49node101,4.0
M_node50node94_timber_t2,1.0,node50transit_node94source,M,timber,node50node94,2.0
M_node50node94_wide_t4,1.0,node50transit_node94source,M,wide,node50node94,4.0
M_node50node94_wide_t5,1.0,node50transit_node94source,M,wide,node50node94,5.0
M_node50node97_timber_t2,1.0,node50transit_node97source,M,timber,node50node97,2.0
M_node50node97_timber_t3,1.0,node50transit_node97source,M,timber,node50node97,3.0
M_node50node97_timber_t4,1.0,node50transit_node97source,M,timber,node50node97,4.0
M_node50node97_timber_t5,1.0,node50transit_node97source,M,timber,node50node97,5.0
M_node51node97_timber_t2,1.0,node51transit_node97source,M,timber,node51node97,2.0
M_node51node97_timber_t3,1.0,node51transit_node97source,M,timber,node51node97,3.0
M_node51node97_timber_t4,1.0,node51transit_node97source,M,timber,node51node97,4.0
M_node51node100_timber_t2,1.0,node51transit_node100source,M,timber,node51node100,2.0
M_node51node100_timber_t3,1.0,node51transit_node100source,M,timber,node51node100,3.0
M_node51node100_timber_t4,1.0,node51transit_node100source,M,timber,node51node100,4.0
M_node51node100_timber_t5,1.0,node51transit_node100source,M,timber,node51node100,5.0
M_node51node101_timber_t2,1.0,node51transit_node101source,M,timber,node51node101,2.0
M_node51node101_timber_t3,1.0,node51transit_node101source,M,timber,node51node101,3.0
M_node51node101_timber_t4,1.0,node51transit_node101source,M,timber,node51node101,4.0
M_node51node101_timber_t5,1.0,node51transit_node101source,M,timber,node51node101,5.0
M_node53node84_timber_t2,1.0,node53transit_node84exit,M,timber,node53node84,2.0
M_node53node84_timber_t3,1.0,node53transit_node84exit,M,timber,node53node84,3.0
M_node53node84_timber_t4,1.0,node53transit_node84exit,M,timber,node53node84,4.0
M_node53node84_timber_t5,1.0,node53transit_node84exit,M,timber,node53node84,5.0
M_node53node101_timber_t2,1.0,node53transit_node101source,M,timber,node53node101,2.0
M_node53node101_timber_t3,1.0,node53transit_node101source,M,timber,node53node101,3.0
M_node53node101_timber_t4,1.0,node53transit_node101source,M,timber,node53node101,4.0
M_node53node101_timber_t5,1.0,node53transit_node101source,M,timber,node53node101,5.0
M_node54node105_wide_t2,1.0,node54exit_node105source,M,wide,node54node105,2.0
M_node54node105_wide_t3,1.0,node54exit_node105source,M,wide,node54node105,3.0
M_node54node105_wide_t4,1.0,node54exit_node105source,M,wide,node54node105,4.0
M_node54node105_wide_t5,1.0,node54exit_node105source,M,wide,node54node105,5.0
M_node55node97_timber_t2,1.0,node55transit_node97source,M,timber,node55node97,2.0
M_node55node97_timber_t3,1.0,node55transit_node97source,M,timber,node55node97,3.0
M_node55node97_timber_t4,1.0,node55transit_node97source,M,timber,node55node97,4.0
M_node58node93_timber_t2,1.0,node58transit_node93source,M,timber,node58node93,2.0
M_node58node93_timber_t3,1.0,node58transit_node93source,M,timber,node58node93,3.0
M_node58node93_wide_t5,1.0,node58transit_node93source,M,wide,node58node93,5.0
M_node58node95_timber_t2,1.0,node58transit_node95source,M,timber,node58node95,2.0
