variable,lb,ub,type,var_type_letter,road_type,edge,period,discounted_cost
C_node1node14_timber_t0,0.0,0.0,B,C,timber,node1node14,0,792.0
C_node1node14_timber_t1,0.0,1.0,B,C,timber,node1node14,1,666.84
C_node1node14_timber_t2,0.0,1.0,B,C,timber,node1node14,2,472.74
C_node1node14_timber_t3,0.0,1.0,B,C,timber,node1node14,3,335.13
C_node1node14_timber_t4,0.0,1.0,B,C,timber,node1node14,4,237.58
C_node1node14_timber_t5,0.0,1.0,B,C,timber,node1node14,5,168.43
C_node1node14_wide_t0,0.0,0.0,B,C,wide,node1node14,0,1188.0
C_node1node14_wide_t1,0.0,1.0,B,C,wide,node1node14,1,1000.26
C_node1node14_wide_t2,0.0,1.0,B,C,wide,node1node14,2,709.11
C_node1node14_wide_t3,0.0,1.0,B,C,wide,node1node14,3,502.7
C_node1node14_wide_t4,0.0,1.0,B,C,wide,node1node14,4,356.37
C_node1node14_wide_t5,0.0,1.0,B,C,wide,node1node14,5,252.64
C_node1node35_timber_t0,0.0,0.0,B,C,timber,node1node35,0,746.0
C_node1node35_timber_t1,0.0,1.0,B,C,timber,node1node35,1,628.11
C_node1node35_timber_t2,0.0,1.0,B,C,timber,node1node35,2,445.28
C_node1node35_timber_t3,0.0,1.0,B,C,timber,node1node35,3,315.67
C_node1node35_timber_t4,0.0,1.0,B,C,timber,node1node35,4,223.78
C_node1node35_timber_t5,0.0,1.0,B,C,timber,node1node35,5,158.64
C_node1node35_wide_t0,0.0,0.0,B,C,wide,node1node35,0,1119.0
C_node1node35_wide_t1,0.0,1.0,B,C,wide,node1node35,1,942.17
C_node1node35_wide_t2,0.0,1.0,B,C,wide,node1node35,2,667.92
C_node1node35_wide_t3,0.0,1.0,B,C,wide,node1node35,3,473.5
C_node1node35_wide_t4,0.0,1.0,B,C,wide,node1node35,4,335.67
C_node1node35_wide_t5,0.0,1.0,B,C,wide,node1node35,5,237.97
C_node1node56_timber_t0,0.0,0.0,B,C,timber,node1node56,0,0.0
C_node1node56_timber_t1,0.0,1.0,B,C,timber,node1node56,1,0.0
C_node1node56_timber_t2,0.0,1.0,B,C,timber,node1node56,2,0.0
C_node1node56_timber_t3,0.0,1.0,B,C,timber,node1node56,3,0.0
C_node1node56_timber_t4,0.0,1.0,B,C,timber,node1node56,4,0.0
C_node1node56_timber_t5,0.0,1.0,B,C,timber,node1node56,5,0.0
