C_timber_node2node114_t4: lb=0.0, ub=1.0, type=B, cost=1598
C_timber_node2node114_t5: lb=0.0, ub=1.0, type=B, cost=1598
C_wide_node2node114_t0: lb=0.0, ub=0.0, type=B, cost=2394
C_wide_node2node114_t1: lb=0.0, ub=1.0, type=B, cost=2394
C_wide_node2node114_t2: lb=0.0, ub=1.0, type=B, cost=2394
C_wide_node2node114_t3: lb=0.0, ub=1.0, type=B, cost=2394
C_wide_node2node114_t4: lb=0.0, ub=1.0, type=B, cost=2394
C_wide_node2node114_t5: lb=0.0, ub=1.0, type=B, cost=2394
C_timber_node2node80_t0: lb=0.0, ub=0.0, type=B, cost=2951
C_timber_node2node80_t1: lb=0.0, ub=1.0, type=B, cost=2951
C_timber_node2node80_t2: lb=0.0, ub=1.0, type=B, cost=2951
C_timber_node2node80_t3: lb=0.0, ub=1.0, type=B, cost=2951
C_timber_node2node80_t4: lb=0.0, ub=1.0, type=B, cost=2951
C_timber_node2node80_t5: lb=0.0, ub=1.0, type=B, cost=2951
C_wide_node2node80_t0: lb=0.0, ub=0.0, type=B, cost=4426
C_wide_node2node80_t1: lb=0.0, ub=1.0, type=B, cost=4426
C_wide_node2node80_t2: lb=0.0, ub=1.0, type=B, cost=4426
C_wide_node2node80_t3: lb=0.0, ub=1.0, type=B, cost=4426
C_wide_node2node80_t4: lb=0.0, ub=1.0, type=B, cost=4426
C_wide_node2node80_t5: lb=0.0, ub=1.0, type=B, cost=4426
C_timber_node2node364_t0: lb=0.0, ub=0.0, type=B, cost=0
C_timber_node2node364_t1: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node2node364_t2: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node2node364_t3: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node2node364_t4: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node2node364_t5: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node2node364_t0: lb=0.0, ub=0.0, type=B, cost=0
C_wide_node2node364_t1: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node2node364_t2: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node2node364_t3: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node2node364_t4: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node2node364_t5: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node2node366_t0: lb=0.0, ub=0.0, type=B, cost=0
C_timber_node2node366_t1: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node2node366_t2: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node2node366_t3: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node2node366_t4: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node2node366_t5: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node2node366_t0: lb=0.0, ub=0.0, type=B, cost=0
C_wide_node2node366_t1: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node2node366_t2: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node2node366_t3: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node2node366_t4: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node2node366_t5: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node2node367_t0: lb=0.0, ub=0.0, type=B, cost=0
C_timber_node2node367_t1: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node2node367_t2: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node2node367_t3: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node2node367_t4: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node2node367_t5: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node2node367_t0: lb=0.0, ub=0.0, type=B, cost=0
C_wide_node2node367_t1: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node2node367_t2: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node2node367_t3: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node2node367_t4: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node2node367_t5: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node3node123_t0: lb=0.0, ub=0.0, type=B, cost=1244
C_timber_node3node123_t1: lb=0.0, ub=1.0, type=B, cost=1244
C_timber_node3node123_t2: lb=0.0, ub=1.0, type=B, cost=1244
C_timber_node3node123_t3: lb=0.0, ub=1.0, type=B, cost=1244
C_timber_node3node123_t4: lb=0.0, ub=1.0, type=B, cost=1244
C_timber_node3node123_t5: lb=0.0, ub=1.0, type=B, cost=1244
C_wide_node3node123_t0: lb=0.0, ub=0.0, type=B, cost=1866
C_wide_node3node123_t1: lb=0.0, ub=1.0, type=B, cost=1866
C_wide_node3node123_t2: lb=0.0, ub=1.0, type=B, cost=1866
C_wide_node3node123_t3: lb=0.0, ub=1.0, type=B, cost=1866
C_wide_node3node123_t4: lb=0.0, ub=1.0, type=B, cost=1866
C_wide_node3node123_t5: lb=0.0, ub=1.0, type=B, cost=1866
C_timber_node3node73_t0: lb=0.0, ub=0.0, type=B, cost=2276
C_timber_node3node73_t1: lb=0.0, ub=1.0, type=B, cost=2276
C_timber_node3node73_t2: lb=0.0, ub=1.0, type=B, cost=2276
C_timber_node3node73_t3: lb=0.0, ub=1.0, type=B, cost=2276
C_timber_node3node73_t4: lb=0.0, ub=1.0, type=B, cost=2276
C_timber_node3node73_t5: lb=0.0, ub=1.0, type=B, cost=2276
C_wide_node3node73_t0: lb=0.0, ub=0.0, type=B, cost=3413
C_wide_node3node73_t1: lb=0.0, ub=1.0, type=B, cost=3413
C_wide_node3node73_t2: lb=0.0, ub=1.0, type=B, cost=3413
C_wide_node3node73_t3: lb=0.0, ub=1.0, type=B, cost=3413
C_wide_node3node73_t4: lb=0.0, ub=1.0, type=B, cost=3413
C_wide_node3node73_t5: lb=0.0, ub=1.0, type=B, cost=3413
C_timber_node3node172_t0: lb=0.0, ub=0.0, type=B, cost=5907
C_timber_node3node172_t1: lb=0.0, ub=1.0, type=B, cost=5907
C_timber_node3node172_t2: lb=0.0, ub=1.0, type=B, cost=5907
C_timber_node3node172_t3: lb=0.0, ub=1.0, type=B, cost=5907
C_timber_node3node172_t4: lb=0.0, ub=1.0, type=B, cost=5907
C_timber_node3node172_t5: lb=0.0, ub=1.0, type=B, cost=5907
C_wide_node3node172_t0: lb=0.0, ub=0.0, type=B, cost=8859
C_wide_node3node172_t1: lb=0.0, ub=1.0, type=B, cost=8859
C_wide_node3node172_t2: lb=0.0, ub=1.0, type=B, cost=8859
C_wide_node3node172_t3: lb=0.0, ub=1.0, type=B, cost=8859
C_wide_node3node172_t4: lb=0.0, ub=1.0, type=B, cost=8859
C_wide_node3node172_t5: lb=0.0, ub=1.0, type=B, cost=8859
C_timber_node3node341_t0: lb=0.0, ub=0.0, type=B, cost=0
C_timber_node3node341_t1: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node3node341_t2: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node3node341_t3: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node3node341_t4: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node3node341_t5: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node3node341_t0: lb=0.0, ub=0.0, type=B, cost=0
C_wide_node3node341_t1: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node3node341_t2: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node3node341_t3: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node3node341_t4: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node3node341_t5: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node3node342_t0: lb=0.0, ub=0.0, type=B, cost=0
C_timber_node3node342_t1: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node3node342_t2: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node3node342_t3: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node3node342_t4: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node3node342_t5: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node3node342_t0: lb=0.0, ub=0.0, type=B, cost=0
C_wide_node3node342_t1: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node3node342_t2: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node3node342_t3: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node3node342_t4: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node3node342_t5: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node4node82_t0: lb=0.0, ub=0.0, type=B, cost=1298
C_timber_node4node82_t1: lb=0.0, ub=1.0, type=B, cost=1298
C_timber_node4node82_t2: lb=0.0, ub=1.0, type=B, cost=1298
C_timber_node4node82_t3: lb=0.0, ub=1.0, type=B, cost=1298
C_timber_node4node82_t4: lb=0.0, ub=1.0, type=B, cost=1298
C_timber_node4node82_t5: lb=0.0, ub=1.0, type=B, cost=1298
C_wide_node4node82_t0: lb=0.0, ub=0.0, type=B, cost=1946
C_wide_node4node82_t1: lb=0.0, ub=1.0, type=B, cost=1946
C_wide_node4node82_t2: lb=0.0, ub=1.0, type=B, cost=1946
C_wide_node4node82_t3: lb=0.0, ub=1.0, type=B, cost=1946
C_wide_node4node82_t4: lb=0.0, ub=1.0, type=B, cost=1946
C_wide_node4node82_t5: lb=0.0, ub=1.0, type=B, cost=1946
C_timber_node4node107_t0: lb=0.0, ub=0.0, type=B, cost=2716
C_timber_node4node107_t1: lb=0.0, ub=1.0, type=B, cost=2716
C_timber_node4node107_t2: lb=0.0, ub=1.0, type=B, cost=2716
C_timber_node4node107_t3: lb=0.0, ub=1.0, type=B, cost=2716
C_timber_node4node107_t4: lb=0.0, ub=1.0, type=B, cost=2716
C_timber_node4node107_t5: lb=0.0, ub=1.0, type=B, cost=2716
C_wide_node4node107_t0: lb=0.0, ub=0.0, type=B, cost=4073
C_wide_node4node107_t1: lb=0.0, ub=1.0, type=B, cost=4073
C_wide_node4node107_t2: lb=0.0, ub=1.0, type=B, cost=4073
C_wide_node4node107_t3: lb=0.0, ub=1.0, type=B, cost=4073
C_wide_node4node107_t4: lb=0.0, ub=1.0, type=B, cost=4073
C_wide_node4node107_t5: lb=0.0, ub=1.0, type=B, cost=4073
C_timber_node4node98_t0: lb=0.0, ub=0.0, type=B, cost=2677
C_timber_node4node98_t1: lb=0.0, ub=1.0, type=B, cost=2677
C_timber_node4node98_t2: lb=0.0, ub=1.0, type=B, cost=2677
C_timber_node4node98_t3: lb=0.0, ub=1.0, type=B, cost=2677
C_timber_node4node98_t4: lb=0.0, ub=1.0, type=B, cost=2677
C_timber_node4node98_t5: lb=0.0, ub=1.0, type=B, cost=2677
C_wide_node4node98_t0: lb=0.0, ub=0.0, type=B, cost=4016
C_wide_node4node98_t1: lb=0.0, ub=1.0, type=B, cost=4016
C_wide_node4node98_t2: lb=0.0, ub=1.0, type=B, cost=4016
C_wide_node4node98_t3: lb=0.0, ub=1.0, type=B, cost=4016
C_wide_node4node98_t4: lb=0.0, ub=1.0, type=B, cost=4016
C_wide_node4node98_t5: lb=0.0, ub=1.0, type=B, cost=4016
C_timber_node4node298_t0: lb=0.0, ub=0.0, type=B, cost=0
C_timber_node4node298_t1: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node4node298_t2: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node4node298_t3: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node4node298_t4: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node4node298_t5: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node4node298_t0: lb=0.0, ub=0.0, type=B, cost=0
C_wide_node4node298_t1: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node4node298_t2: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node4node298_t3: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node4node298_t4: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node4node298_t5: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node4node300_t0: lb=0.0, ub=0.0, type=B, cost=0
C_timber_node4node300_t1: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node4node300_t2: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node4node300_t3: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node4node300_t4: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node4node300_t5: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node4node300_t0: lb=0.0, ub=0.0, type=B, cost=0
C_wide_node4node300_t1: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node4node300_t2: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node4node300_t3: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node4node300_t4: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node4node300_t5: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node4node303_t0: lb=0.0, ub=0.0, type=B, cost=0
C_timber_node4node303_t1: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node4node303_t2: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node4node303_t3: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node4node303_t4: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node4node303_t5: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node4node303_t0: lb=0.0, ub=0.0, type=B, cost=0
C_wide_node4node303_t1: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node4node303_t2: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node4node303_t3: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node4node303_t4: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node4node303_t5: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node5node75_t0: lb=0.0, ub=0.0, type=B, cost=1539
C_timber_node5node75_t1: lb=0.0, ub=1.0, type=B, cost=1539
C_timber_node5node75_t2: lb=0.0, ub=1.0, type=B, cost=1539
C_timber_node5node75_t3: lb=0.0, ub=1.0, type=B, cost=1539
C_timber_node5node75_t4: lb=0.0, ub=1.0, type=B, cost=1539
C_timber_node5node75_t5: lb=0.0, ub=1.0, type=B, cost=1539
C_wide_node5node75_t0: lb=0.0, ub=0.0, type=B, cost=2309
C_wide_node5node75_t1: lb=0.0, ub=1.0, type=B, cost=2309
C_wide_node5node75_t2: lb=0.0, ub=1.0, type=B, cost=2309
C_wide_node5node75_t3: lb=0.0, ub=1.0, type=B, cost=2309
C_wide_node5node75_t4: lb=0.0, ub=1.0, type=B, cost=2309
C_wide_node5node75_t5: lb=0.0, ub=1.0, type=B, cost=2309
C_timber_node5node218_t0: lb=0.0, ub=0.0, type=B, cost=2666
C_timber_node5node218_t1: lb=0.0, ub=1.0, type=B, cost=2666
C_timber_node5node218_t2: lb=0.0, ub=1.0, type=B, cost=2666
C_timber_node5node218_t3: lb=0.0, ub=1.0, type=B, cost=2666
C_timber_node5node218_t4: lb=0.0, ub=1.0, type=B, cost=2666
C_timber_node5node218_t5: lb=0.0, ub=1.0, type=B, cost=2666
C_wide_node5node218_t0: lb=0.0, ub=0.0, type=B, cost=3998
C_wide_node5node218_t1: lb=0.0, ub=1.0, type=B, cost=3998
C_wide_node5node218_t2: lb=0.0, ub=1.0, type=B, cost=3998
C_wide_node5node218_t3: lb=0.0, ub=1.0, type=B, cost=3998
C_wide_node5node218_t4: lb=0.0, ub=1.0, type=B, cost=3998
C_wide_node5node218_t5: lb=0.0, ub=1.0, type=B, cost=3998
C_timber_node5node134_t0: lb=0.0, ub=0.0, type=B, cost=2453
C_timber_node5node134_t1: lb=0.0, ub=1.0, type=B, cost=2453
C_timber_node5node134_t2: lb=0.0, ub=1.0, type=B, cost=2453
C_timber_node5node134_t3: lb=0.0, ub=1.0, type=B, cost=2453
C_timber_node5node134_t4: lb=0.0, ub=1.0, type=B, cost=2453
C_timber_node5node134_t5: lb=0.0, ub=1.0, type=B, cost=2453
C_wide_node5node134_t0: lb=0.0, ub=0.0, type=B, cost=3678
C_wide_node5node134_t1: lb=0.0, ub=1.0, type=B, cost=3678
C_wide_node5node134_t2: lb=0.0, ub=1.0, type=B, cost=3678
C_wide_node5node134_t3: lb=0.0, ub=1.0, type=B, cost=3678
C_wide_node5node134_t4: lb=0.0, ub=1.0, type=B, cost=3678
C_wide_node5node134_t5: lb=0.0, ub=1.0, type=B, cost=3678
C_timber_node5node301_t0: lb=0.0, ub=0.0, type=B, cost=0
C_timber_node5node301_t1: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node5node301_t2: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node5node301_t3: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node5node301_t4: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node5node301_t5: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node5node301_t0: lb=0.0, ub=0.0, type=B, cost=0
C_wide_node5node301_t1: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node5node301_t2: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node5node301_t3: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node5node301_t4: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node5node301_t5: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node5node302_t0: lb=0.0, ub=0.0, type=B, cost=0
C_timber_node5node302_t1: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node5node302_t2: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node5node302_t3: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node5node302_t4: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node5node302_t5: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node5node302_t0: lb=0.0, ub=0.0, type=B, cost=0
C_wide_node5node302_t1: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node5node302_t2: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node5node302_t3: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node5node302_t4: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node5node302_t5: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node5node305_t0: lb=0.0, ub=0.0, type=B, cost=0
C_timber_node5node305_t1: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node5node305_t2: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node5node305_t3: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node5node305_t4: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node5node305_t5: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node5node305_t0: lb=0.0, ub=0.0, type=B, cost=0
C_wide_node5node305_t1: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node5node305_t2: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node5node305_t3: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node5node305_t4: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node5node305_t5: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node6node121_t0: lb=0.0, ub=0.0, type=B, cost=341
C_timber_node6node121_t1: lb=0.0, ub=1.0, type=B, cost=341
C_timber_node6node121_t2: lb=0.0, ub=1.0, type=B, cost=341
C_timber_node6node121_t3: lb=0.0, ub=1.0, type=B, cost=341
C_timber_node6node121_t4: lb=0.0, ub=1.0, type=B, cost=341
C_timber_node6node121_t5: lb=0.0, ub=1.0, type=B, cost=341
C_wide_node6node121_t0: lb=0.0, ub=0.0, type=B, cost=512
C_wide_node6node121_t1: lb=0.0, ub=1.0, type=B, cost=512
C_wide_node6node121_t2: lb=0.0, ub=1.0, type=B, cost=512
C_wide_node6node121_t3: lb=0.0, ub=1.0, type=B, cost=512
C_wide_node6node121_t4: lb=0.0, ub=1.0, type=B, cost=512
C_wide_node6node121_t5: lb=0.0, ub=1.0, type=B, cost=512
C_timber_node6node22_t0: lb=0.0, ub=0.0, type=B, cost=1501
C_timber_node6node22_t1: lb=0.0, ub=1.0, type=B, cost=1501
C_timber_node6node22_t2: lb=0.0, ub=1.0, type=B, cost=1501
C_timber_node6node22_t3: lb=0.0, ub=1.0, type=B, cost=1501
C_timber_node6node22_t4: lb=0.0, ub=1.0, type=B, cost=1501
C_timber_node6node22_t5: lb=0.0, ub=1.0, type=B, cost=1501
C_wide_node6node22_t0: lb=0.0, ub=0.0, type=B, cost=2251
C_wide_node6node22_t1: lb=0.0, ub=1.0, type=B, cost=2251
C_wide_node6node22_t2: lb=0.0, ub=1.0, type=B, cost=2251
C_wide_node6node22_t3: lb=0.0, ub=1.0, type=B, cost=2251
C_wide_node6node22_t4: lb=0.0, ub=1.0, type=B, cost=2251
C_wide_node6node22_t5: lb=0.0, ub=1.0, type=B, cost=2251
C_timber_node6node308_t0: lb=0.0, ub=0.0, type=B, cost=0
C_timber_node6node308_t1: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node6node308_t2: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node6node308_t3: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node6node308_t4: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node6node308_t5: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node6node308_t0: lb=0.0, ub=0.0, type=B, cost=0
C_wide_node6node308_t1: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node6node308_t2: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node6node308_t3: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node6node308_t4: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node6node308_t5: lb=0.0, ub=1.0, type=B, cost=0
