variable,value,node_type_info
C_node53node104_timber_t1,1.0,node53transit_node104exit
C_node53node128_timber_t1,1.0,node53transit_node128source
C_node54node130_timber_t1,1.0,node54transit_node130source
C_node55node87_timber_t1,1.0,node55transit_node87transit
C_node55node119_timber_t1,1.0,node55transit_node119source
C_node55node121_timber_t1,1.0,node55transit_node121source
C_node56node126_timber_t1,1.0,node56transit_node126source
C_node56node129_timber_t1,1.0,node56transit_node129source
C_node56node129_wide_t3,1.0,node56transit_node129source
C_node56node130_timber_t1,1.0,node56transit_node130source
C_node57node129_timber_t1,1.0,node57transit_node129source
C_node57node138_timber_t1,1.0,node57transit_node138source
C_node58node80_timber_t1,1.0,node58transit_node80transit
C_node58node143_timber_t1,1.0,node58transit_node143source
C_node59node101_wide_t1,1.0,node59transit_node101exit
C_node61node118_timber_t1,1.0,node61transit_node118source
C_node61node119_timber_t1,1.0,node61transit_node119source
C_node62node119_timber_t1,1.0,node62transit_node119source
C_node62node120_timber_t1,1.0,node62transit_node120source
C_node63node137_wide_t1,1.0,node63transit_node137source
C_node64node95_timber_t1,1.0,node64transit_node95transit
C_node64node138_timber_t1,1.0,node64transit_node138source
C_node65node138_timber_t1,1.0,node65transit_node138source
C_node66node119_timber_t1,1.0,node66transit_node119source
C_node67node95_timber_t1,1.0,node67exit_node95transit
C_node68node132_timber_t3,1.0,node68transit_node132source
C_node68node132_wide_t1,1.0,node68transit_node132source
C_node68node133_timber_t1,1.0,node68transit_node133source
C_node68node134_timber_t1,1.0,node68transit_node134source
C_node71node119_timber_t1,1.0,node71transit_node119source
C_node71node122_timber_t1,1.0,node71transit_node122source
C_node72node129_timber_t1,1.0,node72transit_node129source
C_node73node141_timber_t1,1.0,node73transit_node141source
C_node75node129_timber_t1,1.0,node75transit_node129source
C_node75node130_timber_t1,1.0,node75transit_node130source
C_node76node124_timber_t1,1.0,node76transit_node124source
C_node76node125_timber_t1,1.0,node76transit_node125source
C_node77node132_timber_t4,1.0,node77transit_node132source
C_node77node132_wide_t1,1.0,node77transit_node132source
C_node77node137_timber_t1,1.0,node77transit_node137source
C_node77node140_timber_t1,1.0,node77transit_node140source
C_node78node141_timber_t1,1.0,node78transit_node141source
C_node79node96_timber_t1,1.0,node79transit_node96transit
C_node79node119_timber_t1,1.0,node79transit_node119source
C_node79node144_timber_t1,1.0,node79transit_node144source
C_node80node125_wide_t1,1.0,node80transit_node125source
C_node80node143_timber_t1,1.0,node80transit_node143source
C_node81node137_timber_t1,1.0,node81transit_node137source
C_node82node128_timber_t1,1.0,node82transit_node128source
C_node83node119_timber_t1,1.0,node83transit_node119source
C_node85node119_timber_t1,1.0,node85transit_node119source
C_node85node136_timber_t1,1.0,node85transit_node136source
C_node86node118_timber_t1,1.0,node86transit_node118source
C_node87node119_timber_t1,1.0,node87transit_node119source
C_node87node121_timber_t1,1.0,node87transit_node121source
C_node87node123_wide_t1,1.0,node87transit_node123source
C_node88node133_timber_t1,1.0,node88transit_node133source
C_node88node134_timber_t1,1.0,node88transit_node134source
C_node88node134_wide_t3,1.0,node88transit_node134source
C_node89node125_timber_t1,1.0,node89transit_node125source
C_node89node143_timber_t1,1.0,node89transit_node143source
C_node90node127_timber_t1,1.0,node90transit_node127source
C_node90node134_timber_t1,1.0,node90transit_node134source
C_node90node135_timber_t1,1.0,node90transit_node135source
C_node90node135_timber_t3,1.0,node90transit_node135source
C_node91node132_wide_t1,1.0,node91transit_node132source
C_node91node132_wide_t3,1.0,node91transit_node132source
C_node91node133_timber_t1,1.0,node91transit_node133source
C_node91node137_timber_t1,1.0,node91transit_node137source
C_node92node124_timber_t1,1.0,node92transit_node124source
C_node93node120_timber_t1,1.0,node93transit_node120source
C_node96node119_timber_t1,1.0,node96transit_node119source
M_node1node79_timber_t2,1.0,node1transit_node79transit
M_node1node79_timber_t3,1.0,node1transit_node79transit
M_node1node79_timber_t4,1.0,node1transit_node79transit
M_node1node79_timber_t5,1.0,node1transit_node79transit
M_node1node62_timber_t2,1.0,node1transit_node62transit
M_node1node62_timber_t3,1.0,node1transit_node62transit
M_node1node62_timber_t4,1.0,node1transit_node62transit
M_node1node62_timber_t5,1.0,node1transit_node62transit
M_node1node119_timber_t2,1.0,node1transit_node119source
M_node1node119_timber_t3,1.0,node1transit_node119source
M_node1node119_timber_t4,1.0,node1transit_node119source
M_node1node119_timber_t5,1.0,node1transit_node119source
M_node1node144_timber_t2,1.0,node1transit_node144source
M_node1node144_timber_t3,1.0,node1transit_node144source
M_node1node144_timber_t4,1.0,node1transit_node144source
M_node1node144_timber_t5,1.0,node1transit_node144source
M_node2node119_timber_t2,1.0,node2transit_node119source
