variable,coefficient,type,prefix,width,edge,period
C_node2node180_wide_t2,0.0,B,C,wide,,2
C_node2node180_wide_t3,0.0,B,C,wide,,3
C_node2node180_wide_t4,0.0,B,C,wide,,4
C_node2node180_wide_t5,0.0,B,C,wide,,5
C_node2node210_timber_t0,0.0,B,C,timber,,0
C_node2node210_timber_t1,0.0,B,C,timber,,1
C_node2node210_timber_t2,0.0,B,C,timber,,2
C_node2node210_timber_t3,0.0,B,C,timber,,3
C_node2node210_timber_t4,0.0,B,C,timber,,4
C_node2node210_timber_t5,0.0,B,C,timber,,5
C_node2node210_wide_t0,0.0,B,C,wide,,0
C_node2node210_wide_t1,0.0,B,C,wide,,1
C_node2node210_wide_t2,0.0,B,C,wide,,2
C_node2node210_wide_t3,0.0,B,C,wide,,3
C_node2node210_wide_t4,0.0,B,C,wide,,4
C_node2node210_wide_t5,0.0,B,C,wide,,5
C_node3node57_timber_t0,1298.0,B,C,timber,,0
C_node3node57_timber_t1,1092.88,B,C,timber,,1
C_node3node57_timber_t2,774.76,B,C,timber,,2
C_node3node57_timber_t3,549.24,B,C,timber,,3
C_node3node57_timber_t4,389.37,B,C,timber,,4
C_node3node57_timber_t5,276.03,B,C,timber,,5
C_node3node57_wide_t0,1946.0,B,C,wide,,0
C_node3node57_wide_t1,1638.48,B,C,wide,,1
C_node3node57_wide_t2,1161.55,B,C,wide,,2
C_node3node57_wide_t3,823.44,B,C,wide,,3
C_node3node57_wide_t4,583.75,B,C,wide,,4
C_node3node57_wide_t5,413.83,B,C,wide,,5
C_node3node74_timber_t0,2716.0,B,C,timber,,0
C_node3node74_timber_t1,2286.8,B,C,timber,,1
C_node3node74_timber_t2,1621.15,B,C,timber,,2
C_node3node74_timber_t3,1149.27,B,C,timber,,3
C_node3node74_timber_t4,814.74,B,C,timber,,4
C_node3node74_timber_t5,577.58,B,C,timber,,5
C_node3node74_wide_t0,4073.0,B,C,wide,,0
C_node3node74_wide_t1,3429.36,B,C,wide,,1
C_node3node74_wide_t2,2431.14,B,C,wide,,2
C_node3node74_wide_t3,1723.48,B,C,wide,,3
C_node3node74_wide_t4,1221.81,B,C,wide,,4
C_node3node74_wide_t5,866.16,B,C,wide,,5
C_node3node67_timber_t0,2677.0,B,C,timber,,0
C_node3node67_timber_t1,2253.96,B,C,timber,,1
C_node3node67_timber_t2,1597.88,B,C,timber,,2
C_node3node67_timber_t3,1132.76,B,C,timber,,3
C_node3node67_timber_t4,803.04,B,C,timber,,4
C_node3node67_timber_t5,569.29,B,C,timber,,5
C_node3node67_wide_t0,4016.0,B,C,wide,,0
C_node3node67_wide_t1,3381.36,B,C,wide,,1
C_node3node67_wide_t2,2397.11,B,C,wide,,2
C_node3node67_wide_t3,1699.36,B,C,wide,,3
C_node3node67_wide_t4,1204.71,B,C,wide,,4
C_node3node67_wide_t5,854.04,B,C,wide,,5
C_node3node194_timber_t0,0.0,B,C,timber,,0
C_node3node194_timber_t1,0.0,B,C,timber,,1
C_node3node194_timber_t2,0.0,B,C,timber,,2
C_node3node194_timber_t3,0.0,B,C,timber,,3
C_node3node194_timber_t4,0.0,B,C,timber,,4
C_node3node194_timber_t5,0.0,B,C,timber,,5
C_node3node194_wide_t0,0.0,B,C,wide,,0
C_node3node194_wide_t1,0.0,B,C,wide,,1
C_node3node194_wide_t2,0.0,B,C,wide,,2
C_node3node194_wide_t3,0.0,B,C,wide,,3
C_node3node194_wide_t4,0.0,B,C,wide,,4
C_node3node194_wide_t5,0.0,B,C,wide,,5
C_node3node197_timber_t0,0.0,B,C,timber,,0
C_node3node197_timber_t1,0.0,B,C,timber,,1
C_node3node197_timber_t2,0.0,B,C,timber,,2
C_node3node197_timber_t3,0.0,B,C,timber,,3
C_node3node197_timber_t4,0.0,B,C,timber,,4
C_node3node197_timber_t5,0.0,B,C,timber,,5
C_node3node197_wide_t0,0.0,B,C,wide,,0
C_node3node197_wide_t1,0.0,B,C,wide,,1
C_node3node197_wide_t2,0.0,B,C,wide,,2
C_node3node197_wide_t3,0.0,B,C,wide,,3
C_node3node197_wide_t4,0.0,B,C,wide,,4
C_node3node197_wide_t5,0.0,B,C,wide,,5
C_node4node51_timber_t0,1539.0,B,C,timber,,0
C_node4node51_timber_t1,1295.8,B,C,timber,,1
C_node4node51_timber_t2,918.61,B,C,timber,,2
C_node4node51_timber_t3,651.22,B,C,timber,,3
C_node4node51_timber_t4,461.66,B,C,timber,,4
C_node4node51_timber_t5,327.28,B,C,timber,,5
C_node4node51_wide_t0,2309.0,B,C,wide,,0
C_node4node51_wide_t1,1944.12,B,C,wide,,1
C_node4node51_wide_t2,1378.22,B,C,wide,,2
C_node4node51_wide_t3,977.05,B,C,wide,,3
C_node4node51_wide_t4,692.65,B,C,wide,,4
C_node4node51_wide_t5,491.03,B,C,wide,,5
C_node4node142_timber_t0,2666.0,B,C,timber,,0
C_node4node142_timber_t1,2244.7,B,C,timber,,1
C_node4node142_timber_t2,1591.31,B,C,timber,,2
C_node4node142_timber_t3,1128.11,B,C,timber,,3
C_node4node142_timber_t4,799.74,B,C,timber,,4
C_node4node142_timber_t5,566.95,B,C,timber,,5
C_node4node142_wide_t0,3998.0,B,C,wide,,0
C_node4node142_wide_t1,3366.21,B,C,wide,,1
C_node4node142_wide_t2,2386.37,B,C,wide,,2
C_node4node142_wide_t3,1691.74,B,C,wide,,3
C_node4node142_wide_t4,1199.31,B,C,wide,,4
C_node4node142_wide_t5,850.21,B,C,wide,,5
C_node4node92_timber_t0,2453.0,B,C,timber,,0
C_node4node92_timber_t1,2065.36,B,C,timber,,1
C_node4node92_timber_t2,1464.17,B,C,timber,,2
