harvest_schedule,component,objective_value,best_bound,mip_rel_gap,total_vars,nonzero_vars,runtime_sec,constructed_timber_total,constructed_wide_total,maintained_timber_total,maintained_wide_total,upgraded_total,flow_timber_total,flow_wide_total,constructed_timber_t1,constructed_timber_t2,constructed_timber_t3,constructed_timber_t4,constructed_timber_t5,constructed_wide_t1,constructed_wide_t2,constructed_wide_t3,constructed_wide_t4,constructed_wide_t5,existing_timber_t1,existing_timber_t2,existing_timber_t3,existing_timber_t4,existing_timber_t5,existing_wide_t1,existing_wide_t2,existing_wide_t3,existing_wide_t4,existing_wide_t5,flow_timber_t1,flow_timber_t2,flow_timber_t3,flow_timber_t4,flow_timber_t5,flow_wide_t1,flow_wide_t2,flow_wide_t3,flow_wide_t4,flow_wide_t5,maintained_timber_t1,maintained_timber_t2,maintained_timber_t3,maintained_timber_t4,maintained_timber_t5,maintained_wide_t1,maintained_wide_t2,maintained_wide_t3,maintained_wide_t4,maintained_wide_t5,upgraded_t1,upgraded_t2,upgraded_t3,upgraded_t4,upgraded_t5
stake,comp_36_50_merged,1249.18,1249.18,0.0,9650,101,0.28,15,3,50,5,5,20,3,15,0,0,0,0,0,0,0,0,3,15,30,44,57,70,0,1,3,5,13,4,4,4,4,4,0,0,0,0,3,0,14,13,13,10,0,0,1,2,2,0,1,1,0,3
stake,comp_37,1915.43,1915.43,0.0,13050,325,0.23,68,4,158,33,21,41,0,55,4,5,1,3,1,0,1,1,1,55,108,162,209,247,1,4,12,33,58,8,8,8,8,9,0,0,0,0,0,0,47,45,34,32,0,1,3,8,21,0,2,4,12,3
stake,comp_38,4578.54,4578.54,0.0,9450,91,0.68,25,1,24,6,5,30,0,16,0,7,1,1,0,0,1,0,0,16,24,37,46,54,0,1,3,6,12,6,5,7,6,6,0,0,0,0,0,0,7,6,7,4,0,0,1,2,3,0,1,0,1,3
stake,comp_3_43_merged,3295.19,3295.19,0.0,8850,149,0.15,34,5,65,11,8,26,0,26,0,2,6,0,1,0,1,3,0,26,49,65,86,107,1,2,5,11,24,6,5,3,6,6,0,0,0,0,0,0,23,13,15,14,0,1,1,3,6,0,0,1,0,7
stake,comp_42,461.85,461.85,0.0,7050,90,0.08,35,1,19,10,5,20,0,22,0,12,0,1,0,0,0,1,0,22,32,50,55,59,0,2,5,11,16,4,4,4,4,4,0,0,0,0,0,0,8,5,3,3,0,0,2,3,5,0,2,1,2,0
stake,comp_45,554.9,554.9,0.0,14400,43,0.15,11,0,11,4,5,12,0,7,0,4,0,0,0,0,0,0,0,7,10,17,24,27,0,0,0,4,9,3,0,3,3,3,0,0,0,0,0,0,3,3,3,2,0,0,0,0,4,0,0,0,4,1
stake,comp_46,321.02,321.02,0.0,4200,26,0.06,3,1,7,6,1,8,0,1,2,0,0,0,1,0,0,0,0,1,4,7,9,11,1,2,4,6,8,0,2,2,2,2,0,0,0,0,0,0,1,2,2,2,0,1,1,2,2,0,0,1,0,0
stake,comp_47,2472.65,2472.65,0.0,700,26,0.03,4,0,11,0,1,10,0,4,0,0,0,0,0,0,0,0,0,4,8,12,14,16,0,0,0,0,1,2,2,2,2,2,0,0,0,0,0,0,4,4,2,1,0,0,0,0,0,0,0,0,0,1
stake,comp_49,12945.81,12945.81,0.0,11800,162,2.26,13,12,19,52,11,35,20,12,1,0,0,0,7,1,2,0,2,12,25,37,41,43,7,16,35,54,75,7,7,7,7,7,2,2,8,4,4,0,11,4,2,2,0,7,9,17,19,0,1,8,2,0
stake,comp_4_11_12_13_51_merged,13399.08,13399.08,0.0,43800,1429,4.73,248,26,565,211,149,228,2,226,0,15,7,0,21,0,3,2,0,226,436,645,829,962,21,46,105,217,386,49,41,40,49,49,2,0,0,0,0,0,200,163,126,76,0,15,25,59,112,0,10,31,51,57
stake,comp_5_39_merged,136947.79,82861.77,0.3949,72250,3031,3600.63,515,64,1009,455,284,677,27,408,18,72,16,1,45,8,6,5,0,408,776,1177,1551,1808,45,117,233,468,803,133,109,137,149,149,16,11,0,0,0,0,324,287,243,155,0,38,68,115,234,0,26,42,115,101
stake,comp_6,4586.76,4586.76,0.0,8150,167,3.3,16,11,24,42,11,45,18,14,0,1,1,0,10,0,1,0,0,14,28,36,44,51,10,24,37,49,64,9,9,9,9,9,4,8,2,2,2,0,8,7,6,3,0,8,12,11,11,0,6,0,1,4
stake,comp_7,0.0,0.0,0.0,9800,37,0.05,10,2,9,7,5,4,0,2,1,2,1,4,0,1,1,0,0,2,5,10,16,24,0,1,3,7,14,0,0,1,1,2,0,0,0,0,0,0,2,3,3,1,0,0,1,2,4,0,0,0,2,3
stake,comp_8,478.17,478.17,0.0,4700,109,0.06,19,1,36,21,12,20,0,18,0,1,0,0,1,0,0,0,0,18,35,50,60,67,1,4,11,21,34,4,4,4,4,4,0,0,0,0,0,0,15,10,7,4,0,1,3,7,10,0,2,4,3,3
stake,comp_9,3114.39,3114.39,0.0,34550,527,0.48,117,11,203,73,62,61,0,96,0,7,14,0,3,0,1,7,0,96,184,256,329,382,3,8,27,73,146,14,11,8,14,14,0,0,0,0,0,0,86,52,39,26,0,3,5,19,46,0,2,13,20,27
