harvest_schedule,component,objective_value,best_bound,mip_rel_gap,total_vars,nonzero_vars,runtime_sec,constructed_timber_total,constructed_wide_total,maintained_timber_total,maintained_wide_total,upgraded_total,flow_timber_total,flow_wide_total,constructed_timber_t1,constructed_timber_t2,constructed_timber_t3,constructed_timber_t4,constructed_timber_t5,constructed_wide_t1,constructed_wide_t2,constructed_wide_t3,constructed_wide_t4,constructed_wide_t5,existing_timber_t1,existing_timber_t2,existing_timber_t3,existing_timber_t4,existing_timber_t5,existing_wide_t1,existing_wide_t2,existing_wide_t3,existing_wide_t4,existing_wide_t5,flow_timber_t1,flow_timber_t2,flow_timber_t3,flow_timber_t4,flow_timber_t5,flow_wide_t1,flow_wide_t2,flow_wide_t3,flow_wide_t4,flow_wide_t5,maintained_timber_t1,maintained_timber_t2,maintained_timber_t3,maintained_timber_t4,maintained_timber_t5,maintained_wide_t1,maintained_wide_t2,maintained_wide_t3,maintained_wide_t4,maintained_wide_t5,upgraded_t1,upgraded_t2,upgraded_t3,upgraded_t4,upgraded_t5
mres,comp_36_50_merged,1135.22,1135.22,0.0,9650,80,0.17,23,4,24,7,7,12,3,14,0,1,8,0,0,0,0,2,2,14,25,30,43,54,0,1,2,7,18,4,0,0,4,4,0,0,0,0,3,0,10,4,3,7,0,0,1,1,5,0,1,0,2,4
mres,comp_37,1631.23,1631.23,0.0,13050,293,0.46,68,10,125,38,21,31,0,54,2,4,8,0,4,0,0,6,0,54,104,146,184,214,4,8,21,43,69,8,4,3,8,8,0,0,0,0,0,0,48,29,22,26,0,4,4,8,22,0,0,9,8,4
mres,comp_38,4578.54,4578.54,0.0,9450,93,0.53,24,0,27,6,6,30,0,16,0,6,1,1,0,0,0,0,0,16,26,40,49,57,0,1,3,6,12,6,5,7,6,6,0,0,0,0,0,0,9,7,7,4,0,0,1,2,3,0,1,1,1,3
mres,comp_3_43_merged,2904.53,2904.53,0.0,8850,135,0.17,39,7,46,8,15,20,0,27,0,3,9,0,0,0,1,6,0,27,49,60,80,100,0,0,1,8,30,6,0,2,6,6,0,0,0,0,0,0,22,8,11,5,0,0,0,1,7,0,0,0,0,15
mres,comp_42,461.85,461.85,0.0,7050,84,0.29,37,2,20,6,3,16,0,21,0,14,0,2,1,0,0,1,0,21,28,48,54,60,1,2,3,7,11,4,2,4,2,4,0,0,0,0,0,0,7,6,4,3,0,1,1,1,3,0,0,0,2,1
mres,comp_45,554.9,554.9,0.0,14400,43,0.25,11,0,11,4,5,12,0,7,0,4,0,0,0,0,0,0,0,7,10,17,24,27,0,0,0,4,9,3,0,3,3,3,0,0,0,0,0,0,3,3,3,2,0,0,0,0,4,0,0,0,4,1
mres,comp_46,207.98,207.98,0.0,4200,20,0.06,3,1,2,6,2,6,0,0,1,2,0,0,0,1,0,0,0,0,1,4,6,7,0,1,3,6,9,0,0,2,2,2,0,0,0,0,0,0,0,0,1,1,0,0,1,2,3,0,0,1,1,0
mres,comp_47,2472.65,2472.65,0.0,700,26,0.03,4,0,11,0,1,10,0,4,0,0,0,0,0,0,0,0,0,4,8,12,14,16,0,0,0,0,1,2,2,2,2,2,0,0,0,0,0,0,4,4,2,1,0,0,0,0,0,0,0,0,0,1
mres,comp_49,11553.19,11553.19,0.0,11800,139,1.02,17,11,14,37,12,31,17,12,1,1,3,0,6,0,3,0,2,12,23,31,37,43,6,13,28,43,60,7,5,5,8,6,3,0,7,3,4,0,7,2,3,2,0,4,7,15,11,0,3,5,0,4
mres,comp_4_11_12_13_51_merged,12754.87,12754.87,0.0,43800,1290,3.59,322,31,439,185,124,189,0,238,0,46,30,8,9,0,8,14,0,238,415,592,761,885,9,27,73,185,340,50,21,24,45,49,0,0,0,0,0,0,168,111,87,73,0,9,18,46,112,0,9,20,52,43
mres,comp_5_39_merged,130240.03,75942.49,0.4169,72250,2759,3600.49,633,87,870,349,231,567,22,426,19,79,98,11,33,4,6,42,2,426,776,1077,1440,1734,33,87,170,366,667,133,67,72,145,150,9,13,0,0,0,0,307,194,193,176,0,26,49,82,192,0,24,28,72,107
mres,comp_6,4176.51,4176.51,0.0,8150,159,5.25,20,9,43,30,6,43,8,15,0,3,2,0,9,0,0,0,0,15,30,44,58,69,9,17,24,34,45,9,9,7,9,9,2,4,2,0,0,0,13,11,9,10,0,6,7,7,10,0,2,0,3,1
mres,comp_7,0.0,0.0,0.0,9800,37,0.04,10,2,9,7,5,4,0,2,1,2,1,4,0,1,1,0,0,2,5,10,16,24,0,1,3,7,14,0,0,1,1,2,0,0,0,0,0,0,2,3,3,1,0,0,1,2,4,0,0,0,2,3
mres,comp_8,418.99,418.99,0.0,4700,55,0.11,16,7,14,3,4,11,0,12,0,3,1,0,7,0,0,0,0,12,17,25,32,34,7,8,9,13,14,4,1,1,3,2,0,0,0,0,0,0,5,5,3,1,0,1,1,1,0,0,0,0,3,1
mres,comp_9,2654.6,2654.6,0.0,34550,495,0.72,132,13,170,63,67,50,0,99,0,18,15,0,0,0,0,13,0,99,176,244,317,369,0,3,16,63,143,14,4,4,14,14,0,0,0,0,0,0,74,40,37,19,0,0,3,13,47,0,3,10,21,33
