harvesting_schedule,component_name,UB,LB,MIP_gap,solver_runtime_seconds,total_variables,nonzero_variables
mwood,comp_14_15_48_merged,58344.65000000012,51994.46143979635,0.10883926050124118,3600.84,50950,1749
mwood,comp_20_25_28_33_merged,24567.5,24565.722885570533,7.23359898022781e-05,946.43,57650,1315
mwood,comp_5_39_merged,123596.92,79638.24489508243,0.35566157396897535,3600.42,72250,3025
