variable,coefficient,type,prefix,width,edge,period
C_node2node69_wide_t2,0.0,B,C,wide,,2
C_node2node69_wide_t3,0.0,B,C,wide,,3
C_node2node69_wide_t4,0.0,B,C,wide,,4
C_node2node69_wide_t5,0.0,B,C,wide,,5
C_node3node12_timber_t0,801.0,B,C,timber,,0
C_node3node12_timber_t1,674.42,B,C,timber,,1
C_node3node12_timber_t2,478.11,B,C,timber,,2
C_node3node12_timber_t3,338.94,B,C,timber,,3
C_node3node12_timber_t4,240.28,B,C,timber,,4
C_node3node12_timber_t5,170.34,B,C,timber,,5
C_node3node12_wide_t0,1202.0,B,C,wide,,0
C_node3node12_wide_t1,1012.05,B,C,wide,,1
C_node3node12_wide_t2,717.46,B,C,wide,,2
C_node3node12_wide_t3,508.62,B,C,wide,,3
C_node3node12_wide_t4,360.57,B,C,wide,,4
C_node3node12_wide_t5,255.62,B,C,wide,,5
C_node3node21_timber_t0,862.0,B,C,timber,,0
C_node3node21_timber_t1,725.78,B,C,timber,,1
C_node3node21_timber_t2,514.52,B,C,timber,,2
C_node3node21_timber_t3,364.75,B,C,timber,,3
C_node3node21_timber_t4,258.58,B,C,timber,,4
C_node3node21_timber_t5,183.31,B,C,timber,,5
C_node3node21_wide_t0,1294.0,B,C,wide,,0
C_node3node21_wide_t1,1089.51,B,C,wide,,1
C_node3node21_wide_t2,772.38,B,C,wide,,2
C_node3node21_wide_t3,547.55,B,C,wide,,3
C_node3node21_wide_t4,388.17,B,C,wide,,4
C_node3node21_wide_t5,275.18,B,C,wide,,5
C_node3node60_timber_t0,0.0,B,C,timber,,0
C_node3node60_timber_t1,0.0,B,C,timber,,1
C_node3node60_timber_t2,0.0,B,C,timber,,2
C_node3node60_timber_t3,0.0,B,C,timber,,3
C_node3node60_timber_t4,0.0,B,C,timber,,4
C_node3node60_timber_t5,0.0,B,C,timber,,5
C_node3node60_wide_t0,0.0,B,C,wide,,0
C_node3node60_wide_t1,0.0,B,C,wide,,1
C_node3node60_wide_t2,0.0,B,C,wide,,2
C_node3node60_wide_t3,0.0,B,C,wide,,3
C_node3node60_wide_t4,0.0,B,C,wide,,4
C_node3node60_wide_t5,0.0,B,C,wide,,5
C_node4node29_timber_t0,6192.0,B,C,timber,,0
C_node4node29_timber_t1,5213.5,B,C,timber,,1
C_node4node29_timber_t2,3695.95,B,C,timber,,2
C_node4node29_timber_t3,2620.13,B,C,timber,,3
C_node4node29_timber_t4,1857.46,B,C,timber,,4
C_node4node29_timber_t5,1316.79,B,C,timber,,5
C_node4node29_wide_t0,9287.0,B,C,wide,,0
C_node4node29_wide_t1,7819.4,B,C,wide,,1
C_node4node29_wide_t2,5543.32,B,C,wide,,2
C_node4node29_wide_t3,3929.77,B,C,wide,,3
C_node4node29_wide_t4,2785.89,B,C,wide,,4
C_node4node29_wide_t5,1974.97,B,C,wide,,5
C_node4node31_timber_t0,2807.0,B,C,timber,,0
C_node4node31_timber_t1,2363.42,B,C,timber,,1
C_node4node31_timber_t2,1675.47,B,C,timber,,2
C_node4node31_timber_t3,1187.77,B,C,timber,,3
C_node4node31_timber_t4,842.04,B,C,timber,,4
C_node4node31_timber_t5,596.93,B,C,timber,,5
C_node4node31_wide_t0,4209.0,B,C,wide,,0
C_node4node31_wide_t1,3543.87,B,C,wide,,1
C_node4node31_wide_t2,2512.31,B,C,wide,,2
C_node4node31_wide_t3,1781.03,B,C,wide,,3
C_node4node31_wide_t4,1262.6,B,C,wide,,4
C_node4node31_wide_t5,895.08,B,C,wide,,5
C_node4node11_timber_t0,6282.0,B,C,timber,,0
C_node4node11_timber_t1,5289.28,B,C,timber,,1
C_node4node11_timber_t2,3749.67,B,C,timber,,2
C_node4node11_timber_t3,2658.21,B,C,timber,,3
C_node4node11_timber_t4,1884.45,B,C,timber,,4
C_node4node11_timber_t5,1335.93,B,C,timber,,5
C_node4node11_wide_t0,9426.0,B,C,wide,,0
C_node4node11_wide_t1,7936.44,B,C,wide,,1
C_node4node11_wide_t2,5626.29,B,C,wide,,2
C_node4node11_wide_t3,3988.58,B,C,wide,,3
C_node4node11_wide_t4,2827.58,B,C,wide,,4
C_node4node11_wide_t5,2004.53,B,C,wide,,5
C_node4node66_timber_t0,0.0,B,C,timber,,0
C_node4node66_timber_t1,0.0,B,C,timber,,1
C_node4node66_timber_t2,0.0,B,C,timber,,2
C_node4node66_timber_t3,0.0,B,C,timber,,3
C_node4node66_timber_t4,0.0,B,C,timber,,4
C_node4node66_timber_t5,0.0,B,C,timber,,5
C_node4node66_wide_t0,0.0,B,C,wide,,0
C_node4node66_wide_t1,0.0,B,C,wide,,1
C_node4node66_wide_t2,0.0,B,C,wide,,2
C_node4node66_wide_t3,0.0,B,C,wide,,3
C_node4node66_wide_t4,0.0,B,C,wide,,4
C_node4node66_wide_t5,0.0,B,C,wide,,5
C_node4node69_timber_t0,0.0,B,C,timber,,0
C_node4node69_timber_t1,0.0,B,C,timber,,1
C_node4node69_timber_t2,0.0,B,C,timber,,2
C_node4node69_timber_t3,0.0,B,C,timber,,3
C_node4node69_timber_t4,0.0,B,C,timber,,4
C_node4node69_timber_t5,0.0,B,C,timber,,5
C_node4node69_wide_t0,0.0,B,C,wide,,0
C_node4node69_wide_t1,0.0,B,C,wide,,1
C_node4node69_wide_t2,0.0,B,C,wide,,2
C_node4node69_wide_t3,0.0,B,C,wide,,3
C_node4node69_wide_t4,0.0,B,C,wide,,4
C_node4node69_wide_t5,0.0,B,C,wide,,5
C_node5node10_timber_t0,4237.0,B,C,timber,,0
C_node5node10_timber_t1,3567.44,B,C,timber,,1
C_node5node10_timber_t2,2529.03,B,C,timber,,2
C_node5node10_timber_t3,1792.87,B,C,timber,,3
C_node5node10_timber_t4,1271.0,B,C,timber,,4
C_node5node10_timber_t5,901.04,B,C,timber,,5
C_node5node10_wide_t0,6356.0,B,C,wide,,0
C_node5node10_wide_t1,5351.58,B,C,wide,,1
C_node5node10_wide_t2,3793.84,B,C,wide,,2
C_node5node10_wide_t3,2689.52,B,C,wide,,3
C_node5node10_wide_t4,1906.65,B,C,wide,,4
C_node5node10_wide_t5,1351.66,B,C,wide,,5
C_node5node47_timber_t0,1434.0,B,C,timber,,0
C_node5node47_timber_t1,1207.39,B,C,timber,,1
C_node5node47_timber_t2,855.94,B,C,timber,,2
C_node5node47_timber_t3,606.79,B,C,timber,,3
C_node5node47_timber_t4,430.17,B,C,timber,,4
C_node5node47_timber_t5,304.95,B,C,timber,,5
C_node5node47_wide_t0,2148.0,B,C,wide,,0
C_node5node47_wide_t1,1808.56,B,C,wide,,1
C_node5node47_wide_t2,1282.12,B,C,wide,,2
C_node5node47_wide_t3,908.92,B,C,wide,,3
C_node5node47_wide_t4,644.35,B,C,wide,,4
C_node5node47_wide_t5,456.79,B,C,wide,,5
C_node5node67_timber_t0,0.0,B,C,timber,,0
C_node5node67_timber_t1,0.0,B,C,timber,,1
C_node5node67_timber_t2,0.0,B,C,timber,,2
C_node5node67_timber_t3,0.0,B,C,timber,,3
C_node5node67_timber_t4,0.0,B,C,timber,,4
C_node5node67_timber_t5,0.0,B,C,timber,,5
C_node5node67_wide_t0,0.0,B,C,wide,,0
C_node5node67_wide_t1,0.0,B,C,wide,,1
C_node5node67_wide_t2,0.0,B,C,wide,,2
C_node5node67_wide_t3,0.0,B,C,wide,,3
C_node5node67_wide_t4,0.0,B,C,wide,,4
C_node5node67_wide_t5,0.0,B,C,wide,,5
C_node5node69_timber_t0,0.0,B,C,timber,,0
C_node5node69_timber_t1,0.0,B,C,timber,,1
C_node5node69_timber_t2,0.0,B,C,timber,,2
C_node5node69_timber_t3,0.0,B,C,timber,,3
C_node5node69_timber_t4,0.0,B,C,timber,,4
C_node5node69_timber_t5,0.0,B,C,timber,,5
C_node5node69_wide_t0,0.0,B,C,wide,,0
C_node5node69_wide_t1,0.0,B,C,wide,,1
C_node5node69_wide_t2,0.0,B,C,wide,,2
C_node5node69_wide_t3,0.0,B,C,wide,,3
C_node5node69_wide_t4,0.0,B,C,wide,,4
C_node5node69_wide_t5,0.0,B,C,wide,,5
C_node6node18_timber_t0,1937.0,B,C,timber,,0
C_node6node18_timber_t1,1630.9,B,C,timber,,1
C_node6node18_timber_t2,1156.18,B,C,timber,,2
C_node6node18_timber_t3,819.64,B,C,timber,,3
C_node6node18_timber_t4,581.06,B,C,timber,,4
C_node6node18_timber_t5,411.92,B,C,timber,,5
C_node6node18_wide_t0,2906.0,B,C,wide,,0
C_node6node18_wide_t1,2446.77,B,C,wide,,1
C_node6node18_wide_t2,1734.56,B,C,wide,,2
C_node6node18_wide_t3,1229.67,B,C,wide,,3
C_node6node18_wide_t4,871.73,B,C,wide,,4
C_node6node18_wide_t5,617.99,B,C,wide,,5
C_node6node43_timber_t0,103.0,B,C,timber,,0
C_node6node43_timber_t1,86.72,B,C,timber,,1
C_node6node43_timber_t2,61.48,B,C,timber,,2
C_node6node43_timber_t3,43.58,B,C,timber,,3
C_node6node43_timber_t4,30.9,B,C,timber,,4
C_node6node43_timber_t5,21.9,B,C,timber,,5
C_node6node43_wide_t0,154.0,B,C,wide,,0
C_node6node43_wide_t1,129.66,B,C,wide,,1
C_node6node43_wide_t2,91.92,B,C,wide,,2
C_node6node43_wide_t3,65.16,B,C,wide,,3
C_node6node43_wide_t4,46.2,B,C,wide,,4
C_node6node43_wide_t5,32.75,B,C,wide,,5
C_node6node16_timber_t0,5804.0,B,C,timber,,0
C_node6node16_timber_t1,4886.81,B,C,timber,,1
C_node6node16_timber_t2,3464.35,B,C,timber,,2
C_node6node16_timber_t3,2455.95,B,C,timber,,3
C_node6node16_timber_t4,1741.07,B,C,timber,,4
C_node6node16_timber_t5,1234.27,B,C,timber,,5
