variable,value
C_wide_node4node35_t1,1.0
C_wide_node4node35_t2,1.0
C_wide_node4node35_t3,1.0
C_wide_node4node35_t4,1.0
C_wide_node4node35_t5,1.0
C_timber_node5node9_t0,0.0
C_timber_node5node9_t1,1.0
C_timber_node5node9_t2,1.0
C_timber_node5node9_t3,1.0
C_timber_node5node9_t4,1.0
C_timber_node5node9_t5,1.0
C_wide_node5node9_t0,0.0
C_wide_node5node9_t1,1.0
C_wide_node5node9_t2,1.0
C_wide_node5node9_t3,1.0
C_wide_node5node9_t4,1.0
C_wide_node5node9_t5,1.0
C_timber_node5node24_t0,0.0
C_timber_node5node24_t1,1.0
C_timber_node5node24_t2,1.0
C_timber_node5node24_t3,1.0
C_timber_node5node24_t4,1.0
C_timber_node5node24_t5,1.0
C_wide_node5node24_t0,0.0
C_wide_node5node24_t1,1.0
C_wide_node5node24_t2,1.0
C_wide_node5node24_t3,1.0
C_wide_node5node24_t4,1.0
C_wide_node5node24_t5,1.0
C_timber_node5node37_t0,0.0
C_timber_node5node37_t1,1.0
C_timber_node5node37_t2,1.0
C_timber_node5node37_t3,1.0
C_timber_node5node37_t4,1.0
C_timber_node5node37_t5,1.0
C_wide_node5node37_t0,0.0
C_wide_node5node37_t1,1.0
C_wide_node5node37_t2,1.0
C_wide_node5node37_t3,1.0
C_wide_node5node37_t4,1.0
C_wide_node5node37_t5,1.0
C_timber_node5node38_t0,0.0
C_timber_node5node38_t1,1.0
C_timber_node5node38_t2,1.0
C_timber_node5node38_t3,1.0
C_timber_node5node38_t4,1.0
C_timber_node5node38_t5,1.0
C_wide_node5node38_t0,0.0
C_wide_node5node38_t1,1.0
C_wide_node5node38_t2,1.0
C_wide_node5node38_t3,1.0
C_wide_node5node38_t4,1.0
C_wide_node5node38_t5,1.0
C_timber_node5node39_t0,0.0
C_timber_node5node39_t1,1.0
C_timber_node5node39_t2,1.0
C_timber_node5node39_t3,1.0
C_timber_node5node39_t4,1.0
C_timber_node5node39_t5,1.0
C_wide_node5node39_t0,0.0
C_wide_node5node39_t1,1.0
C_wide_node5node39_t2,1.0
C_wide_node5node39_t3,1.0
C_wide_node5node39_t4,1.0
C_wide_node5node39_t5,1.0
C_timber_node6node21_t0,0.0
C_timber_node6node21_t1,1.0
C_timber_node6node21_t2,1.0
C_timber_node6node21_t3,1.0
C_timber_node6node21_t4,1.0
C_timber_node6node21_t5,1.0
C_wide_node6node21_t0,0.0
C_wide_node6node21_t1,1.0
C_wide_node6node21_t2,1.0
C_wide_node6node21_t3,1.0
C_wide_node6node21_t4,1.0
C_wide_node6node21_t5,1.0
C_timber_node6node23_t0,0.0
C_timber_node6node23_t1,1.0
C_timber_node6node23_t2,1.0
C_timber_node6node23_t3,1.0
C_timber_node6node23_t4,1.0
C_timber_node6node23_t5,1.0
C_wide_node6node23_t0,0.0
C_wide_node6node23_t1,1.0
C_wide_node6node23_t2,1.0
C_wide_node6node23_t3,1.0
C_wide_node6node23_t4,1.0
C_wide_node6node23_t5,1.0
C_timber_node6node36_t0,0.0
C_timber_node6node36_t1,1.0
C_timber_node6node36_t2,1.0
C_timber_node6node36_t3,1.0
C_timber_node6node36_t4,1.0
C_timber_node6node36_t5,1.0
C_wide_node6node36_t0,0.0
C_wide_node6node36_t1,1.0
C_wide_node6node36_t2,1.0
C_wide_node6node36_t3,1.0
C_wide_node6node36_t4,1.0
C_wide_node6node36_t5,1.0
C_timber_node6node37_t0,0.0
C_timber_node6node37_t1,1.0
C_timber_node6node37_t2,1.0
C_timber_node6node37_t3,1.0
C_timber_node6node37_t4,1.0
C_timber_node6node37_t5,1.0
C_wide_node6node37_t0,0.0
C_wide_node6node37_t1,1.0
C_wide_node6node37_t2,1.0
C_wide_node6node37_t3,1.0
C_wide_node6node37_t4,1.0
C_wide_node6node37_t5,1.0
C_timber_node7node28_t0,0.0
C_timber_node7node28_t1,1.0
C_timber_node7node28_t2,1.0
C_timber_node7node28_t3,1.0
C_timber_node7node28_t4,1.0
C_timber_node7node28_t5,1.0
C_wide_node7node28_t0,0.0
C_wide_node7node28_t1,1.0
C_wide_node7node28_t2,1.0
C_wide_node7node28_t3,1.0
C_wide_node7node28_t4,1.0
C_wide_node7node28_t5,1.0
C_timber_node7node16_t0,0.0
C_timber_node7node16_t1,1.0
C_timber_node7node16_t2,1.0
C_timber_node7node16_t3,1.0
C_timber_node7node16_t4,1.0
C_timber_node7node16_t5,1.0
C_wide_node7node16_t0,0.0
C_wide_node7node16_t1,1.0
C_wide_node7node16_t2,1.0
C_wide_node7node16_t3,1.0
C_wide_node7node16_t4,1.0
C_wide_node7node16_t5,1.0
C_timber_node7node18_t0,0.0
C_timber_node7node18_t1,1.0
C_timber_node7node18_t2,1.0
C_timber_node7node18_t3,1.0
C_timber_node7node18_t4,1.0
C_timber_node7node18_t5,1.0
C_wide_node7node18_t0,0.0
C_wide_node7node18_t1,1.0
C_wide_node7node18_t2,1.0
C_wide_node7node18_t3,1.0
C_wide_node7node18_t4,1.0
C_wide_node7node18_t5,1.0
C_timber_node7node39_t0,0.0
C_timber_node7node39_t1,1.0
C_timber_node7node39_t2,1.0
C_timber_node7node39_t3,1.0
C_timber_node7node39_t4,1.0
C_timber_node7node39_t5,1.0
C_wide_node7node39_t0,0.0
C_wide_node7node39_t1,1.0
C_wide_node7node39_t2,1.0
C_wide_node7node39_t3,1.0
C_wide_node7node39_t4,1.0
C_wide_node7node39_t5,1.0
C_timber_node7node40_t0,0.0
C_timber_node7node40_t1,1.0
C_timber_node7node40_t2,1.0
C_timber_node7node40_t3,1.0
C_timber_node7node40_t4,1.0
C_timber_node7node40_t5,1.0
C_wide_node7node40_t0,0.0
C_wide_node7node40_t1,1.0
C_wide_node7node40_t2,1.0
C_wide_node7node40_t3,1.0
C_wide_node7node40_t4,1.0
C_wide_node7node40_t5,1.0
C_timber_node8node19_t0,0.0
C_timber_node8node19_t1,1.0
C_timber_node8node19_t2,1.0
C_timber_node8node19_t3,1.0
C_timber_node8node19_t4,1.0
C_timber_node8node19_t5,1.0
C_wide_node8node19_t0,0.0
C_wide_node8node19_t1,1.0
C_wide_node8node19_t2,1.0
C_wide_node8node19_t3,1.0
C_wide_node8node19_t4,1.0
C_wide_node8node19_t5,1.0
C_timber_node8node20_t0,0.0
C_timber_node8node20_t1,1.0
C_timber_node8node20_t2,1.0
C_timber_node8node20_t3,1.0
C_timber_node8node20_t4,1.0
C_timber_node8node20_t5,1.0
C_wide_node8node20_t0,0.0
C_wide_node8node20_t1,1.0
C_wide_node8node20_t2,1.0
C_wide_node8node20_t3,1.0
C_wide_node8node20_t4,1.0
C_wide_node8node20_t5,1.0
C_timber_node8node35_t0,0.0
C_timber_node8node35_t1,1.0
C_timber_node8node35_t2,1.0
C_timber_node8node35_t3,1.0
C_timber_node8node35_t4,1.0
C_timber_node8node35_t5,1.0
C_wide_node8node35_t0,0.0
C_wide_node8node35_t1,1.0
C_wide_node8node35_t2,1.0
C_wide_node8node35_t3,1.0
C_wide_node8node35_t4,1.0
C_wide_node8node35_t5,1.0
C_timber_node8node36_t0,0.0
C_timber_node8node36_t1,1.0
C_timber_node8node36_t2,1.0
C_timber_node8node36_t3,1.0
C_timber_node8node36_t4,1.0
C_timber_node8node36_t5,1.0
C_wide_node8node36_t0,0.0
C_wide_node8node36_t1,1.0
C_wide_node8node36_t2,1.0
C_wide_node8node36_t3,1.0
C_wide_node8node36_t4,1.0
C_wide_node8node36_t5,1.0
C_timber_node9node27_t0,0.0
C_timber_node9node27_t1,1.0
C_timber_node9node27_t2,1.0
C_timber_node9node27_t3,1.0
C_timber_node9node27_t4,1.0
C_timber_node9node27_t5,1.0
C_wide_node9node27_t0,0.0
C_wide_node9node27_t1,1.0
C_wide_node9node27_t2,1.0
C_wide_node9node27_t3,1.0
C_wide_node9node27_t4,1.0
C_wide_node9node27_t5,1.0
C_timber_node9node23_t0,0.0
C_timber_node9node23_t1,1.0
C_timber_node9node23_t2,1.0
C_timber_node9node23_t3,1.0
C_timber_node9node23_t4,1.0
C_timber_node9node23_t5,1.0
C_wide_node9node23_t0,0.0
C_wide_node9node23_t1,1.0
C_wide_node9node23_t2,1.0
C_wide_node9node23_t3,1.0
C_wide_node9node23_t4,1.0
C_wide_node9node23_t5,1.0
C_timber_node9node37_t0,0.0
C_timber_node9node37_t1,1.0
