Node1,Node2,edgelength,slope,Build5m,Maintain5m,Build10m,Maintain10m,Upgrade
"(-19036.8611, 149072.6497)","(-19080.5863, 149126.2738)",71.741,22.6,346563.04,134758.21,519844.57,259922.28,134758.21
"(-19036.8611, 149072.6497)","(-18921.5081, 149063.6762)",59.513,22.3,287493.65,111789.56,431240.48,215620.24,111789.56
"(-18945.0347, 149271.731)","(-19007.788, 149306.4694)",71.727,22.6,346494.64,134731.61,519741.97,259870.98,134731.61
"(-18945.0347, 149271.731)","(-18882.0748, 149269.9682)",81.828,22.6,395290.96,153705.66,592936.44,296468.22,153705.66
"(-18882.0748, 149269.9682)","(-18778.5213, 149263.4898)",103.756,22.6,501219.67,194895.18,751829.51,375914.76,194895.18
"(-18326.9607, 149022.511)","(-18380.7893, 148928.4541)",108.371,20.5,523512.63,203563.61,785268.95,392634.47,203563.61
"(-18326.9607, 149022.511)","(-18278.2773, 149078.6028)",74.272,20.5,358791.0,139512.95,538186.5,269093.25,139512.95
"(-18950.8743, 148524.3752)","(-19008.4213, 148603.7504)",52.75,17.3,254823.68,99086.11,382235.52,191117.76,99086.11
"(-18950.8743, 148524.3752)","(-18884.4397, 148601.6503)",86.679,17.3,418725.65,162818.05,628088.47,314044.23,162818.05
"(-19051.4647, 148876.1757)","(-19143.7053, 148918.0944)",101.386,17.3,489773.14,190444.28,734659.71,367329.86,190444.28
"(-19051.4647, 148876.1757)","(-18959.0444, 149013.4076)",96.733,17.3,467294.83,181703.78,700942.24,350471.12,181703.78
"(-19254.6271, 149394.3743)","(-19173.9258, 149353.9247)",90.701,22.6,438155.1,170373.03,657232.64,328616.32,170373.03
"(-19254.6271, 149394.3743)","(-19181.6836, 149255.057)",167.697,22.6,810104.62,315002.56,1215156.94,607578.47,315002.56
"(-18728.2328, 149133.7788)","(-18657.662, 149160.7175)",63.278,17.3,305681.59,118861.79,458522.39,229261.19,118861.79
"(-18728.2328, 149133.7788)","(-18797.5135, 149128.8894)",98.883,17.3,477681.97,185742.73,716522.95,358261.48,185742.73
"(-18717.6478, 149288.2062)","(-18778.5213, 149263.4898)",65.7,22.6,317380.43,123410.79,476070.64,238035.32,123410.79
"(-18717.6478, 149288.2062)","(-18656.5198, 149289.7139)",61.147,22.6,295384.26,114857.76,443076.39,221538.19,114857.76
"(-18613.369, 149157.1724)","(-18657.662, 149160.7175)",61.519,17.3,297183.14,115557.24,445774.71,222887.36,115557.24
"(-18613.369, 149157.1724)","(-18522.9718, 149145.3506)",90.959,17.3,439401.53,170857.69,659102.29,329551.15,170857.69
