"Source(x,y)","Target(x,y)",edgelength,has_exit,has_source,Build5m,Maintain5m,Build10m,Maintain10m,Upgrade,slope,removed_nodes
"(-14478.84338, 155379.33261)","(-14647.96288, 155264.87031)",0.40764308496923174,False,False,3066,1095,4595,1095,2297,False,"[(-14479.32188, 155378.82281), (-14485.93738, 155371.06651), (-14499.34878, 155355.46101), (-14517.71048, 155338.01011), (-14535.20108, 155318.10511), (-14541.20558, 155302.60881), (-14553.60228, 155294.22111), (-14564.85938, 155291.65501), (-14574.54308, 155278.95501), (-14601.56648, 155268.12921), (-14616.50828, 155258.91081), (-14640.12128, 155245.00851), (-14652.58698, 155246.39361), (-14654.40878, 155246.59601), (-14667.27908, 155233.72581), (-14667.90258, 155233.10231), (-14677.42758, 155222.78351), (-14689.33388, 155213.25851), (-14707.25848, 155192.94831), (-14707.43538, 155193.12661), (-14712.23038, 155197.91291), (-14712.40098, 155197.83491), (-14705.97568, 155206.92941), (-14698.16328, 155217.98711), (-14684.37628, 155237.50131), (-14670.97448, 155247.57431), (-14657.85348, 155257.43631)]"
"(-14478.84338, 155379.33261)","(-14624.09748, 155269.80041)",0.35575699531851285,False,False,2674,955,4009,955,2005,False,"[(-14466.88058, 155392.07961), (-14459.63138, 155397.13691), (-14452.66718, 155401.62931), (-14443.77718, 155413.37681), (-14439.64968, 155424.80681), (-14425.99708, 155442.74561), (-14434.01268, 155447.64701), (-14434.33548, 155447.52931), (-14448.00698, 155432.71981), (-14453.16858, 155427.12851), (-14453.34468, 155427.02631), (-14454.58628, 155426.30521), (-14471.02008, 155416.76231), (-14474.05498, 155415.00001), (-14474.16528, 155414.93591), (-14499.13998, 155382.81071), (-14535.53168, 155344.35661), (-14541.13118, 155338.59241), (-14545.49078, 155334.18401), (-14557.15948, 155322.84821), (-14562.87758, 155317.28421), (-14563.70838, 155316.48621), (-14566.43008, 155314.00681), (-14568.10038, 155312.48501), (-14584.67858, 155297.61821), (-14596.01068, 155287.80711), (-14601.98578, 155282.63401), (-14611.14008, 155277.32081)]"
"(-14478.84338, 155379.33261)","(-14556.30335, 155321.5667)",0.0,False,True,0,0,0,0,0,False,
"(-14647.96288, 155264.87031)","(-14478.84338, 155379.33261)",0.40764308496923174,False,False,3066,1095,4595,1095,2297,False,"[(-14479.32188, 155378.82281), (-14485.93738, 155371.06651), (-14499.34878, 155355.46101), (-14517.71048, 155338.01011), (-14535.20108, 155318.10511), (-14541.20558, 155302.60881), (-14553.60228, 155294.22111), (-14564.85938, 155291.65501), (-14574.54308, 155278.95501), (-14601.56648, 155268.12921), (-14616.50828, 155258.91081), (-14640.12128, 155245.00851), (-14652.58698, 155246.39361), (-14654.40878, 155246.59601), (-14667.27908, 155233.72581), (-14667.90258, 155233.10231), (-14677.42758, 155222.78351), (-14689.33388, 155213.25851), (-14707.25848, 155192.94831), (-14707.43538, 155193.12661), (-14712.23038, 155197.91291), (-14712.40098, 155197.83491), (-14705.97568, 155206.92941), (-14698.16328, 155217.98711), (-14684.37628, 155237.50131), (-14670.97448, 155247.57431), (-14657.85348, 155257.43631)]"
"(-14647.96288, 155264.87031)","(-14624.09748, 155269.80041)",0.024369308631348556,False,False,183,65,275,65,137,30.0925,
"(-14647.96288, 155264.87031)","(-14556.30335, 155321.5667)",0.0,False,True,0,0,0,0,0,False,
"(-14624.09748, 155269.80041)","(-14478.84338, 155379.33261)",0.35575699531851285,False,False,2674,955,4009,955,2005,False,"[(-14466.88058, 155392.07961), (-14459.63138, 155397.13691), (-14452.66718, 155401.62931), (-14443.77718, 155413.37681), (-14439.64968, 155424.80681), (-14425.99708, 155442.74561), (-14434.01268, 155447.64701), (-14434.33548, 155447.52931), (-14448.00698, 155432.71981), (-14453.16858, 155427.12851), (-14453.34468, 155427.02631), (-14454.58628, 155426.30521), (-14471.02008, 155416.76231), (-14474.05498, 155415.00001), (-14474.16528, 155414.93591), (-14499.13998, 155382.81071), (-14535.53168, 155344.35661), (-14541.13118, 155338.59241), (-14545.49078, 155334.18401), (-14557.15948, 155322.84821), (-14562.87758, 155317.28421), (-14563.70838, 155316.48621), (-14566.43008, 155314.00681), (-14568.10038, 155312.48501), (-14584.67858, 155297.61821), (-14596.01068, 155287.80711), (-14601.98578, 155282.63401), (-14611.14008, 155277.32081)]"
"(-14624.09748, 155269.80041)","(-14647.96288, 155264.87031)",0.024369308631348556,False,False,183,65,275,65,137,30.0925,
"(-14624.09748, 155269.80041)","(-14556.30335, 155321.5667)",0.0,False,True,0,0,0,0,0,False,
"(-14556.30335, 155321.5667)","(-14478.84338, 155379.33261)",0.0,False,True,0,0,0,0,0,False,
"(-14556.30335, 155321.5667)","(-14647.96288, 155264.87031)",0.0,False,True,0,0,0,0,0,False,
"(-14556.30335, 155321.5667)","(-14624.09748, 155269.80041)",0.0,False,True,0,0,0,0,0,False,
