variable,value,node_type_info,action,road_type,edge,period
C_node2node53_timber_t4,-0.0,node2transit_node53source,C,timber,node2node53,4.0
C_node2node53_timber_t5,-0.0,node2transit_node53source,C,timber,node2node53,5.0
C_node2node53_wide_t0,0.0,node2transit_node53source,C,wide,node2node53,0.0
C_node2node53_wide_t1,0.0,node2transit_node53source,C,wide,node2node53,1.0
C_node2node53_wide_t2,0.0,node2transit_node53source,C,wide,node2node53,2.0
C_node2node53_wide_t3,0.0,node2transit_node53source,C,wide,node2node53,3.0
C_node2node53_wide_t4,0.0,node2transit_node53source,C,wide,node2node53,4.0
C_node2node53_wide_t5,0.0,node2transit_node53source,C,wide,node2node53,5.0
C_node2node54_timber_t0,0.0,node2transit_node54source,C,timber,node2node54,0.0
C_node2node54_timber_t1,1.0,node2transit_node54source,C,timber,node2node54,1.0
C_node2node54_timber_t2,0.0,node2transit_node54source,C,timber,node2node54,2.0
C_node2node54_timber_t3,0.0,node2transit_node54source,C,timber,node2node54,3.0
C_node2node54_timber_t4,-0.0,node2transit_node54source,C,timber,node2node54,4.0
C_node2node54_timber_t5,-0.0,node2transit_node54source,C,timber,node2node54,5.0
C_node2node54_wide_t0,0.0,node2transit_node54source,C,wide,node2node54,0.0
C_node2node54_wide_t1,0.0,node2transit_node54source,C,wide,node2node54,1.0
C_node2node54_wide_t2,0.0,node2transit_node54source,C,wide,node2node54,2.0
C_node2node54_wide_t3,1.0,node2transit_node54source,C,wide,node2node54,3.0
C_node2node54_wide_t4,-0.0,node2transit_node54source,C,wide,node2node54,4.0
C_node2node54_wide_t5,0.0,node2transit_node54source,C,wide,node2node54,5.0
C_node3node34_timber_t0,0.0,node3transit_node34transit,C,timber,node3node34,0.0
C_node3node34_timber_t1,0.0,node3transit_node34transit,C,timber,node3node34,1.0
C_node3node34_timber_t2,0.0,node3transit_node34transit,C,timber,node3node34,2.0
C_node3node34_timber_t3,-0.0,node3transit_node34transit,C,timber,node3node34,3.0
C_node3node34_timber_t4,-0.0,node3transit_node34transit,C,timber,node3node34,4.0
C_node3node34_timber_t5,-0.0,node3transit_node34transit,C,timber,node3node34,5.0
C_node3node34_wide_t0,0.0,node3transit_node34transit,C,wide,node3node34,0.0
C_node3node34_wide_t1,-0.0,node3transit_node34transit,C,wide,node3node34,1.0
C_node3node34_wide_t2,-0.0,node3transit_node34transit,C,wide,node3node34,2.0
C_node3node34_wide_t3,-0.0,node3transit_node34transit,C,wide,node3node34,3.0
C_node3node34_wide_t4,-0.0,node3transit_node34transit,C,wide,node3node34,4.0
C_node3node34_wide_t5,-0.0,node3transit_node34transit,C,wide,node3node34,5.0
C_node3node18_timber_t0,0.0,node3transit_node18transit,C,timber,node3node18,0.0
C_node3node18_timber_t1,0.0,node3transit_node18transit,C,timber,node3node18,1.0
C_node3node18_timber_t2,0.0,node3transit_node18transit,C,timber,node3node18,2.0
C_node3node18_timber_t3,-0.0,node3transit_node18transit,C,timber,node3node18,3.0
C_node3node18_timber_t4,-0.0,node3transit_node18transit,C,timber,node3node18,4.0
C_node3node18_timber_t5,-0.0,node3transit_node18transit,C,timber,node3node18,5.0
C_node3node18_wide_t0,0.0,node3transit_node18transit,C,wide,node3node18,0.0
C_node3node18_wide_t1,-0.0,node3transit_node18transit,C,wide,node3node18,1.0
C_node3node18_wide_t2,-0.0,node3transit_node18transit,C,wide,node3node18,2.0
C_node3node18_wide_t3,-0.0,node3transit_node18transit,C,wide,node3node18,3.0
C_node3node18_wide_t4,-0.0,node3transit_node18transit,C,wide,node3node18,4.0
C_node3node18_wide_t5,-0.0,node3transit_node18transit,C,wide,node3node18,5.0
C_node3node56_timber_t0,0.0,node3transit_node56source,C,timber,node3node56,0.0
C_node3node56_timber_t1,1.0,node3transit_node56source,C,timber,node3node56,1.0
C_node3node56_timber_t2,0.0,node3transit_node56source,C,timber,node3node56,2.0
C_node3node56_timber_t3,0.0,node3transit_node56source,C,timber,node3node56,3.0
C_node3node56_timber_t4,-0.0,node3transit_node56source,C,timber,node3node56,4.0
C_node3node56_timber_t5,0.0,node3transit_node56source,C,timber,node3node56,5.0
C_node3node56_wide_t0,0.0,node3transit_node56source,C,wide,node3node56,0.0
C_node3node56_wide_t1,0.0,node3transit_node56source,C,wide,node3node56,1.0
C_node3node56_wide_t2,0.0,node3transit_node56source,C,wide,node3node56,2.0
C_node3node56_wide_t3,0.0,node3transit_node56source,C,wide,node3node56,3.0
C_node3node56_wide_t4,0.0,node3transit_node56source,C,wide,node3node56,4.0
C_node3node56_wide_t5,-0.0,node3transit_node56source,C,wide,node3node56,5.0
C_node4node16_timber_t0,0.0,node4transit_node16transit,C,timber,node4node16,0.0
C_node4node16_timber_t1,0.0,node4transit_node16transit,C,timber,node4node16,1.0
C_node4node16_timber_t2,-0.0,node4transit_node16transit,C,timber,node4node16,2.0
C_node4node16_timber_t3,-0.0,node4transit_node16transit,C,timber,node4node16,3.0
C_node4node16_timber_t4,0.0,node4transit_node16transit,C,timber,node4node16,4.0
C_node4node16_timber_t5,-0.0,node4transit_node16transit,C,timber,node4node16,5.0
C_node4node16_wide_t0,0.0,node4transit_node16transit,C,wide,node4node16,0.0
C_node4node16_wide_t1,0.0,node4transit_node16transit,C,wide,node4node16,1.0
C_node4node16_wide_t2,0.0,node4transit_node16transit,C,wide,node4node16,2.0
C_node4node16_wide_t3,-0.0,node4transit_node16transit,C,wide,node4node16,3.0
C_node4node16_wide_t4,-0.0,node4transit_node16transit,C,wide,node4node16,4.0
C_node4node16_wide_t5,-0.0,node4transit_node16transit,C,wide,node4node16,5.0
C_node4node19_timber_t0,0.0,node4transit_node19transit,C,timber,node4node19,0.0
C_node4node19_timber_t1,0.0,node4transit_node19transit,C,timber,node4node19,1.0
C_node4node19_timber_t2,-0.0,node4transit_node19transit,C,timber,node4node19,2.0
C_node4node19_timber_t3,-0.0,node4transit_node19transit,C,timber,node4node19,3.0
C_node4node19_timber_t4,-0.0,node4transit_node19transit,C,timber,node4node19,4.0
C_node4node19_timber_t5,-0.0,node4transit_node19transit,C,timber,node4node19,5.0
C_node4node19_wide_t0,0.0,node4transit_node19transit,C,wide,node4node19,0.0
C_node4node19_wide_t1,0.0,node4transit_node19transit,C,wide,node4node19,1.0
C_node4node19_wide_t2,-0.0,node4transit_node19transit,C,wide,node4node19,2.0
C_node4node19_wide_t3,-0.0,node4transit_node19transit,C,wide,node4node19,3.0
C_node4node19_wide_t4,-0.0,node4transit_node19transit,C,wide,node4node19,4.0
C_node4node19_wide_t5,-0.0,node4transit_node19transit,C,wide,node4node19,5.0
C_node4node39_timber_t0,0.0,node4transit_node39transit,C,timber,node4node39,0.0
C_node4node39_timber_t1,-0.0,node4transit_node39transit,C,timber,node4node39,1.0
C_node4node39_timber_t2,0.0,node4transit_node39transit,C,timber,node4node39,2.0
C_node4node39_timber_t3,0.0,node4transit_node39transit,C,timber,node4node39,3.0
C_node4node39_timber_t4,-0.0,node4transit_node39transit,C,timber,node4node39,4.0
C_node4node39_timber_t5,-0.0,node4transit_node39transit,C,timber,node4node39,5.0
C_node4node39_wide_t0,0.0,node4transit_node39transit,C,wide,node4node39,0.0
C_node4node39_wide_t1,-0.0,node4transit_node39transit,C,wide,node4node39,1.0
C_node4node39_wide_t2,-0.0,node4transit_node39transit,C,wide,node4node39,2.0
C_node4node39_wide_t3,-0.0,node4transit_node39transit,C,wide,node4node39,3.0
C_node4node39_wide_t4,-0.0,node4transit_node39transit,C,wide,node4node39,4.0
C_node4node39_wide_t5,-0.0,node4transit_node39transit,C,wide,node4node39,5.0
C_node4node50_timber_t0,0.0,node4transit_node50source,C,timber,node4node50,0.0
C_node4node50_timber_t1,1.0,node4transit_node50source,C,timber,node4node50,1.0
C_node4node50_timber_t2,0.0,node4transit_node50source,C,timber,node4node50,2.0
C_node4node50_timber_t3,0.0,node4transit_node50source,C,timber,node4node50,3.0
C_node4node50_timber_t4,-0.0,node4transit_node50source,C,timber,node4node50,4.0
C_node4node50_timber_t5,-0.0,node4transit_node50source,C,timber,node4node50,5.0
C_node4node50_wide_t0,0.0,node4transit_node50source,C,wide,node4node50,0.0
C_node4node50_wide_t1,0.0,node4transit_node50source,C,wide,node4node50,1.0
